check,expected,observed,passed,blocking,notes
direct_PI_authorization,current_conversation,C80E_authorized,1,0,resolved_to_the_only_operational_objects_in_the_immediately_preceding_handoff
protocol_commit,f5d83b3,f5d83b3ca2297a4cc9511aa55ef300bb976d107c,1,0,reachable
protocol_sha256,c6292597f5610cb96e8eaf0313eaa741f8fa9b11dd89ff9e4d84db1fa33add85,c6292597f5610cb96e8eaf0313eaa741f8fa9b11dd89ff9e4d84db1fa33add85,1,0,exact_replay
analysis_lock_commit,972f47c,972f47c,1,0,reachable
analysis_lock_sha256,05a99e7ccc357b90b6675756caa680fd16541358bb697fdded89351f1e7ae4a8,05a99e7ccc357b90b6675756caa680fd16541358bb697fdded89351f1e7ae4a8,1,0,exact_replay
locked_core_hashes,4/4,4/4,1,0,no_drift
accepted_input_hashes,10/10,10/10,1,0,no_drift
registry_completeness,80/80_blank0,80/80_blank0,1,0,all_five_paths_unconditional
locked_budget_grid,1|2|4|8|16|32|FULL,1|2|4|8|16|32|FULL,1,0,64_removed_pre_hash
minimum_class_availability,61,61,1,0,all_remaining_finite_budgets_feasible
target4_primary,0,0,1,0,mechanically_excluded
same_label_oracle_reachable,0,0,1,0,closed
locked_taxonomy_precedence,complete_C80_A_to_E_decision_table,absent,0,1,no_near_FULL_definition_or_overlap_precedence
authorization_guard_schema,nested_lock_protocol_sha_supported,guard_reads_missing_top_level_protocol_sha256,0,1,run_real_cannot_pass_with_committed_lock
real_data_adapter_bound,hashed_and_locked,absent,0,1,locked_module_intentionally_has_no_real_loader
real_budget_statistics_before_preflight,0,0,1,0,no_outcome_access
