seed,budget,top1,top1_simultaneous_low,top1_simultaneous_high,source_top1,delta_top1_vs_source,coverage_top1,top5,top5_simultaneous_low,top5_simultaneous_high,source_top5,delta_top5_vs_source,coverage_top5,top10,top10_simultaneous_low,top10_simultaneous_high,source_top10,delta_top10_vs_source,coverage_top10,material_topk_component
3,1,0.037841796875,0.02121444909460963,0.05446914465539037,0.0,0.037841796875,0.161865234375,0.159210205078125,0.11019718556815306,0.20822322458809694,0.0,0.159210205078125,0.480499267578125,0.280792236328125,0.21980558476770187,0.34177888788854816,0.0,0.280792236328125,0.652313232421875,1
3,2,0.053955078125,0.03493559892230243,0.07297455732769757,0.0,0.053955078125,0.216827392578125,0.21142578125,0.15712909842714437,0.2657224640728556,0.0,0.21142578125,0.5750732421875,0.354095458984375,0.2906494140625,0.41754150390625,0.0,0.354095458984375,0.73150634765625,1
3,4,0.072479248046875,0.04711061751713799,0.09784787857661201,0.0,0.072479248046875,0.2774658203125,0.266265869140625,0.2173829137546904,0.31514882452655957,0.0,0.266265869140625,0.6590576171875,0.432403564453125,0.3818300432069573,0.4829770856992927,0.0,0.432403564453125,0.793792724609375,1
3,8,0.09326171875,0.06051500648519313,0.12600843101480685,0.0,0.09326171875,0.352569580078125,0.340057373046875,0.2907385899554416,0.3893761561383084,0.0,0.340057373046875,0.729736328125,0.52423095703125,0.47866040215194355,0.5698015119105564,0.0,0.52423095703125,0.8363037109375,1
3,16,0.117034912109375,0.071976834474997,0.162092989743753,0.0,0.117034912109375,0.421875,0.41961669921875,0.3806218703737474,0.4586115280637526,0.0,0.41961669921875,0.77978515625,0.62774658203125,0.5705677096850811,0.6849254543774189,0.0,0.62774658203125,0.871124267578125,1
3,32,0.1456298828125,0.06835301140688202,0.22290675421811798,0.0,0.1456298828125,0.498779296875,0.52215576171875,0.4671052934236031,0.5772062300138969,0.0,0.52215576171875,0.83001708984375,0.735382080078125,0.6358170294870599,0.8349471306691901,0.0,0.735382080078125,0.903900146484375,1
3,FULL,0.125,-0.0625,0.3125,0.0,0.125,0.5625,0.6875,0.481906568162001,0.893093431837999,0.0,0.6875,0.9375,0.75,0.5380964120512176,0.9619035879487824,0.0,0.75,0.9375,1
4,1,0.03839111328125,0.02281288351899596,0.05396934304350404,0.0,0.03839111328125,0.18463134765625,0.164825439453125,0.11533740100740553,0.21431347789884447,0.0,0.164825439453125,0.526702880859375,0.29412841796875,0.2245720393805093,0.3636847965569907,0.0,0.29412841796875,0.69970703125,1
4,2,0.05743408203125,0.03704164808996728,0.07782651597253272,0.0,0.05743408203125,0.241912841796875,0.218536376953125,0.1694995472910993,0.2675732066151507,0.0,0.218536376953125,0.614349365234375,0.363372802734375,0.30022977691028324,0.42651582855846676,0.0,0.363372802734375,0.7742919921875,1
4,4,0.07806396484375,0.05427017418629638,0.10185775550120363,0.0,0.07806396484375,0.309539794921875,0.27325439453125,0.2285449294306499,0.3179638596318501,0.0,0.27325439453125,0.704925537109375,0.439117431640625,0.3811267717041302,0.4971080915771198,0.0,0.439117431640625,0.833709716796875,1
4,8,0.098846435546875,0.07168967885615203,0.12600319223759796,0.0,0.098846435546875,0.3770751953125,0.3270263671875,0.26813509134647356,0.38591764302852644,0.0,0.3270263671875,0.767974853515625,0.50830078125,0.42711880650035516,0.5894827559996448,0.0,0.50830078125,0.86712646484375,1
4,16,0.1221923828125,0.07619037544701673,0.16819439017798327,0.0,0.1221923828125,0.44232177734375,0.38665771484375,0.28288102871967147,0.49043440096782853,0.0,0.38665771484375,0.806976318359375,0.57525634765625,0.4463904223572016,0.7041222729552984,0.0,0.57525634765625,0.88226318359375,1
4,32,0.146820068359375,0.06686718633991323,0.22677295037883677,0.0,0.146820068359375,0.5079345703125,0.4598388671875,0.281829833984375,0.637847900390625,0.0,0.4598388671875,0.832550048828125,0.62237548828125,0.4349512442552659,0.8097997323072341,0.0,0.62237548828125,0.88189697265625,1
4,FULL,0.125,-0.0625,0.3125,0.0,0.125,0.5,0.5,0.19644314004446645,0.8035568599555336,0.0,0.5,0.875,0.6875,0.4843396501272586,0.8906603498727415,0.0,0.6875,0.875,1
