view,held_target,B1_rank,B2_rank,rank_gain,B1_columns,B2_columns,rank_tolerance,stage,dimension,column_space_R2,incremental_R2,prediction_delta_max_abs,column_space_deduplicated
strict_source,1,38,38,0,42,50,1e-10,,,,,,
strict_source,2,38,38,0,42,50,1e-10,,,,,,
strict_source,3,38,38,0,42,50,1e-10,,,,,,
strict_source,4,38,38,0,42,50,1e-10,,,,,,
strict_source,5,38,38,0,42,50,1e-10,,,,,,
strict_source,6,38,38,0,42,50,1e-10,,,,,,
strict_source,7,38,38,0,42,50,1e-10,,,,,,
strict_source,8,38,38,0,42,50,1e-10,,,,,,
strict_source,9,38,38,0,42,50,1e-10,,,,,,
target_unlabeled,1,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,2,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,3,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,4,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,5,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,6,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,7,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,8,55,55,0,60,68,1e-10,,,,,,
target_unlabeled,9,55,55,0,60,68,1e-10,,,,,,
strict_source,,,,,,,,B0,9,0.03571155791108105,nan,nan,1
strict_source,,,,,,,,B1_logits_minus_b,42,-0.029734283109083437,-0.06544584102016449,0.1772699228164496,1
strict_source,,,,,,,,B2_plus_Wz,50,-0.029734283110270487,-1.1870504579292174e-12,3.060940390042788e-12,1
strict_source,,,,,,,,B3_plus_z,60,-0.007965438274868175,0.021768844835402312,0.18932732901059832,1
strict_source,,,,,,,,B4_plus_W_geometry,75,-0.0046233231757344395,0.0033421150991337356,0.1701217367995218,1
target_unlabeled,,,,,,,,B0,34,-0.038868703038408725,nan,nan,1
target_unlabeled,,,,,,,,B1_logits_minus_b,60,0.23440085229471885,0.2732695553331276,0.9638592119450218,1
target_unlabeled,,,,,,,,B2_plus_Wz,68,0.23440085228381236,-1.090649792701015e-11,2.8950619679335432e-11,1
target_unlabeled,,,,,,,,B3_plus_z,78,0.025697682095778385,-0.20870317018803397,0.5427857296516494,1
target_unlabeled,,,,,,,,B4_plus_W_geometry,95,0.10739201817124489,0.0816943360754665,0.3973552611633734,1
