target_id,class_index,candidate_count,trial_count,estimand,target_common_trial_share,checkpoint_candidate_share,candidate_x_trial_residual_share,accounting_sum,causal_interpretation
1,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.5775214711748362,0.23747353268284305,0.18500499614232058,0.9999999999999998,0
1,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.5332836778993129,0.28870166602456965,0.1780146560761173,0.9999999999999998,0
1,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.4184559410429224,0.34707393757720056,0.23447012137987727,1.0000000000000002,0
1,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.46056337128209396,0.3665824606848495,0.1728541680330566,1.0,0
2,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.38918962883768593,0.371906909145522,0.23890346201679208,1.0,0
2,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.31176691237399307,0.386119908229295,0.302113179396712,1.0,0
2,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.33545171328479645,0.35984365662615264,0.3047046300890509,1.0,0
2,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.3400447566895679,0.3996270828135799,0.26032816049685226,1.0,0
3,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.6639404895770074,0.19462738873964952,0.14143212168334304,0.9999999999999999,0
3,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.6283310399528899,0.15500050549859612,0.216668454548514,1.0,0
3,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.4858503721331133,0.3244608675976979,0.1896887602691888,1.0,0
3,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.6957611470050612,0.16543493568763684,0.13880391730730196,1.0,0
4,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.564462765759781,0.28402350365954027,0.15151373058067868,1.0,0
4,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.5016445524802093,0.31322302120447487,0.18513242631531568,0.9999999999999999,0
4,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.330098861810183,0.46267524561729106,0.2072258925725259,1.0,0
4,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.517874379752641,0.33127017699253275,0.1508554432548262,0.9999999999999999,0
5,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.1658141318733446,0.6784111480682742,0.15577472005838136,1.0000000000000002,0
5,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.186497035262599,0.6632075893343038,0.15029537540309734,1.0000000000000002,0
5,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.13652396444283393,0.7314189631708365,0.13205707238632944,0.9999999999999999,0
5,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.22398482530676136,0.6663950522461355,0.10962012244710324,1.0,0
6,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.669421484908997,0.16605307684632775,0.16452543824467541,1.0000000000000002,0
6,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.7350050212635488,0.10963300259665584,0.1553619761397953,1.0,0
6,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.6004748390909441,0.1802853834518094,0.21923977745724652,1.0,0
6,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.7092590413769311,0.1280865298618297,0.16265442876123926,1.0,0
7,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.5102400578668447,0.20528949939779959,0.2844704427353557,1.0,0
7,1,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.5776949855881097,0.16779693467578446,0.2545080797361058,1.0,0
7,2,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.45761215261123656,0.22457170949976812,0.3178161378889952,0.9999999999999999,0
7,3,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.526936164478228,0.1778642939780968,0.29519954154367517,1.0,0
8,0,24,576,two_way_descriptive_ANOVA_Wz_candidate_x_trial_within_target_class,0.4005587792083603,0.36577257105406463,0.23366864973757498,0.9999999999999999,0
