path,new_block,outcome,target_id,prior_rho,full_rho,delta_rho,increment_residual_rho,positive_increment
P_F1_strict_functional,F1,continuous_joint_utility,1,0.6353353145980934,0.5552656585117584,-0.0800696560863351,-0.40434782608695646,0
P_F1_strict_functional,F1,continuous_joint_utility,2,0.5756521739130435,0.5182608695652173,-0.05739130434782613,-0.42869565217391303,0
P_F1_strict_functional,F1,continuous_joint_utility,3,0.006962578790116091,-0.23977380708462293,-0.246736385874739,-0.4139130434782608,0
P_F1_strict_functional,F1,continuous_joint_utility,4,-0.31919983359495074,-0.05914329341813802,0.26005654017681273,0.17652173913043476,1
P_F1_strict_functional,F1,continuous_joint_utility,5,0.2564216379407758,-0.021767541421118485,-0.2781891793618943,-0.2217391304347826,0
P_F1_strict_functional,F1,continuous_joint_utility,6,0.31933876715260456,0.11964327107216109,-0.19969549608044346,-0.06695652173913043,0
P_F1_strict_functional,F1,continuous_joint_utility,7,0.1387861944437069,0.29715037869922195,0.15836418425551504,0.10521739130434782,1
P_F1_strict_functional,F1,continuous_joint_utility,8,0.42975210677034026,0.19399740852183378,-0.23575469824850648,-0.1034782608695652,0
P_F1_strict_functional,F1,continuous_joint_utility,9,0.03610265674285248,0.5532840888784138,0.5171814321355613,0.06869565217391303,1
P_F1_strict_functional,F1,bAcc,1,0.2782608695652174,0.2417391304347826,-0.0365217391304348,-0.03913043478260869,0
P_F1_strict_functional,F1,bAcc,2,-0.25130434782608696,-0.1591304347826087,0.09217391304347827,0.12347826086956522,1
P_F1_strict_functional,F1,bAcc,3,0.22869565217391302,-0.20347826086956516,-0.4321739130434782,-0.33826086956521734,0
P_F1_strict_functional,F1,bAcc,4,-0.22434782608695653,-0.12782608695652173,0.0965217391304348,0.3695652173913043,1
P_F1_strict_functional,F1,bAcc,5,-0.07739130434782608,-0.10086956521739131,-0.023478260869565226,-0.04521739130434782,0
P_F1_strict_functional,F1,bAcc,6,0.3043478260869565,-0.13826086956521738,-0.44260869565217387,-0.0626086956521739,0
P_F1_strict_functional,F1,bAcc,7,0.13478260869565215,0.1591304347826087,0.024347826086956542,0.05130434782608695,1
P_F1_strict_functional,F1,bAcc,8,0.6165217391304347,0.5182608695652173,-0.0982608695652174,0.24695652173913044,1
P_F1_strict_functional,F1,bAcc,9,0.05304347826086955,0.29913043478260865,0.2460869565217391,0.2078260869565217,1
P_F1_strict_functional,F1,negNLL,1,0.5739130434782608,0.7399999999999999,0.1660869565217391,-0.16086956521739126,0
P_F1_strict_functional,F1,negNLL,2,0.7295652173913043,0.6869565217391305,-0.042608695652173845,-0.5330434782608695,0
P_F1_strict_functional,F1,negNLL,3,-0.002608695652173913,-0.2269565217391304,-0.22434782608695647,-0.6886956521739129,0
P_F1_strict_functional,F1,negNLL,4,-0.14782608695652172,-0.009565217391304347,0.13826086956521738,0.18,1
P_F1_strict_functional,F1,negNLL,5,0.308695652173913,0.15217391304347824,-0.15652173913043474,-0.03130434782608695,0
