target_id,intervention,utility_spearman,pairwise_rank_flip_fraction,top1_agreement,best_utility_delta,mechanism_origin_identified
1,residual_shrink_0.5,0.8996298928662945,0.11524163568773234,1,-0.0434782608695653,0
1,target_common_replacement,0.09791126423600754,0.46691176470588236,0,-0.14492753623188415,0
2,residual_shrink_0.5,0.9107539330595976,0.12177121771217712,0,-0.01449275362318836,0
2,target_common_replacement,0.35833877776871853,0.36727272727272725,1,-0.10869565217391297,0
3,residual_shrink_0.5,0.8711644947015382,0.15129151291512916,1,-0.08695652173913038,0
3,target_common_replacement,0.24428478697869857,0.4052044609665427,0,0.007246376811594235,0
4,residual_shrink_0.5,0.9508481948673335,0.08394160583941605,1,0.02898550724637683,0
4,target_common_replacement,-0.1022405941092801,0.5494505494505495,0,-0.05072463768115931,0
5,residual_shrink_0.5,0.9168305018909192,0.10780669144981413,1,0.0,0
5,target_common_replacement,-0.0455536181342633,0.5018867924528302,0,-0.1376811594202899,0
6,residual_shrink_0.5,0.8972796730438579,0.12915129151291513,1,-0.0434782608695653,0
6,target_common_replacement,0.013054831523271093,0.5,0,-0.1594202898550724,0
7,residual_shrink_0.5,0.8271282582282315,0.15613382899628253,1,-0.01449275362318847,0
7,target_common_replacement,-0.0021753322013120203,0.4908424908424908,0,-0.08695652173913049,0
8,residual_shrink_0.5,0.7530461983673541,0.21323529411764705,0,-0.02898550724637683,0
8,target_common_replacement,-0.19808453307462634,0.5851851851851851,0,-0.14492753623188392,0
9,residual_shrink_0.5,0.8971685225075021,0.11235955056179775,0,-0.04347826086956519,0
9,target_common_replacement,0.27357890326258427,0.39552238805970147,1,-0.05072463768115931,0
