view,stage,raw_columns,column_rank,zero_variance_columns,condition_number,scaling
strict_source,B0,9,7,0,5.058302650820334,within_target_center_then_training_fold_zscore
strict_source,B1_logits_minus_b,42,38,0,588644.4196136425,within_target_center_then_training_fold_zscore
strict_source,B2_plus_Wz,50,38,0,660332.142235147,within_target_center_then_training_fold_zscore
strict_source,B3_plus_z,60,48,0,741437.7412054908,within_target_center_then_training_fold_zscore
strict_source,B4_plus_W_geometry,75,63,0,825011.3057274026,within_target_center_then_training_fold_zscore
target_unlabeled,B0,34,30,0,509885.07038888946,within_target_center_then_training_fold_zscore
target_unlabeled,B1_logits_minus_b,60,55,0,3088148.962854047,within_target_center_then_training_fold_zscore
target_unlabeled,B2_plus_Wz,68,55,0,3371427.9815900456,within_target_center_then_training_fold_zscore
target_unlabeled,B3_plus_z,78,65,0,3793816.5973143876,within_target_center_then_training_fold_zscore
target_unlabeled,B4_plus_W_geometry,95,78,0,4441282.665023157,within_target_center_then_training_fold_zscore
