path,outcome,model,held_target,alpha,rank,raw_columns,zero_scale_columns,condition_number
P_F1_strict_functional,continuous_joint_utility,prior,1,1.0,7,9,0,4.926926575328926
P_F1_strict_functional,continuous_joint_utility,prior,2,1.0,7,9,0,5.060919188378182
P_F1_strict_functional,continuous_joint_utility,prior,3,1.0,7,9,0,5.729381159625856
P_F1_strict_functional,continuous_joint_utility,prior,4,1.0,7,9,0,5.203165928850413
P_F1_strict_functional,continuous_joint_utility,prior,5,1.0,7,9,0,5.181321389018311
P_F1_strict_functional,continuous_joint_utility,prior,6,1.0,7,9,0,5.055868288206751
P_F1_strict_functional,continuous_joint_utility,prior,7,1.0,7,9,0,4.985986772802737
P_F1_strict_functional,continuous_joint_utility,prior,8,1.0,7,9,0,4.977252175220133
P_F1_strict_functional,continuous_joint_utility,prior,9,1.0,7,9,0,4.766298549674784
P_F1_strict_functional,continuous_joint_utility,full,1,10.0,30,34,0,512838.92549464514
P_F1_strict_functional,continuous_joint_utility,full,2,10.0,30,34,0,508318.9514238774
P_F1_strict_functional,continuous_joint_utility,full,3,1.0,30,34,0,534085.0206104557
P_F1_strict_functional,continuous_joint_utility,full,4,1.0,30,34,0,534758.5525788828
P_F1_strict_functional,continuous_joint_utility,full,5,1.0,30,34,0,510508.8190569983
P_F1_strict_functional,continuous_joint_utility,full,6,1.0,30,34,0,508399.2381579895
P_F1_strict_functional,continuous_joint_utility,full,7,10.0,30,34,0,510220.0177318413
P_F1_strict_functional,continuous_joint_utility,full,8,10.0,30,34,0,523086.1109298144
P_F1_strict_functional,continuous_joint_utility,full,9,10.0,30,34,0,503793.2825908249
P_F1_strict_functional,bAcc,prior,1,1.0,7,9,0,4.926926575328926
P_F1_strict_functional,bAcc,prior,2,1.0,7,9,0,5.060919188378182
P_F1_strict_functional,bAcc,prior,3,1.0,7,9,0,5.729381159625856
P_F1_strict_functional,bAcc,prior,4,1.0,7,9,0,5.203165928850413
P_F1_strict_functional,bAcc,prior,5,1.0,7,9,0,5.181321389018311
P_F1_strict_functional,bAcc,prior,6,1.0,7,9,0,5.055868288206751
P_F1_strict_functional,bAcc,prior,7,1.0,7,9,0,4.985986772802737
P_F1_strict_functional,bAcc,prior,8,10.0,7,9,0,4.977252175220133
P_F1_strict_functional,bAcc,prior,9,1.0,7,9,0,4.766298549674784
P_F1_strict_functional,bAcc,full,1,10.0,30,34,0,512838.92549464514
P_F1_strict_functional,bAcc,full,2,1.0,30,34,0,508318.9514238774
P_F1_strict_functional,bAcc,full,3,1.0,30,34,0,534085.0206104557
P_F1_strict_functional,bAcc,full,4,10.0,30,34,0,534758.5525788828
P_F1_strict_functional,bAcc,full,5,1.0,30,34,0,510508.8190569983
P_F1_strict_functional,bAcc,full,6,10.0,30,34,0,508399.2381579895
P_F1_strict_functional,bAcc,full,7,1.0,30,34,0,510220.0177318413
P_F1_strict_functional,bAcc,full,8,10.0,30,34,0,523086.1109298144
P_F1_strict_functional,bAcc,full,9,10.0,30,34,0,503793.2825908249
P_F1_strict_functional,negNLL,prior,1,1.0,7,9,0,4.926926575328926
P_F1_strict_functional,negNLL,prior,2,1.0,7,9,0,5.060919188378182
P_F1_strict_functional,negNLL,prior,3,1.0,7,9,0,5.729381159625856
P_F1_strict_functional,negNLL,prior,4,1.0,7,9,0,5.203165928850413
P_F1_strict_functional,negNLL,prior,5,1.0,7,9,0,5.181321389018311
P_F1_strict_functional,negNLL,prior,6,1.0,7,9,0,5.055868288206751
P_F1_strict_functional,negNLL,prior,7,1.0,7,9,0,4.985986772802737
P_F1_strict_functional,negNLL,prior,8,1.0,7,9,0,4.977252175220133
