replicate,case,residual_block_correlation,permutation_p,detected_at_0.05,stable_descriptor,truly_incremental,redundant_with_functional
0,stable_endpoint_irrelevant,-0.06397471638062478,0.92,0,1,0,0
0,incremental_representation,0.6272785018169689,0.02,1,0,1,0
0,functionally_redundant,0.005015201721253882,0.56,0,0,0,1
1,stable_endpoint_irrelevant,0.02390087533563967,0.24,0,1,0,0
1,incremental_representation,0.6705610917105942,0.02,1,0,1,0
1,functionally_redundant,0.004387291190650598,0.44,0,0,0,1
2,stable_endpoint_irrelevant,0.03777465312181531,0.26,0,1,0,0
2,incremental_representation,0.6830449210023791,0.02,1,0,1,0
2,functionally_redundant,0.03149563764653848,0.26,0,0,0,1
3,stable_endpoint_irrelevant,0.026907411448533564,0.36,0,1,0,0
3,incremental_representation,0.64650309097719,0.02,1,0,1,0
3,functionally_redundant,-0.021177571564191533,0.64,0,0,0,1
4,stable_endpoint_irrelevant,-0.008582648878821923,0.54,0,1,0,0
4,incremental_representation,0.682703947526917,0.02,1,0,1,0
4,functionally_redundant,-0.010101289676457618,0.64,0,0,0,1
5,stable_endpoint_irrelevant,0.03474365490247802,0.3,0,1,0,0
5,incremental_representation,0.6249351393003083,0.02,1,0,1,0
5,functionally_redundant,-0.08118474370859907,0.94,0,0,0,1
6,stable_endpoint_irrelevant,0.0427785904576248,0.26,0,1,0,0
6,incremental_representation,0.5833206425802894,0.02,1,0,1,0
6,functionally_redundant,0.0166168937010829,0.34,0,0,0,1
7,stable_endpoint_irrelevant,0.013634242067341679,0.46,0,1,0,0
7,incremental_representation,0.5850791877229902,0.02,1,0,1,0
7,functionally_redundant,0.019625438508191498,0.22,0,0,0,1
8,stable_endpoint_irrelevant,0.0113163076878533,0.34,0,1,0,0
8,incremental_representation,0.6459843805636238,0.02,1,0,1,0
8,functionally_redundant,0.056049410051023055,0.14,0,0,0,1
9,stable_endpoint_irrelevant,-0.01546705711523214,0.62,0,1,0,0
9,incremental_representation,0.6533914428841003,0.02,1,0,1,0
9,functionally_redundant,0.09522021141154832,0.02,1,0,0,1
10,stable_endpoint_irrelevant,0.045468864101009476,0.16,0,1,0,0
10,incremental_representation,0.6371538521369919,0.02,1,0,1,0
10,functionally_redundant,-0.04897908881045103,0.84,0,0,0,1
11,stable_endpoint_irrelevant,0.02562278393716145,0.24,0,1,0,0
11,incremental_representation,0.6586409097622473,0.02,1,0,1,0
11,functionally_redundant,-0.01639677827035132,0.78,0,0,0,1
12,stable_endpoint_irrelevant,0.06763435417101951,0.12,0,1,0,0
12,incremental_representation,0.609499697085379,0.02,1,0,1,0
12,functionally_redundant,0.1171671141414117,0.02,1,0,0,1
13,stable_endpoint_irrelevant,-0.07071349293170845,0.94,0,1,0,0
13,incremental_representation,0.6171991603502918,0.02,1,0,1,0
13,functionally_redundant,-0.037241251183885854,0.84,0,0,0,1
14,stable_endpoint_irrelevant,-0.015933507399897972,0.68,0,1,0,0
14,incremental_representation,0.6824424767683508,0.02,1,0,1,0
