path,sha256,size_bytes,row_count,raw_trial_cache
oaci/reports/C75_REPRESENTATION_CONSTRUCT_VALIDITY.md,936c952cd4d1ac208288b708579d0f6a349727be6fa20fcbabae2337e2f4d5bc,4852,0,0
oaci/reports/C75_REPRESENTATION_CONSTRUCT_VALIDITY.json,bc81456545f23ca9e6d098e4a842eb58872ef6fe20a55695d9c0aa2350bf041f,6449,0,0
oaci/reports/C75_FACTORIZATION_NONIDENTIFIABILITY_NOTE.md,92d13d02fc7fa76eccb8a3775abbc332fd22deab307fc3a3e65cdf10ef4e971f,1868,0,0
oaci/reports/C75_RED_TEAM_VERIFICATION.md,dd328f9726ec904c4c58518ceb50eb94b61e9c9fa93bb34403b01258c674f6f3,5255,0,0
oaci/reports/C75_REPRESENTATION_CONSTRUCT_ANALYSIS_STATE.json,443e279f1a64ca68b70442867030252d4b7b5086def04db6d6be1db66b86df88,2736,0,0
oaci/reports/C75_REPRESENTATION_CONSTRUCT_PROTOCOL.json,a42f06909ca05ba96edd28d611783a1ba5ab6ecd8ff91a0e53ee4396dfc97c7b,10279,0,0
oaci/reports/C75_REPRESENTATION_CONSTRUCT_PROTOCOL.sha256,17266fe2b269f0171ef1d5aec0a032c522417f4d9ec0ef1013c02e8250ad6d6f,65,0,0
oaci/reports/C75_PROTOCOL_TIMING_AUDIT.md,b4cbe17d566b1b03ef6ee9c655071d6ffaafa9f77f2ab18b03faab0e3cb3b5a1,472,0,0
oaci/reports/c75_tables/Wz_logit_redundancy.csv,a4e7dbbb6fd92c8e002713070e558639f2a2a1d3041006160309cf970fc316ce,557,2,0
oaci/reports/c75_tables/actionability_increment_summary.csv,0a5f94ea683f5bb440adc5415b193097e12fa2a1ee0df59dd0f9c213b10d728c,852,5,0
oaci/reports/c75_tables/actionability_target_ledger.csv,120eebdd58ee894f47b55ff5ceb55a54bd33a23ad57456b777d46ea38bb9187d,10006,45,0
oaci/reports/c75_tables/bandwidth_nested_null_audit.csv,3c78d163f444a12dea66c61ada91e37ffdcd9acb49c365c037ffb30936e233ff,1052,6,0
oaci/reports/c75_tables/c74_identity_replay.csv,4ebac0ba9b62e287f34b7524922bef91bb37d09dfa48a614f763e936ed4e5cc6,1567,7,0
oaci/reports/c75_tables/candidate_vs_target_common_projection.csv,7db9b0d75932736e3adc62c685ba02bfdda88bd39f2141c3f9a433baefaa4374,302,3,0
oaci/reports/c75_tables/conditional_estimator_contract.csv,3e93f3b329719581568878a59274d2f43eed3197ac9361a071f419968df32f49,476,6,0
oaci/reports/c75_tables/counterfactual_blocked_effects.csv,f2389c736fd29ef904a00f419210b57648e53a5609358b41e153df9b53139851,1703,18,0
oaci/reports/c75_tables/counterfactual_identity_vs_mechanism.csv,999dc277a9b68c9a3f15336c8b7985ac3312a1989f66ef287e5122281fec959e,433,2,0
oaci/reports/c75_tables/counterfactual_matched_nulls.csv,4c02aa54e0e5e2d35c7b7e6484abe43f7ace0c5994b414d66121e535e3c3a764,104916,1996,0
