target_id,class_index,pearson,spearman,mean_absolute_split_difference
1,0,0.9873024902483452,0.9695652173913042,0.23886980271587768
1,1,0.9918186558765515,0.9539130434782607,0.08549419790506363
1,2,0.9888920315807701,0.9791304347826085,0.09562471291671197
1,3,0.9926488335113947,0.9826086956521738,0.14333120135900876
2,0,0.9909180751153224,0.9782608695652173,0.14522719910989204
2,1,0.9906692343077371,0.9660869565217389,0.07411973799268405
2,2,0.990281428736531,0.9860869565217389,0.134896753821522
2,3,0.994531246980583,0.9930434782608695,0.13704491903384527
3,0,0.9849351311365917,0.9756521739130434,0.09173303221662839
3,1,0.967454005452239,0.9539130434782607,0.130358909877638
3,2,0.9924900884870927,0.9808695652173912,0.08202976857622464
3,3,0.978760621960936,0.9713043478260868,0.11138791839281718
4,0,0.9939278231794477,0.9895652173913043,0.08694238176879783
4,1,0.9946291772077603,0.9843478260869565,0.19812647315363088
4,2,0.9970045179438882,0.9904347826086956,0.06080894188683791
4,3,0.9972140549925459,0.983478260869565,0.07264168154021415
5,0,0.99744634519621,0.9913043478260868,0.13469955573479334
5,1,0.995773678162016,0.988695652173913,0.10065458342432976
5,2,0.9987380111304857,0.9939130434782607,0.0665725643436114
5,3,0.9968355790655729,0.9930434782608695,0.1567365980396668
6,0,0.9903597704675159,0.9365217391304346,0.2164080934599042
6,1,0.9777925898352693,0.9608695652173912,0.09062461170105962
6,2,0.9823526809485938,0.9652173913043477,0.0990801453590393
6,3,0.9902835455820627,0.9930434782608695,0.07328294465939204
7,0,0.9876214822642669,0.9695652173913042,0.0526108288904652
7,1,0.9692360899408055,0.96,0.10775801710163553
7,2,0.987879266590389,0.9626086956521739,0.06607111502671614
7,3,0.9862447544656795,0.9773913043478261,0.0660346286992232
8,0,0.988224901636924,0.9826086956521738,0.16086430333477134
8,1,0.9938272994720415,0.994782608695652,0.07857686467468739
8,2,0.99261827736113,0.983478260869565,0.06213315681088716
8,3,0.9924107023323822,0.983478260869565,0.0920410911833945
9,0,0.981110820833471,0.9756521739130434,0.09945079257401328
9,1,0.9920998965477253,0.983478260869565,0.5050624160212465
9,2,0.9937044966551146,0.983478260869565,0.10737034969497472
9,3,0.992572610925204,0.946086956521739,0.0882242073615392
