check,expected,observed,status
repair_protocol_commit,e88a24484590636f87d0f22798401a762875046a,e88a24484590636f87d0f22798401a762875046a,PASS
repair_protocol_sha256,2d72eb5119056a6520fd33fc0ac14ee6270bfd573b59c36b74be6aa3dc25fe39,2d72eb5119056a6520fd33fc0ac14ee6270bfd573b59c36b74be6aa3dc25fe39,PASS
final_adapter_commit,e5cb41a5cd389674e3ec201d5c5f68a361c2fed3,e5cb41a5cd389674e3ec201d5c5f68a361c2fed3,PASS
final_adapter_sha256,7e5ac0ba829bf5f233ed469f6fb8f6da4054d0bf4d024a0736a45e3674f1b56c,7e5ac0ba829bf5f233ed469f6fb8f6da4054d0bf4d024a0736a45e3674f1b56c,PASS
replacement_lock_commit,f19acd8775f9b0ddf60401739741bec0019d021c,f19acd8775f9b0ddf60401739741bec0019d021c,PASS
replacement_lock_sha256,e18f2b5f1d79b6fcd96207339c5842e30b7aecb5bc22b8939a475487068b1b82,e18f2b5f1d79b6fcd96207339c5842e30b7aecb5bc22b8939a475487068b1b82,PASS
field_view_manifest_digest,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,PASS
scientific_registry_bound_cells,80,80,PASS
scientific_registry_blank_cells,0,0,PASS
taxonomy_cases,5,5,PASS
near_FULL_ordinal_set,32|FULL,32|FULL,PASS
report_table_schemas,19,19,PASS
new_authorization_record_absent,1,1,PASS
