risk,severity,status,blocking_readiness,evidence
historical_protocol_silently_reused,blocking,CLOSED,0,old_f5d83b3_and_972f47c_marked_historical_superseded
historical_authorization_reused,blocking,CLOSED,0,old_record_is_blocked_and_new_record_path_is_distinct_and_absent
taxonomy_overlap_or_missing_precedence,blocking,CLOSED,0,priority_1_through_5_machine_locked
near_FULL_undefined,blocking,CLOSED,0,ordinal_set_32_FULL_machine_locked
FULL_called_61_labels,major,CLOSED,0,cell_specific_semantics_locked_no_interpolation
authorization_guard_schema_mismatch,blocking,CLOSED,0,canonical_lock_protocol_sha256_nested_field_tested
real_adapter_unbound,blocking,CLOSED,0,adapter_blob_7e5ac0ba_locked_by_f19acd8
evaluation_open_before_selection_freeze,blocking,CLOSED,0,separate_stages_and_selection_manifest_hash_replay
target4_primary_contamination,blocking,CLOSED,0,target4_excluded_in_guard_route_and_adapter
same_label_oracle_access,blocking,CLOSED,0,route_scanner_and_view_allowlist_reject_oracle
construction_evaluation_overlap,blocking,CLOSED,0,evaluation_stage_requires_disjoint_union_of_576_trial_IDs
trial_ID_or_row_order_feature,blocking,CLOSED,0,used_only_for_alignment_and_view_partition
budget_grid_or_selector_drift,blocking,CLOSED,0,base_protocol_inherited_by_content_hash
RNG_or_MC_drift,blocking,CLOSED,0,2048_PCG64_SHA256_stream_locked
multiple_unadjusted_budget_tests,blocking,CLOSED,0,exact_maxT_and_simultaneous_target_band_locked
Monte_Carlo_draws_treated_as_samples,major,CLOSED,0,target_is_primary_cluster_and_MC_is_numerical_integration
seed3_seed4_treated_independent,major,CLOSED,0,paired_target_difference_band_locked
source_relative_topk_omitted,major,CLOSED,0,exact_P1A_source_baseline_deltas_implemented
secondary_target_uncertainty_omitted,major,CLOSED,0,S1_S2_target_simultaneous_bands_implemented
S3_used_to_rescue_H2,major,CLOSED,0,descriptive_only_no_qualification_and_LOTO
small_target_count,major,ACKNOWLEDGED,0,eight_target_limitation_and_exact_target_resampling
new_authorization_absent,blocking_execution,PROTECTED,0,required_future_PI_reauthorization_not_a_readiness_failure
real_adapter_not_executed_in_C80R,expected,PROTECTED,0,synthetic_and_schema_only_development_boundary
raw_cache_or_weights_in_git,blocking,CLOSED,0,external_payload_only_and_Git_size_scan_required
unauthorized_scientific_execution,blocking,CLOSED,0,run_real_fails_before_loader_without_new_record
BNCI2014_004_scope_creep,blocking,CLOSED,0,no_access_or_entrypoint
manuscript_scope_creep,blocking,CLOSED,0,no_manuscript_artifact
C81_automatic_authorization,blocking,CLOSED,0,readiness_gate_requires_new_PI_action_and_stops
