ordinal,check,status,evidence
1,repair_protocol_hash_replays,PASS,2d72eb5119056a6520fd33fc0ac14ee6270bfd573b59c36b74be6aa3dc25fe39
2,repair_protocol_commit_predates_adapter,PASS,e88a244_before_0e9dedc_and_e5cb41a
3,historical_protocol_and_lock_preserved,PASS,f5d83b3_and_972f47c_unchanged
4,historical_authorization_not_reusable,PASS,blocked_record_and_distinct_future_record_path
5,accepted_preflight_had_no_outcome_contamination,PASS,6c18fd4_protected_state_all_zero
6,taxonomy_has_five_cases,PASS,5_of_5
7,taxonomy_priority_is_mutually_exclusive,PASS,C80E_then_D_then_B_then_C_then_A
8,near_FULL_is_ordinal,PASS,32_or_FULL
9,FULL_is_not_numeric_61,PASS,cell_specific_and_no_interpolation
10,historical_scientific_base_hash_replays,PASS,c6292597f5610cb96e8eaf0313eaa741f8fa9b11dd89ff9e4d84db1fa33add85
11,scientific_registry_complete,PASS,80_of_80_blank_0
12,canonical_guard_field_repaired,PASS,lock_protocol_sha256_nested_schema
13,guard_schema_regression_present,PASS,test_historical_guard_uses_nested_protocol_sha_schema
14,guard_precedes_external_array_load,PASS,test_loader_calls_zero_without_new_authorization
15,new_PI_authorization_absent,PASS,C80E_REPAIRED_PI_AUTHORIZATION_RECORD_absent
16,run_real_fails_closed,PASS,new_direct_C80E_PI_authorization_record_is_absent
17,real_adapter_blob_locked,PASS,7e5ac0ba829bf5f233ed469f6fb8f6da4054d0bf4d024a0736a45e3674f1b56c
18,selection_stage_has_no_evaluation_view_access,PASS,construction_only_static_test
19,selection_outputs_content_addressed_and_frozen,PASS,SELECTION_OUTPUTS_FROZEN_manifest_required
20,evaluation_requires_selection_hash_replay,PASS,manifest_self_hash_and_descriptor_replay
21,construction_evaluation_disjointness_enforced,PASS,disjoint_union_must_equal_576_trial_IDs
22,same_label_oracle_unreachable,PASS,route_scanner_and_view_allowlist
23,target4_excluded,PASS,primary_targets_1_2_3_5_6_7_8_9
24,trial_ID_and_row_order_not_features,PASS,alignment_and_partition_only
25,Q0_budget_grid_exact,PASS,1_2_4_8_16_32_FULL
26,MC_and_RNG_exact,PASS,2048_PCG64_SHA256_base8001
27,source_relative_topk_implemented,PASS,top1_top5_top10_and_exact_P1A_delta
28,seed_specific_maxT_implemented,PASS,exact_target_Rademacher_budget_family
29,primary_and_secondary_simultaneous_bands_implemented,PASS,target_cluster_8192
30,cross_seed_paired_budget_band_implemented,PASS,all_7_budgets_seed8033
31,S3_fixed_descriptive_LOTO_only,PASS,no_H2_rescue_or_qualification
32,all_five_paths_unconditional,PASS,P1_P2_S1_S2_S3
33,result_schemas_complete,PASS,19_tables_plus_machine_JSON
34,field_and_view_manifest_binding_complete,PASS,11_manifest_and_route_objects
35,lock_contains_no_raw_NPZ_payload,PASS,JSON_CSV_manifest_bindings_only
36,real_budget_result_absent,PASS,C80_LABEL_BUDGET_FRONTIER_JSON_absent
37,training_forward_reinference_GPU_absent,PASS,C80R_CPU_schema_synthetic_only
38,BNCI2014_004_absent,PASS,no_path_or_access
39,manuscript_absent,PASS,no_manuscript_artifact
40,C81_not_authorized,PASS,stop_at_PI_reauthorization_readiness
