dataset,target_subject,token_seed,is_confirm4f,alpha_star,cos_u_S,captured_fraction,u_capture,v_capture
BNCI2014_001,1,0,False,1.0,0.8524,0.6624,0.8524,0.6755
BNCI2014_001,1,20260721,True,1.0,0.2434,0.5288,0.2434,0.4089
BNCI2014_001,1,20260722,True,1.0,0.4514,0.2779,0.4514,0.4948
BNCI2014_001,1,20260723,True,1.5,0.0821,0.2091,0.0821,0.4199
BNCI2014_001,1,20260724,True,2.0,0.5732,0.7285,0.5732,0.8404
BNCI2014_001,1,20260725,True,2.0,0.6082,0.7347,0.6082,0.8138
BNCI2014_001,1,20260726,True,1.0,0.5403,0.421,0.5403,0.8536
BNCI2014_001,1,20260727,True,1.0,0.396,0.6095,0.396,0.5439
BNCI2014_001,1,20260728,True,1.5,0.3091,0.5694,0.3091,0.4962
BNCI2014_001,2,0,False,1.5,0.0573,0.6778,0.0573,0.8687
BNCI2014_001,2,20260721,True,1.0,0.3445,0.5938,0.3445,0.8303
BNCI2014_001,2,20260722,True,1.5,0.7365,0.7984,0.7365,0.6306
BNCI2014_001,2,20260723,True,1.0,0.6504,0.4485,0.6504,0.2073
BNCI2014_001,2,20260724,True,2.0,0.3094,0.5279,0.3094,0.7583
BNCI2014_001,2,20260725,True,2.0,0.5127,0.6196,0.5127,0.7126
BNCI2014_001,2,20260726,True,1.0,0.4011,0.6994,0.4011,0.659
BNCI2014_001,2,20260727,True,1.0,0.3411,0.3379,0.3411,0.4899
BNCI2014_001,2,20260728,True,1.0,0.5542,0.8362,0.5542,0.814
BNCI2014_001,3,0,False,1.0,0.6589,0.508,0.6589,0.56
BNCI2014_001,3,20260721,True,1.0,0.2868,0.6463,0.2868,0.7692
BNCI2014_001,3,20260722,True,1.0,0.4245,0.3996,0.4245,0.6653
BNCI2014_001,3,20260723,True,2.0,0.4582,0.5802,0.4582,0.6956
BNCI2014_001,3,20260724,True,1.0,0.5092,0.4866,0.5092,0.7917
BNCI2014_001,3,20260725,True,1.0,0.2853,0.2895,0.2853,0.691
BNCI2014_001,3,20260726,True,1.0,0.0838,0.4749,0.0838,0.5192
BNCI2014_001,3,20260727,True,2.0,0.0805,0.2801,0.0805,0.4211
BNCI2014_001,3,20260728,True,2.0,0.445,0.7644,0.445,0.7939
