dataset,target_subject,token_seed,k,lam,netted_rec,clean_drop
BNCI2014_001,1,0,1,0.5,0.12402000157492721,0.01215277777777779
BNCI2014_001,1,0,1,1.0,0.2671982045830383,0.04456018518518523
BNCI2014_001,1,0,2,0.5,0.2893889282620677,0.015046296296296243
BNCI2014_001,1,0,2,1.0,0.6495188597527365,0.06539351851851853
BNCI2014_001,1,0,4,0.5,0.4128285691786755,0.01851851851851849
BNCI2014_001,1,0,4,1.0,0.8791038664461767,0.07233796296296298
BNCI2014_001,1,20260721,1,0.5,-0.37061143984220674,0.00983796296296302
BNCI2014_001,1,20260721,1,1.0,-0.5923076923076903,0.030671296296296353
BNCI2014_001,1,20260721,2,0.5,-0.3780078895463493,0.019097222222222283
BNCI2014_001,1,20260721,2,1.0,-0.9981262327416133,0.05381944444444453
BNCI2014_001,1,20260721,4,0.5,-0.27879684418145606,0.014467592592592634
BNCI2014_001,1,20260721,4,1.0,-1.132938856015773,0.047453703703703796
BNCI2014_001,1,20260722,1,0.5,-0.20688159321699728,0.011574074074074051
BNCI2014_001,1,20260722,1,1.0,-0.08966577935522035,0.041087962962962944
BNCI2014_001,1,20260722,2,0.5,-0.2965000492950808,0.006365740740740681
BNCI2014_001,1,20260722,2,1.0,0.10168589174800298,0.06597222222222221
BNCI2014_001,1,20260722,4,0.5,-0.007100463373755399,0.011574074074074051
BNCI2014_001,1,20260722,4,1.0,0.5127970028591154,0.0711805555555556
BNCI2014_001,1,20260723,1,0.5,0.22818060127838893,-0.00347222222222221
BNCI2014_001,1,20260723,1,1.0,0.5240281432554574,-0.0028935185185184897
BNCI2014_001,1,20260723,2,0.5,0.2464252889916898,0.010995370370370313
BNCI2014_001,1,20260723,2,1.0,0.6125493471114857,0.041087962962962944
BNCI2014_001,1,20260723,4,0.5,0.26468251934998405,0.011574074074074034
BNCI2014_001,1,20260723,4,1.0,0.6178751104820215,0.03877314814814814
BNCI2014_001,1,20260724,1,0.5,0.007187769952574523,0.00520833333333337
BNCI2014_001,1,20260724,1,1.0,0.0231005113752183,0.01273148148148151
BNCI2014_001,1,20260724,2,0.5,0.204192348817435,0.00462962962962965
BNCI2014_001,1,20260724,2,1.0,0.35168424339771276,0.01388888888888895
BNCI2014_001,1,20260724,4,0.5,0.19108682743523622,0.00868055555555558
BNCI2014_001,1,20260724,4,1.0,0.47752680822934024,0.01678240740740744
BNCI2014_001,1,20260725,1,0.5,0.3743886209439964,0.0011574074074074403
BNCI2014_001,1,20260725,1,1.0,0.6441620641446231,0.0023148148148148806
BNCI2014_001,1,20260725,2,0.5,0.38417483849151957,-0.0005787037037036832
