dataset,target_subject,token_seed,is_confirm4f,ncls,alpha_star,stress_unmet,k_star,lam_star,margin,scale,c_target,sel_netted_rec,sel_clean_drop
BNCI2014_001,1,0,False,4,1.0,False,4,1.0,4.2894,2.6788,0,0.8791,0.0723
BNCI2014_001,1,20260721,True,4,1.0,False,1,0.5,4.2894,2.6404,2,-0.3706,0.0098
BNCI2014_001,1,20260722,True,4,1.0,False,2,0.5,4.2894,2.2728,2,-0.2965,0.0064
BNCI2014_001,1,20260723,True,4,1.5,False,1,1.0,4.2894,2.2796,0,0.524,-0.0029
BNCI2014_001,1,20260724,True,4,2.0,True,2,0.5,4.2894,2.536,3,0.2042,0.0046
BNCI2014_001,1,20260725,True,4,2.0,False,4,1.0,4.2894,2.6341,0,0.7998,0.0087
BNCI2014_001,1,20260726,True,4,1.0,False,4,1.0,4.2894,2.3888,1,0.7826,0.092
BNCI2014_001,1,20260727,True,4,1.0,False,4,0.5,4.2894,2.678,0,0.7194,0.0087
BNCI2014_001,1,20260728,True,4,1.5,False,1,0.5,4.2894,2.4922,0,-0.0678,0.0069
BNCI2014_001,2,0,False,4,1.5,False,1,1.0,1.1181,1.1037,3,1.1679,0.0064
BNCI2014_001,2,20260721,True,4,1.0,False,4,1.0,1.1181,0.9601,0,0.3761,0.0012
BNCI2014_001,2,20260722,True,4,1.5,False,4,1.0,1.1181,1.0437,2,0.7974,-0.0035
BNCI2014_001,2,20260723,True,4,1.0,False,4,1.0,1.1181,1.0051,2,0.6081,0.0006
BNCI2014_001,2,20260724,True,4,2.0,True,2,1.0,1.1181,1.1329,0,0.6212,0.0069
BNCI2014_001,2,20260725,True,4,2.0,False,4,0.5,1.1181,1.0673,0,0.4065,0.0069
BNCI2014_001,2,20260726,True,4,1.0,False,2,0.5,1.1181,1.039,0,0.4295,0.0075
BNCI2014_001,2,20260727,True,4,1.0,False,4,0.5,1.1181,1.1088,0,0.9585,0.0012
BNCI2014_001,2,20260728,True,4,1.0,False,4,1.0,1.1181,1.0299,2,0.7107,-0.0064
BNCI2014_001,3,0,False,4,1.0,False,4,1.0,0.2,0.9595,2,1.2687,0.0087
BNCI2014_001,3,20260721,True,4,1.0,False,4,1.0,0.2,0.9386,1,0.8321,0.0006
BNCI2014_001,3,20260722,True,4,1.0,False,4,1.0,0.2,1.0601,3,0.4802,0.0069
BNCI2014_001,3,20260723,True,4,2.0,False,4,0.5,0.2,1.0107,3,2.1061,0.0052
BNCI2014_001,3,20260724,True,4,1.0,False,4,1.0,0.2,1.0938,1,0.5908,-0.0093
BNCI2014_001,3,20260725,True,4,1.0,False,1,0.5,0.2,1.1872,3,0.4343,0.0098
BNCI2014_001,3,20260726,True,4,1.0,False,1,0.5,0.2,0.9554,2,0.6157,0.0093
BNCI2014_001,3,20260727,True,4,2.0,False,1,1.0,0.2,1.0075,1,0.9183,0.0081
BNCI2014_001,3,20260728,True,4,2.0,False,4,0.5,0.2,0.9414,2,0.3447,0.0023
BNCI2014_001,4,0,False,4,1.0,False,1,1.0,1.5454,1.7779,3,5.2575,0.1343
BNCI2014_001,4,20260721,True,4,1.5,False,4,0.5,1.5454,1.6031,3,0.2651,0.0069
BNCI2014_001,4,20260722,True,4,1.0,False,2,1.0,1.5454,1.7142,0,1.1903,0.0602
BNCI2014_001,4,20260723,True,4,2.0,False,4,0.5,1.5454,1.5612,2,0.4492,0.0064
BNCI2014_001,4,20260724,True,4,2.0,True,4,1.0,1.5454,1.7622,1,0.9569,0.0567
BNCI2014_001,4,20260725,True,4,1.0,False,1,0.5,1.5454,1.7631,1,0.8688,0.026
BNCI2014_001,4,20260726,True,4,1.5,False,4,1.0,1.5454,1.6215,2,0.9664,0.1053
BNCI2014_001,4,20260727,True,4,1.0,False,1,1.0,1.5454,1.7332,2,1.4185,0.0793
BNCI2014_001,4,20260728,True,4,1.0,False,1,0.5,1.5454,1.6853,1,10.7642,0.026
BNCI2014_001,5,0,False,4,1.0,False,2,0.5,0.2,0.3283,3,1.1944,-0.0069
BNCI2014_001,5,20260721,True,4,1.5,False,2,0.5,0.2,0.3201,1,0.7143,0.0017
BNCI2014_001,5,20260722,True,4,1.5,False,4,1.0,0.2,0.3886,1,0.0635,-0.0226
BNCI2014_001,5,20260723,True,4,1.5,False,4,1.0,0.2,0.3608,3,1.1528,0.0052
BNCI2014_001,5,20260724,True,4,1.0,False,2,1.0,0.2,0.3764,3,1.5952,-0.0029
BNCI2014_001,5,20260725,True,4,1.5,False,2,1.0,0.2,0.3717,0,0.1111,-0.0087
BNCI2014_001,5,20260726,True,4,1.5,False,2,1.0,0.2,0.3816,2,0.8891,0.0052
BNCI2014_001,5,20260727,True,4,1.0,False,2,1.0,0.2,0.3272,3,2.75,0.0029
BNCI2014_001,5,20260728,True,4,1.5,False,2,1.0,0.2,0.3354,0,4.4238,0.0035
BNCI2014_001,6,0,False,4,1.5,False,4,0.5,0.2201,0.4039,3,1.9167,-0.0012
BNCI2014_001,6,20260721,True,4,1.0,False,4,1.0,0.2201,0.3929,3,1.3462,0.0087
BNCI2014_001,6,20260722,True,4,1.0,False,1,1.0,0.2201,0.4276,2,3.1905,0.0382
BNCI2014_001,6,20260723,True,4,1.0,False,1,0.5,0.2201,0.4213,3,4.0238,0.0087
BNCI2014_001,6,20260724,True,4,2.0,True,2,1.0,0.2201,0.4317,2,0.9033,-0.0052
BNCI2014_001,6,20260725,True,4,1.0,False,4,0.5,0.2201,0.4582,0,2.6667,0.0087
BNCI2014_001,6,20260726,True,4,1.0,False,1,1.0,0.2201,0.4758,2,1.496,0.0399
BNCI2014_001,6,20260727,True,4,1.0,False,2,0.5,0.2201,0.4276,2,2.2122,-0.0081
BNCI2014_001,6,20260728,True,4,1.0,False,2,0.5,0.2201,0.3772,2,2.1667,-0.0104
BNCI2014_001,7,0,False,4,1.0,False,2,1.0,0.7771,1.1602,0,-0.17,0.0793
BNCI2014_001,7,20260721,True,4,1.5,False,2,1.0,0.7771,1.1045,3,1.0394,0.0532
BNCI2014_001,7,20260722,True,4,1.5,False,4,1.0,0.7771,1.184,0,0.9841,0.0289
BNCI2014_001,7,20260723,True,4,1.0,False,4,1.0,0.7771,1.2087,3,3.1355,0.0475
BNCI2014_001,7,20260724,True,4,1.0,False,1,0.5,0.7771,1.1227,3,-1.4784,0.0064
BNCI2014_001,7,20260725,True,4,1.5,False,2,0.5,0.7771,1.2778,2,-0.1417,0.0041
BNCI2014_001,7,20260726,True,4,1.0,False,4,0.5,0.7771,1.2107,2,0.6,0.0208
BNCI2014_001,7,20260727,True,4,2.0,False,1,1.0,0.7771,1.1632,0,1.0331,0.0521
BNCI2014_001,7,20260728,True,4,1.0,False,1,1.0,0.7771,1.0571,0,1.7719,0.0058
BNCI2014_001,8,0,False,4,1.0,False,1,0.5,0.2,0.5255,2,1.8889,-0.011
BNCI2014_001,8,20260721,True,4,1.0,False,4,1.0,0.2,0.4645,1,2.1481,0.0064
BNCI2014_001,8,20260722,True,4,1.0,False,4,0.5,0.2,0.5354,2,1.8095,0.0006
BNCI2014_001,8,20260723,True,4,1.0,False,4,0.5,0.2,0.5426,3,1.1026,-0.0179
BNCI2014_001,8,20260724,True,4,1.0,False,2,1.0,0.2,0.5499,3,1.625,0.0347
BNCI2014_001,8,20260725,True,4,1.5,False,2,0.5,0.2,0.6176,3,0.4444,0.0098
BNCI2014_001,8,20260726,True,4,1.5,False,1,1.0,0.2,0.5782,1,1.162,-0.0087
BNCI2014_001,8,20260727,True,4,1.0,False,2,1.0,0.2,0.5137,1,0.9197,-0.0162
BNCI2014_001,8,20260728,True,4,1.0,False,4,0.5,0.2,0.4823,2,2.2037,-0.0162
BNCI2014_001,9,0,False,4,1.0,False,4,0.5,0.321,0.6562,1,0.3241,0.0185
BNCI2014_001,9,20260721,True,4,1.0,False,2,1.0,0.321,0.66,2,-1.0833,0.1024
BNCI2014_001,9,20260722,True,4,1.0,False,4,1.0,0.321,0.7518,3,0.9113,0.0388
BNCI2014_001,9,20260723,True,4,1.0,False,2,0.5,0.321,0.7625,1,4.4609,0.0087
BNCI2014_001,9,20260724,True,4,2.0,True,2,0.5,0.321,0.7114,2,0.0909,0.0058
BNCI2014_001,9,20260725,True,4,1.0,False,1,1.0,0.321,0.7923,1,7.1389,0.0556
BNCI2014_001,9,20260726,True,4,1.5,False,4,0.5,0.321,0.7617,1,0.2495,0.0069
BNCI2014_001,9,20260727,True,4,1.5,False,4,1.0,0.321,0.6005,1,1.1229,0.0498
BNCI2014_001,9,20260728,True,4,1.0,False,4,1.0,0.321,0.6001,3,0.5,0.099
BNCI2015_001,10,0,False,2,1.0,False,4,1.0,0.5426,3.3012,0,-0.1169,-0.015
BNCI2015_001,10,20260721,True,2,2.0,True,4,1.0,0.5426,3.3354,0,0.3005,-0.0075
BNCI2015_001,10,20260722,True,2,1.5,False,4,1.0,0.5426,3.5032,0,1.3598,-0.0089
BNCI2015_001,10,20260723,True,2,2.0,True,2,1.0,0.5426,3.2834,0,0.966,-0.0103
BNCI2015_001,10,20260724,True,2,1.5,False,4,0.5,0.5426,3.1511,0,0.4274,0.0036
BNCI2015_001,10,20260725,True,2,1.0,False,1,1.0,0.5426,3.0925,0,0.7232,-0.0211
BNCI2015_001,10,20260726,True,2,2.0,True,1,1.0,0.5426,3.2808,0,1.6215,-0.0469
BNCI2015_001,10,20260727,True,2,1.0,False,2,1.0,0.5426,3.0846,0,1.3941,-0.0047
BNCI2015_001,10,20260728,True,2,1.0,False,4,1.0,0.5426,3.1564,0,0.3146,-0.0347
BNCI2015_001,11,0,False,2,1.5,False,2,1.0,5.3539,4.7646,1,0.896,0.0097
BNCI2015_001,11,20260721,True,2,1.5,False,4,1.0,5.3539,4.8607,1,0.8329,-0.0025
BNCI2015_001,11,20260722,True,2,1.0,False,4,1.0,5.3539,4.622,0,0.9486,-0.0011
BNCI2015_001,11,20260723,True,2,2.0,True,4,1.0,5.3539,4.5395,1,0.8543,-0.0069
BNCI2015_001,11,20260724,True,2,2.0,False,4,1.0,5.3539,4.7104,0,0.9142,0.0058
BNCI2015_001,11,20260725,True,2,2.0,True,4,1.0,5.3539,4.6073,0,0.668,-0.0039
BNCI2015_001,11,20260726,True,2,2.0,False,4,1.0,5.3539,4.5882,1,0.6153,-0.05
BNCI2015_001,11,20260727,True,2,1.5,False,4,1.0,5.3539,4.4071,1,0.8867,0.0017
BNCI2015_001,11,20260728,True,2,1.0,False,4,1.0,5.3539,4.6109,1,0.9135,-0.0125
BNCI2015_001,12,0,False,2,1.5,False,4,1.0,3.6324,3.7961,1,0.5661,-0.0883
BNCI2015_001,12,20260721,True,2,1.5,False,1,1.0,3.6324,4.179,1,0.9706,0.0025
BNCI2015_001,12,20260722,True,2,1.0,False,2,1.0,3.6324,3.9477,0,0.8211,-0.0025
BNCI2015_001,12,20260723,True,2,2.0,True,4,1.0,3.6324,3.8498,1,0.7361,-0.09
BNCI2015_001,12,20260724,True,2,1.0,False,4,0.5,3.6324,3.8974,1,0.3528,-0.0053
BNCI2015_001,12,20260725,True,2,2.0,False,4,1.0,3.6324,3.811,1,0.6051,-0.0058
BNCI2015_001,12,20260726,True,2,1.5,False,4,1.0,3.6324,3.7601,1,0.6631,-0.0892
BNCI2015_001,12,20260727,True,2,1.0,False,4,1.0,3.6324,3.5678,0,0.9801,0.0058
