dataset,target_subject,token_seed,E3_inj_bacc,E3_cln_bacc,E3_raw_rec,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_raw_rec,ERASE_netted_rec
BNCI2014_001,1,20260721,0.2917,0.4045,-0.0317,-0.0317,0.3194,0.4253,0.2222,0.0317
BNCI2014_001,1,20260722,0.2778,0.4045,-0.0282,-0.0282,0.3229,0.3559,0.338,0.7324
BNCI2014_001,1,20260723,0.3646,0.4097,0.0417,-0.0833,0.3594,0.3906,-0.0833,0.25
BNCI2014_001,1,20260724,0.3976,0.4045,0.7778,0.7778,0.3576,0.3472,-0.5,1.3333
BNCI2014_001,1,20260725,0.3559,0.4149,0.0968,-0.0968,0.3056,0.3368,-0.8387,0.4194
BNCI2014_001,1,20260726,0.3038,0.408,0.0169,-0.0169,0.3229,0.3924,0.2034,0.322
BNCI2014_001,1,20260727,0.3837,0.4062,0.0,-0.0833,0.342,0.4062,-2.0,-2.0833
BNCI2014_001,1,20260728,0.3681,0.4062,0.1923,0.1538,0.3385,0.3698,-0.4615,0.3077
BNCI2014_001,2,20260721,0.2587,0.2812,-0.5556,-0.4444,0.2604,0.283,-0.4444,-0.4444
BNCI2014_001,2,20260722,0.2778,0.2778,0.25,1.0,0.2674,0.2951,-1.25,-3.0
BNCI2014_001,2,20260723,0.2917,0.2847,3.5,3.0,0.2656,0.3021,-4.0,-9.5
BNCI2014_001,2,20260724,0.2622,0.2778,-0.2,0.1,0.2743,0.2639,0.5,1.6
BNCI2014_001,2,20260725,0.2708,0.2778,-0.1667,0.3333,0.2517,0.2795,-2.0,-1.6667
BNCI2014_001,2,20260726,0.2812,0.283,,,0.2726,0.2656,,
BNCI2014_001,2,20260727,0.2674,0.2743,0.1,0.6,0.25,0.2847,-0.9,-1.0
BNCI2014_001,2,20260728,0.2778,0.2778,,,0.2622,0.2587,,
BNCI2014_001,3,20260721,0.4601,0.4826,0.2353,0.2353,0.4028,0.4236,-1.7059,0.2941
BNCI2014_001,3,20260722,0.4722,0.4774,0.4,0.7,0.375,0.3958,-5.2,-0.2
