dataset,target_subject,token_seed,is_confirm4f,alpha,is_alpha_star,k,lam,bacc_orig,bacc_injected,induced_harm,E0_recovery,E4_inj_bacc,E4_cln_bacc,E4_raw_rec,E4_netted_rec,E1_inj_bacc,E1_cln_bacc,E1_raw_rec,E1_netted_rec,E2_netted_rec,E3_inj_bacc,E3_cln_bacc,E3_raw_rec,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_raw_rec,ERASE_netted_rec
BNCI2014_001,1,0,False,0.5,False,4,1.0,0.4045,0.4219,-0.0174,1.0,0.4392,0.4392,-1.0,1.0,0.401,0.4288,1.2,2.6,2.6,0.4219,0.4115,-0.0,0.4,0.3507,0.3976,4.1,3.7
BNCI2014_001,1,0,False,1.0,True,4,1.0,0.4045,0.3837,0.0208,1.0,0.4392,0.4392,2.6667,1.0,0.4149,0.4392,1.5,-0.1667,0.0,0.3872,0.4028,0.1667,0.25,0.3194,0.4167,-3.0833,-3.6667
BNCI2014_001,1,0,False,1.5,False,4,1.0,0.4045,0.3524,0.0521,1.0,0.4392,0.4392,1.6667,1.0,0.3872,0.4462,0.6667,-0.1333,0.2,0.3663,0.4062,0.2667,0.2333,0.309,0.4149,-0.8333,-1.0333
BNCI2014_001,1,0,False,2.0,False,4,1.0,0.4045,0.3229,0.0816,1.0,0.4392,0.4392,1.4255,1.0,0.3559,0.4462,0.4043,-0.1064,0.5106,0.3281,0.408,0.0638,0.0213,0.2865,0.4167,-0.4468,-0.5957
BNCI2014_001,1,20260721,True,0.5,False,1,0.5,0.4045,0.3594,0.0451,1.0,0.3958,0.4201,0.8077,0.4615,0.3455,0.401,-0.3077,-0.2308,-0.1154,0.3646,0.4167,0.1154,-0.1538,0.3958,0.4583,0.8077,-0.3846
BNCI2014_001,1,20260721,True,1.0,True,1,0.5,0.4045,0.2951,0.1094,1.0,0.3733,0.4201,0.7143,0.5714,0.3056,0.4062,0.0952,0.0794,0.2063,0.2917,0.4045,-0.0317,-0.0317,0.3194,0.4253,0.2222,0.0317
BNCI2014_001,1,20260721,True,1.5,False,1,0.5,0.4045,0.2674,0.1372,1.0,0.3542,0.4201,0.6329,0.519,0.3333,0.4062,0.481,0.4684,0.8101,0.2691,0.4045,0.0127,0.0127,0.3785,0.3819,0.8101,0.9747
BNCI2014_001,1,20260721,True,2.0,False,1,0.5,0.4045,0.2396,0.1649,1.0,0.3108,0.4201,0.4316,0.3368,0.3125,0.4115,0.4421,0.4,0.7895,0.2396,0.4062,0.0,-0.0105,0.3906,0.3819,0.9158,1.0526
BNCI2014_001,1,20260722,True,0.5,False,2,0.5,0.4045,0.3455,0.059,1.0,0.3924,0.4201,0.7941,0.5294,0.3542,0.4115,0.1471,0.0294,-0.0294,0.349,0.4062,0.0588,0.0294,0.3663,0.4063,0.3529,0.3235
BNCI2014_001,1,20260722,True,1.0,True,2,0.5,0.4045,0.2812,0.1233,1.0,0.3681,0.4201,0.7042,0.5775,0.3038,0.4062,0.1831,0.169,0.1972,0.2778,0.4045,-0.0282,-0.0282,0.3229,0.3559,0.338,0.7324
