dataset,method,fold,target_subject,target_bacc,graph_kl,node_kl,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,task_head_alignment_k2,head_replay_ok
BNCI2014_001,dcigl_consistency_beta0.1,0,1,0.4548611111111111,1.0059150457382202,0.441471129655838,0.015625,0.1388888888888889,0.00694444444444442,0.025709320077658734,True
BNCI2014_001,dcigl_consistency_beta0.1,1,2,0.2586805555555555,1.0764458179473877,0.5103869438171387,0.01041666666666663,0.019097222222222182,0.005208333333333315,0.022196093662755784,True
BNCI2014_001,dcigl_consistency_beta0.1,2,3,0.453125,0.881838321685791,0.36121928691864014,0.08333333333333337,0.1423611111111111,-0.0017361111111110494,0.06724227009525496,True
BNCI2014_001,dcigl_consistency_beta0.1,3,4,0.3003472222222222,1.1016533374786377,0.4933542013168335,0.029513888888888895,0.029513888888888895,0.010416666666666685,0.024984619247459306,True
BNCI2014_001,dcigl_consistency_beta0.1,4,5,0.2482638888888889,1.0323667526245117,0.4626016616821289,2.7755575615628914e-17,0.008680555555555552,0.0034722222222222376,0.058035918382756166,True
BNCI2014_001,dcigl_consistency_beta0.1,5,6,0.3125,1.0284074544906616,0.42951786518096924,-0.010416666666666685,0.02430555555555558,0.010416666666666685,0.061954060128353146,True
BNCI2014_001,dcigl_consistency_beta0.1,6,7,0.23958333333333331,1.0668668746948242,0.45283225178718567,0.012152777777777762,-0.0017361111111111605,0.0,0.05447183498198095,True
BNCI2014_001,dcigl_consistency_beta0.1,7,8,0.453125,0.9123305082321167,0.4231194257736206,0.032986111111111105,0.125,-0.0017361111111111605,0.14118012366039398,True
BNCI2014_001,dcigl_consistency_beta0.1,8,9,0.3454861111111111,0.7170723080635071,0.3930377662181854,0.008680555555555525,0.09375,0.00347222222222221,0.22667238009800567,True
BNCI2014_001,dcigl_consistency_beta0.5,0,1,0.44270833333333337,0.9792136549949646,0.4418763220310211,0.02256944444444453,0.13020833333333337,0.001736111111111105,0.018014969001616706,True
BNCI2014_001,dcigl_consistency_beta0.5,1,2,0.2586805555555555,1.124664068222046,0.5137591361999512,0.01041666666666663,0.00694444444444442,-0.001736111111111105,0.0320830750787667,True
BNCI2014_001,dcigl_consistency_beta0.5,2,3,0.4357638888888889,0.8774848580360413,0.35720402002334595,0.057291666666666685,0.13715277777777773,-0.015624999999999944,0.06815833054423863,True
BNCI2014_001,dcigl_consistency_beta0.5,3,4,0.296875,1.1052029132843018,0.4922937750816345,0.02256944444444442,0.026041666666666685,0.0017361111111111605,0.015901642333141282,True
BNCI2014_001,dcigl_consistency_beta0.5,4,5,0.2482638888888889,0.9925344586372375,0.46231162548065186,0.010416666666666685,-0.0017361111111110772,-0.00347222222222221,0.07237708005253787,True
BNCI2014_001,dcigl_consistency_beta0.5,5,6,0.3125,1.0294510126113892,0.426557719707489,-0.00347222222222221,0.026041666666666685,0.00694444444444442,0.0433415654610037,True
BNCI2014_001,dcigl_consistency_beta0.5,6,7,0.24131944444444442,0.9962911009788513,0.44888192415237427,0.01909722222222221,0.008680555555555552,0.008680555555555552,0.07153364500432015,True
BNCI2014_001,dcigl_consistency_beta0.5,7,8,0.46701388888888884,0.8843814730644226,0.41927972435951233,0.078125,0.12326388888888884,-5.551115123125783e-17,0.13618035785919883,True
BNCI2014_001,dcigl_consistency_beta0.5,8,9,0.3472222222222222,0.6855520606040955,0.38631966710090637,0.01909722222222221,0.0920138888888889,-0.0017361111111111605,0.21055950308653124,True
BNCI2015_001,dcigl_consistency_beta0.1,0,1,0.5700000000000001,0.37817391753196716,0.4209884703159332,0.12750000000000006,0.19250000000000006,0.0,0.7865986964604216,True
BNCI2015_001,dcigl_consistency_beta0.1,10,11,0.505,0.7153383493423462,0.5647531151771545,-0.04500000000000004,-0.05833333333333324,0.0033333333333332993,0.5302128956700862,True
BNCI2015_001,dcigl_consistency_beta0.1,11,12,0.4575,0.3898376524448395,0.3998229205608368,-0.015000000000000013,-0.05500000000000005,0.0025000000000000022,0.7992863934485281,True
BNCI2015_001,dcigl_consistency_beta0.1,1,2,0.78,0.4860130250453949,0.41980302333831787,0.10250000000000004,0.24250000000000005,-0.012499999999999956,0.5790806127410603,True
BNCI2015_001,dcigl_consistency_beta0.1,2,3,0.6675,0.42336562275886536,0.4231351613998413,0.13249999999999995,0.16249999999999998,-0.010000000000000009,0.7472783110586508,True
BNCI2015_001,dcigl_consistency_beta0.1,3,4,0.7224999999999999,0.66814124584198,0.5059831142425537,0.1449999999999999,0.11749999999999994,0.019999999999999907,0.6851780329932723,True
BNCI2015_001,dcigl_consistency_beta0.1,4,5,0.5675,0.32171985507011414,0.3986739218235016,0.040000000000000036,0.07,0.010000000000000009,0.7908140811158452,True
BNCI2015_001,dcigl_consistency_beta0.1,5,6,0.6525,0.6668661832809448,0.5060067772865295,0.10750000000000004,0.11499999999999999,0.020000000000000018,0.4866432315137855,True
BNCI2015_001,dcigl_consistency_beta0.1,6,7,0.49749999999999994,0.37152335047721863,0.39918622374534607,-0.01000000000000012,-0.032500000000000084,-0.0025000000000000577,0.3269149734965613,True
BNCI2015_001,dcigl_consistency_beta0.1,7,8,0.5183333333333333,0.3327846825122833,0.28665393590927124,0.016666666666666607,0.018333333333333313,0.008333333333333304,0.8002937512993302,True
BNCI2015_001,dcigl_consistency_beta0.1,8,9,0.55,0.4710094630718231,0.39101073145866394,-0.008333333333333304,0.046666666666666745,-0.0033333333333332993,0.7096071834336155,True
BNCI2015_001,dcigl_consistency_beta0.1,9,10,0.5433333333333333,0.5256710648536682,0.47124069929122925,0.0033333333333332993,0.021666666666666612,-0.0033333333333332993,0.6988004568157554,True
BNCI2015_001,dcigl_consistency_beta0.5,0,1,0.565,0.4195626378059387,0.41817471385002136,0.22999999999999993,0.15749999999999992,0.0024999999999999467,0.6314726434994118,True
BNCI2015_001,dcigl_consistency_beta0.5,10,11,0.5083333333333333,0.7013660073280334,0.5557918548583984,-0.021666666666666723,0.036666666666666625,0.0033333333333332993,0.5726927453895883,True
BNCI2015_001,dcigl_consistency_beta0.5,11,12,0.47000000000000003,0.39320722222328186,0.3804142475128174,-0.014999999999999958,-0.04249999999999993,0.010000000000000064,0.6264756523465116,True
BNCI2015_001,dcigl_consistency_beta0.5,1,2,0.77,0.4534856379032135,0.4133921265602112,0.08750000000000002,0.24750000000000005,-0.0024999999999999467,0.6099215451551637,True
BNCI2015_001,dcigl_consistency_beta0.5,2,3,0.6725,0.3713378310203552,0.40974369645118713,0.12249999999999994,0.16749999999999998,0.0050000000000000044,0.7478464859969215,True
