dataset,method,source,target_bacc,graph_kl,node_kl,R3_task_drop_k2,task_head_alignment_k2,random_ctrl_k2,classification
BNCI2014_001,erm,frozen,0.32851080246913583,1.2847315470377605,0.48589327269130284,0.004436728395061725,0.004120791121282348,,
BNCI2014_001,cigl_graph_node,frozen,0.33429783950617287,0.741090390417311,0.31923430661360425,0.023341049382716042,0.036465225163846454,,
BNCI2014_001,cdan,frozen,0.3412422839506173,0.5106719632943472,0.36331048607826233,nan,0.011748061240606556,,
BNCI2014_001,fcigl_align_eta0.01,frozen,0.3396990740740741,0.902208169301351,0.431857662068473,0.021026234567901245,0.023520592976655753,,
BNCI2014_001,fcigl_align_eta0.05,frozen,0.3393132716049383,0.9033965600861443,0.43421497609880233,0.028742283950617287,0.021455143095236075,,
BNCI2014_001,dcigl_consistency_beta0.1,dcigl_gate,0.34066358024691357,0.9803218245506287,0.4408378369278378,0.020254629629629626,0.07582740225940207,0.004050925925925927,fail
BNCI2014_001,dcigl_consistency_beta0.5,dcigl_gate,0.33892746913580246,0.9638639556037055,0.4387204349040985,0.026234567901234573,0.07423890760237278,-0.0003858024691358042,fail
BNCI2015_001,erm,frozen,0.5920833333333334,1.1150351067384083,0.5471147447824478,0.02034722222222221,0.046004082141241354,,
BNCI2015_001,cigl_graph_node,frozen,0.5859722222222223,0.3138261251151562,0.2554563097655773,0.08215277777777778,0.5286584924974701,,
BNCI2015_001,cdan,frozen,0.5917361111111111,0.31252940619985264,0.4053790047764778,nan,0.014270450528993667,,
BNCI2015_001,fcigl_align_eta0.01,frozen,0.5815277777777778,0.4127504775921504,0.4214797740181287,0.06298611111111112,0.3424576331086439,,
BNCI2015_001,fcigl_align_eta0.05,frozen,0.5828472222222223,0.4147039552529653,0.431439737478892,0.07333333333333335,0.20260147939465536,,
BNCI2015_001,dcigl_consistency_beta0.1,dcigl_gate,0.5859722222222221,0.4792037010192871,0.43227150787909824,0.0497222222222222,0.6617257183372427,0.0027083333333333265,strong_reliance
BNCI2015_001,dcigl_consistency_beta0.5,dcigl_gate,0.5840277777777778,0.4585393046339353,0.41892824570337933,0.0648611111111111,0.6232336883700254,0.008680555555555547,functional
