effect,metric,seed0,seed1,seed2,mean3,sd3
CSP_init (B-A),2a_dec,+0.0273,+0.0590,+0.0985,+0.0616,0.0291
CSP_init (B-A),2a_full,+0.0201,+0.0284,+0.0471,+0.0318,0.0113
CSP_init (B-A),2015_full,+0.0042,+0.0294,+0.0335,+0.0224,0.0129
Aux (C-A),2a_dec,+0.0239,+0.0208,+0.0386,+0.0278,0.0078
Aux (C-A),2a_full,+0.0181,+0.0143,+0.0125,+0.0150,0.0023
Aux (C-A),2015_full,-0.0133,-0.0054,+0.0067,-0.0040,0.0082
Combined (D-A),2a_dec,+0.0807,+0.0616,+0.1445,+0.0956,0.0354
Combined (D-A),2a_full,+0.0434,+0.0390,+0.0720,+0.0514,0.0146
Combined (D-A),2015_full,+0.0077,+0.0261,+0.0235,+0.0191,0.0081
Aux_on_top_of_CSP (D-B),2a_dec,+0.0534,+0.0026,+0.0460,+0.0340,0.0224
Aux_on_top_of_CSP (D-B),2a_full,+0.0233,+0.0106,+0.0249,+0.0196,0.0064
Aux_on_top_of_CSP (D-B),2015_full,+0.0035,-0.0033,-0.0101,-0.0033,0.0055
CSP_on_top_of_Aux (D-C),2a_dec,+0.0569,+0.0408,+0.1059,+0.0679,0.0277
CSP_on_top_of_Aux (D-C),2a_full,+0.0253,+0.0247,+0.0594,+0.0365,0.0162
CSP_on_top_of_Aux (D-C),2015_full,+0.0210,+0.0315,+0.0168,+0.0231,0.0062
