rung,authorized_to_execute,forward_attempted_in_c68,physical_forward_units,logical_c50_rows_represented,target_count,seed_set,reserved_seed_used,bnci004_used,selection_rule,notes
T0_micro_replay,0,0,6,6,3,0;1;2,0,0,deterministic_stratified_nonperformance_plan_only,readiness plan only; no checkpoint recommendation artifact
T1_pilot_scale,0,0,64,64,9,0;1;2,0,0,deterministic_stratified_nonperformance_plan_only,readiness plan only; no checkpoint recommendation artifact
T2_medium_scale,0,0,216,216,9,0;1;2,0,0,deterministic_stratified_nonperformance_plan_only,readiness plan only; no checkpoint recommendation artifact
T3_full_physical_dedup,0,0,1268,3804,9,0;1;2,0,0,deterministic_stratified_nonperformance_plan_only,readiness plan only; no checkpoint recommendation artifact
T1_T2_stratification_cell,0,0,20,60,1,0,0,0,cell seed=0;target=1;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,0,0,0,cell seed=0;target=1;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,27,81,1,0,0,0,cell seed=0;target=2;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,28,84,1,0,0,0,cell seed=0;target=2;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,0,0,0,cell seed=0;target=3;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,25,75,1,0,0,0,cell seed=0;target=3;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,0,0,0,cell seed=0;target=4;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,36,108,1,0,0,0,cell seed=0;target=4;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,0,0,0,cell seed=0;target=5;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,0,0,0,cell seed=0;target=5;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,0,0,0,cell seed=0;target=6;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,0,0,0,cell seed=0;target=6;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,0,0,0,cell seed=0;target=7;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,0,0,0,cell seed=0;target=7;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,0,0,0,cell seed=0;target=8;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,0,0,0,cell seed=0;target=8;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,0,0,0,cell seed=0;target=9;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,19,57,1,0,0,0,cell seed=0;target=9;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,28,84,1,1,0,0,cell seed=1;target=1;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,18,54,1,1,0,0,cell seed=1;target=1;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,1,0,0,cell seed=1;target=2;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,29,87,1,1,0,0,cell seed=1;target=2;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,28,84,1,1,0,0,cell seed=1;target=3;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,1,0,0,cell seed=1;target=3;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,18,54,1,1,0,0,cell seed=1;target=4;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,1,0,0,cell seed=1;target=4;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,18,54,1,1,0,0,cell seed=1;target=5;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,19,57,1,1,0,0,cell seed=1;target=5;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,1,0,0,cell seed=1;target=6;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,25,75,1,1,0,0,cell seed=1;target=6;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
