path,size_bytes,over_50mb,passed
oaci/reports/C68_POWERED_TRIAL_CACHE_SCALEUP.json,3218,0,1
oaci/reports/C68_POWERED_TRIAL_CACHE_SCALEUP.md,2221,0,1
oaci/reports/C68_RED_TEAM_VERIFICATION.md,1475,0,1
oaci/reports/c68_tables/c68_c67_replay_dual_mode_ledger.csv,752,0,1
oaci/reports/c68_tables/c68_expected_cache_size.csv,339,0,1
oaci/reports/c68_tables/c68_frozen_universe_replay.csv,688,0,1
oaci/reports/c68_tables/c68_label_leakage_redteam.csv,423,0,1
oaci/reports/c68_tables/c68_masked_view_contract.csv,623,0,1
oaci/reports/c68_tables/c68_noauth_execution_gate.csv,483,0,1
oaci/reports/c68_tables/c68_power_ladder.csv,598,0,1
oaci/reports/c68_tables/c68_sample_level_cs_availability_ledger.csv,221,0,1
oaci/reports/c68_tables/c68_sample_level_cs_bandwidth_grid.csv,240,0,1
oaci/reports/c68_tables/c68_sample_level_cs_feasibility.csv,367,0,1
oaci/reports/c68_tables/c68_sample_level_cs_nulls.csv,247,0,1
oaci/reports/c68_tables/c68_scaleup_sampling_plan.csv,10283,0,1
oaci/reports/c68_tables/c68_source_observable_adversary_plan.csv,412,0,1
oaci/reports/c68_tables/c68_split_label_cell_ledger.csv,259,0,1
oaci/reports/c68_tables/c68_split_label_nulls.csv,201,0,1
oaci/reports/c68_tables/c68_split_label_power_summary.csv,464,0,1
oaci/reports/c68_tables/c68_synthetic_cache_writer_dryrun.csv,273,0,1
oaci/reports/c68_tables/c68_view_column_access_matrix.csv,889,0,1
oaci/reports/c68_tables/forbidden_claim_scan.csv,742,0,1
oaci/reports/c68_tables/red_team_failure_ledger.csv,974,0,1
oaci/reports/c68_tables/schema_validation_summary.csv,881,0,1
oaci/reports/c68_tables/test_command_manifest.csv,541,0,1
