artifact,size_bytes,sha256
phase_d0_checkpoint_selection.csv,1203,1e99004cac565b65557335af3eb9ab0cd9f95be8a267b555d179587a000b7405
phase_d0_d1_cell_mapping.csv,2190,0857b4cf5b1f6a8a7383b048ac1b0a7af5b53c8fd8ea8b27e16df724ce11d00f
phase_d0_go_nogo.json,1600,8635309e6ddaa17e8dc1b31324ed35c1c5e1ede9586cc0fa3919099acd906e32
phase_d0_independent_verification.json,2094,94c99544ec2425aac7587db0b27a0a8bc09aa6e6c7e1e1f2855463d8d64583cc
phase_d0_input_provenance.json,1710,0ec9402a19fc1ec2106efe234f1c3d1384a6a95c22eb92eb9285ab5a968feb0a
phase_d0_presentations_by_budget.csv,464,3a203153cb67a12ebdff012e708c10a97164cc7fc3360824cca99297523903bf
phase_d0_reuse_eligibility.csv,1050,14788af4181dda9827e7e7bfb27c579c2c58900160c9b71b805752e986fecd56
phase_d0_run_schedule.csv,5657,94fe08fc5e322816a2709b7d62c4583135ae56b2c22dc37ba82959bc777d9210
phase_d0_subset_identity.csv,1848,0287ee88c6822ca8bf4161f82d527e0f59fba6391db6cb3489fc4ab5b49a29c3
phase_d0_subset_overlap.csv,1500,78b0523cabf8ab0b90278f9696844657f1134f3129b35b9859e9a72df416e936
