seed,target,level,n,pareto_front_size,dominated_fraction,accuracy_oracle_calibration_good,joint_good_pareto_points
0,1,0,60,12,0.8,1,3
0,1,1,60,6,0.9,1,3
0,2,0,81,9,0.8888888888888888,1,9
0,2,1,84,3,0.9642857142857143,1,3
0,3,0,69,24,0.6521739130434783,1,21
0,3,1,75,15,0.8,1,0
0,4,0,72,9,0.875,1,9
0,4,1,108,3,0.9722222222222222,1,3
0,5,0,60,9,0.85,1,6
0,5,1,66,18,0.7272727272727273,1,3
0,6,0,66,6,0.9090909090909091,1,6
0,6,1,63,3,0.9523809523809523,1,3
0,7,0,63,9,0.8571428571428571,1,9
0,7,1,72,9,0.875,1,9
0,8,0,60,9,0.85,1,9
0,8,1,72,12,0.8333333333333334,1,12
0,9,0,72,12,0.8333333333333334,1,12
0,9,1,57,3,0.9473684210526315,1,3
1,1,0,84,15,0.8214285714285714,1,15
1,1,1,54,6,0.8888888888888888,1,3
1,2,0,69,9,0.8695652173913043,1,6
1,2,1,87,15,0.8275862068965517,1,12
1,3,0,84,18,0.7857142857142857,1,15
1,3,1,60,9,0.85,1,6
1,4,0,54,3,0.9444444444444444,1,3
1,4,1,72,3,0.9583333333333334,1,3
1,5,0,54,6,0.8888888888888888,1,3
1,5,1,57,6,0.8947368421052632,1,6
1,6,0,63,3,0.9523809523809523,1,3
1,6,1,75,3,0.96,1,3
1,7,0,78,6,0.9230769230769231,1,6
1,7,1,63,3,0.9523809523809523,1,3
1,8,0,69,12,0.8260869565217391,1,9
1,8,1,66,12,0.8181818181818182,0,3
1,9,0,66,15,0.7727272727272727,1,15
1,9,1,60,12,0.8,1,12
2,1,0,63,15,0.7619047619047619,1,15
2,1,1,81,9,0.8888888888888888,1,6
2,2,0,78,6,0.9230769230769231,1,6
2,2,1,99,3,0.9696969696969697,1,3
2,3,0,66,15,0.7727272727272727,1,15
2,3,1,102,12,0.8823529411764706,1,3
2,4,0,93,39,0.5806451612903226,1,39
2,4,1,60,3,0.95,1,3
2,5,0,66,12,0.8181818181818182,0,0
2,5,1,75,6,0.92,1,0
2,6,0,69,9,0.8695652173913043,1,9
2,6,1,60,9,0.85,1,9
2,7,0,63,12,0.8095238095238095,1,12
2,7,1,69,6,0.9130434782608695,1,6
2,8,0,69,12,0.8260869565217391,1,6
2,8,1,54,15,0.7222222222222222,1,12
2,9,0,72,6,0.9166666666666666,1,6
2,9,1,90,3,0.9666666666666667,1,3
