factor,endpoint,within_target_auc,pooled_auc,rank_strength,sign_consistency,transfers
score,accuracy_good,0.658600107451297,0.5431489798181415,0.15860010745129705,1.0,True
score,nll_good,0.612619758407218,0.47241986309919576,0.11261975840721805,0.8888888888888888,True
score,ece_good,0.5654786670675772,0.4440956617632441,0.06547866706757721,0.6666666666666666,False
score,calibration_good,0.6198533676951796,0.5146463586004871,0.11985336769517962,1.0,True
score,joint_good,0.6718077295200574,0.5406644486315515,0.1718077295200574,1.0,True
score,pareto_good,0.574389302269432,0.591369071185367,0.07438930226943197,0.6666666666666666,False
R_src,accuracy_good,0.3755739318828421,0.45378243512974054,0.1244260681171579,0.7777777777777778,False
R_src,nll_good,0.5426896040591443,0.5302269537150965,0.04268960405914435,0.5555555555555556,False
R_src,ece_good,0.5953653659600963,0.5921137107553703,0.09536536596009626,0.7777777777777778,False
R_src,calibration_good,0.5559276089793371,0.5473714790302214,0.05592760897933713,0.5555555555555556,False
R_src,joint_good,0.3957722195883301,0.4641849569689871,0.10422778041166991,0.7777777777777778,False
R_src,pareto_good,0.49719044528187184,0.4996542349618603,0.00280955471812816,0.5555555555555556,False
