pair_id,seed,target,level,regime,fraction_weights_alt_beats_selected,mean_regret_over_simplex,min_regret_over_simplex,max_regret_over_simplex
0|1|0|S0_full_support|nearest_continuous_better|15|16,0,1,0,S0_full_support,1.0,0.05007462879717237,0.026041666666666574,0.06860014266367442
0|1|1|S0_full_support|nearest_continuous_better|14|13,0,1,1,S0_full_support,0.8398268398268398,0.004256872807686787,-0.005331816743904719,0.01215277777777779
0|2|0|S0_full_support|nearest_continuous_better|2|1,0,2,0,S0_full_support,0.9913419913419913,0.09205094166916183,-0.006944444444444475,0.21817126051429336
0|2|1|S0_full_support|nearest_continuous_better|0|1,0,2,1,S0_full_support,1.0,0.09302352944935312,0.02083333333333337,0.2050756132655298
0|3|0|S0_full_support|nearest_continuous_better|0|1,0,3,0,S0_full_support,1.0,0.12251400599596338,0.08466597985004098,0.18391770480451586
0|3|1|S0_full_support|nearest_continuous_better|4|10,0,3,1,S0_full_support,1.0,0.02045955014172105,0.0017215556515128086,0.045768205884761604
0|4|1|S0_full_support|nearest_continuous_better|2|1,0,4,1,S0_full_support,1.0,0.07863922715685172,0.015625,0.13318270604371718
0|5|0|S0_full_support|nearest_continuous_better|19|18,0,5,0,S0_full_support,0.9090909090909091,0.051751539261011045,-0.00790710181833748,0.16663394182359292
0|6|1|S0_full_support|nearest_continuous_better|20|19,0,6,1,S0_full_support,1.0,0.04503337624322962,0.019097222222222265,0.06022071697834286
0|7|1|S0_full_support|nearest_continuous_better|5|0,0,7,1,S0_full_support,1.0,0.049356415259595124,0.02083333333333337,0.0934569187792389
0|8|0|S0_full_support|nearest_continuous_better|17|15,0,8,0,S0_full_support,0.9826839826839827,0.047654708733547914,-0.008363270164413572,0.10271628525394627
0|9|0|S0_full_support|nearest_continuous_better|19|18,0,9,0,S0_full_support,0.9393939393939394,0.02619044400569684,-0.004758480937393311,0.07985759073226162
0|9|1|S0_full_support|nearest_continuous_better|12|13,0,9,1,S0_full_support,1.0,0.040253576402189496,0.022175578165376797,0.0551823732634138
1|1|0|S0_full_support|nearest_continuous_better|6|5,1,1,0,S0_full_support,1.0,0.08195750324483388,0.02777777777777779,0.18624334081246796
1|1|1|S0_full_support|nearest_continuous_better|16|15,1,1,1,S0_full_support,0.8051948051948052,0.0056599792820145,-0.009834365731962391,0.013888888888888895
1|2|0|S0_full_support|nearest_continuous_better|18|17,1,2,0,S0_full_support,0.8831168831168831,0.019289866301813414,-0.017361111111111105,0.048196299403530096
1|2|1|S0_full_support|nearest_continuous_better|2|1,1,2,1,S0_full_support,1.0,0.028871304626780593,0.008680555555555525,0.041341211372349196
1|3|0|S0_full_support|nearest_continuous_better|8|11,1,3,0,S0_full_support,0.8961038961038961,0.04690655413900173,-0.035545747260458796,0.11202929856635291
1|3|1|S0_full_support|nearest_continuous_better|11|3,1,3,1,S0_full_support,0.9567099567099567,0.007952298790516952,-0.002484004661487349,0.01939645658859379
1|5|1|S0_full_support|nearest_continuous_better|17|16,1,5,1,S0_full_support,0.8787878787878788,0.08989429802903194,-0.057291666666666685,0.285788555038168
1|6|0|S0_full_support|nearest_continuous_better|18|17,1,6,0,S0_full_support,0.9567099567099567,0.020037073887992623,-0.006945129734969191,0.036458333333333315
1|6|1|S0_full_support|nearest_continuous_better|6|5,1,6,1,S0_full_support,0.9913419913419913,0.06092503168378283,-0.001736111111111105,0.1538124117353361
1|7|1|S0_full_support|nearest_continuous_better|15|14,1,7,1,S0_full_support,1.0,0.05977724078825881,0.02604166666666674,0.0776287179991344
1|8|0|S0_full_support|nearest_continuous_better|15|14,1,8,0,S0_full_support,1.0,0.05922365503438973,0.04216314139063468,0.08333333333333331
1|8|1|S0_full_support|nearest_continuous_better|21|20,1,8,1,S0_full_support,1.0,0.053549522906189174,0.025111254381751547,0.09201388888888884
1|9|1|S0_full_support|nearest_continuous_better|14|16,1,9,1,S0_full_support,1.0,0.04756271035643555,0.01388888888888884,0.09182105795813733
2|1|1|S0_full_support|nearest_continuous_better|1|0,2,1,1,S0_full_support,1.0,0.022453144104873507,0.009606127302732276,0.035183860567443714
2|2|1|S0_full_support|nearest_continuous_better|0|1,2,2,1,S0_full_support,1.0,0.09260411633489407,0.03472222222222221,0.17737325940716642
2|3|0|S0_full_support|nearest_continuous_better|15|16,2,3,0,S0_full_support,0.9783549783549783,0.03589494862936816,-0.007095451243755102,0.0696414082429706
2|3|1|S0_full_support|nearest_continuous_better|5|4,2,3,1,S0_full_support,1.0,0.025035604838117776,0.0049723567122138684,0.03714834669102829
2|4|0|S0_full_support|nearest_continuous_better|23|21,2,4,0,S0_full_support,0.9956709956709957,0.003263233119460733,-0.00017970930114441508,0.00520833333333337
2|4|1|S0_full_support|nearest_continuous_better|14|12,2,4,1,S0_full_support,1.0,0.061375418184635225,0.01909722222222221,0.130350067240961
2|5|0|S0_full_support|nearest_continuous_better|17|15,2,5,0,S0_full_support,1.0,0.08490357447059951,0.024305555555555525,0.15475395440337203
2|6|0|S0_full_support|nearest_continuous_better|21|20,2,6,0,S0_full_support,1.0,0.0173994056073119,0.008680555555555525,0.026700710804941297
2|7|0|S0_full_support|nearest_continuous_better|20|18,2,7,0,S0_full_support,1.0,0.04090731056947821,0.031249999999999972,0.05224751921447485
2|7|1|S0_full_support|nearest_continuous_better|19|18,2,7,1,S0_full_support,1.0,0.08307895559640721,0.02256944444444442,0.14460141842635044
2|8|0|S0_full_support|nearest_continuous_better|10|11,2,8,0,S0_full_support,1.0,0.02981192876146415,0.012659500972298607,0.057679063089871585
2|9|1|S0_full_support|nearest_continuous_better|29|23,2,9,1,S0_full_support,1.0,0.002753200793765416,0.0016230395848144674,0.00347222222222221
0|1|0|S2_rare_cells|nearest_continuous_better|15|16,0,1,0,S2_rare_cells,1.0,0.05007462879717237,0.026041666666666574,0.06860014266367442
