field,trace_item,n_available,n_total,availability_fraction,status,used_for_classification,trace_use
candidate_id,exact_candidate_identity_without_hash,3966,3966,1.0,complete,1,classification
candidate_order,exact_candidate_order,3966,3966,1.0,complete,1,classification
selected_oaci,exact_artifact_selected_flag,3966,3966,1.0,complete,1,classification
feasible,exact_risk_feasibility_for_replayed_candidates,3966,3966,1.0,complete,1,classification
R_src,exact_source_risk,3966,3966,1.0,complete,1,classification
risk_slack_to_tau,derived_tau_minus_R_src,3966,3966,1.0,complete,1,classification
selection_leakage_point,exact_selection_leakage_point_component,3966,3966,1.0,complete,1,classification
per_candidate_selector_ucl_available,actual_selector_score_ucl_per_candidate,0,3966,0.0,unavailable,0,blocked
audit_leakage_point,exact_source_audit_leakage_point_component,3966,3966,1.0,complete,1,classification
source_guard_worst_bacc,source_guard_endpoint,1944,3966,0.49016641452344933,partial,0,classification
source_guard_worst_nll,source_guard_endpoint,3966,3966,1.0,complete,1,classification
source_guard_worst_ece,source_guard_endpoint,3966,3966,1.0,complete,1,classification
source_audit_worst_bacc,source_audit_endpoint,3966,3966,1.0,complete,1,classification
source_audit_worst_nll,source_audit_endpoint,3966,3966,1.0,complete,1,classification
source_audit_worst_ece,source_audit_endpoint,3966,3966,1.0,complete,1,classification
actual_selector_rank_known,actual_selected_rank_known_only_for_selected,162,3966,0.04084720121028744,partial,0,limited
tie_break_metadata_available,exact_tie_break_metadata,0,3966,0.0,unavailable,0,blocked
checkpoint_hash_available,checkpoint_hash_available_not_emitted,3966,3966,1.0,complete,1,classification
checkpoint_hash_emitted,checkpoint_hash_not_emitted,3966,3966,1.0,pass_not_emitted,0,gate
