candidate_id,seed,target,level,regime,candidate_order,raw_replay_index,candidate_role,origin,is_erm,selected_oaci,epoch,lambda,R_src,shared_tau,risk_slack_to_tau,feasible,balanced_err,train_surrogate,selection_leakage_point,audit_leakage_point,source_guard_worst_bacc,source_guard_worst_nll,source_guard_worst_ece,source_audit_worst_bacc,source_audit_worst_nll,source_audit_worst_ece,target_worst_bacc,target_worst_nll,target_worst_ece,actual_selector_score_name,actual_selector_score_ucl,actual_selector_score_available,per_candidate_selector_ucl_available,actual_selector_rank_known,actual_selector_rank,actual_selector_relation,selection_reason,selection_status,n_feasible,checkpoint_hash_available,checkpoint_hash_emitted,tie_break_metadata_available
s0_t001_l000_S0_full_support_erm,0,1,0,S0_full_support,-1,0,ERM,ERM,1,0,199,0.0,0.8458297793538434,0.8758297793538434,0.030000000000000027,1,0.33420138888888884,0.0,1.5472820318146947,0.6067298659059701,0.4774305555555556,1.217792142680571,0.12042015357303121,0.2708333333333333,1.7832505387995756,0.28338055171933163,0.5104166666666666,1.278615732009052,0.1318835758127332,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S2_rare_cells_erm,0,1,0,S2_rare_cells,-1,0,ERM,ERM,1,0,199,0.0,0.8458297793538434,0.8758297793538434,0.030000000000000027,1,0.33420138888888884,0.0,1.5472820318146947,0.6067298659059701,0.4774305555555556,1.217792142680571,0.12042015357303121,0.2708333333333333,1.7832505387995756,0.28338055171933163,0.5104166666666666,1.278615732009052,0.1318835758127332,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S3_nonestimable_cells_erm,0,1,0,S3_nonestimable_cells,-1,0,ERM,ERM,1,0,199,0.0,0.8458297793538434,0.8758297793538434,0.030000000000000027,1,0.33420138888888884,0.0,1.5472820318146947,0.6067298659059701,0.4774305555555556,1.217792142680571,0.12042015357303121,0.2708333333333333,1.7832505387995756,0.28338055171933163,0.5104166666666666,1.278615732009052,0.1318835758127332,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S0_full_support_o000,0,1,0,S0_full_support,0,1,OACI,OACI,0,0,9,15.10023167522488,0.7725996359127765,0.8758297793538434,0.10323014344106696,1,0.3020833333333333,1.3347658576985852,1.19889625792656,0.6352447261102798,0.5364583333333334,1.0822619569315006,0.13879320395300476,0.2777777777777778,1.8005181348501589,0.27481955564673927,0.4618055555555556,1.401388902335694,0.1669897802622199,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S2_rare_cells_o000,0,1,0,S2_rare_cells,0,1,OACI,OACI,0,0,9,15.10023167522488,0.7725996359127765,0.8758297793538434,0.10323014344106696,1,0.3020833333333333,1.3347658576985852,1.19889625792656,0.6352447261102798,0.5364583333333334,1.0822619569315006,0.13879320395300476,0.2777777777777778,1.8005181348501589,0.27481955564673927,0.4618055555555556,1.401388902335694,0.1669897802622199,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S3_nonestimable_cells_o000,0,1,0,S3_nonestimable_cells,0,1,OACI,OACI,0,0,9,15.10023167522488,0.7725996359127765,0.8758297793538434,0.10323014344106696,1,0.3020833333333333,1.3347658576985852,1.19889625792656,0.6352447261102798,0.5364583333333334,1.0822619569315006,0.13879320395300476,0.2777777777777778,1.8005181348501589,0.27481955564673927,0.4618055555555556,1.401388902335694,0.1669897802622199,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S0_full_support_o001,0,1,0,S0_full_support,1,2,OACI,OACI,0,0,14,9.887064893545631,0.726303411573284,0.8758297793538434,0.1495263677805594,1,0.2896412037037037,1.4889241612127082,1.2839598552676401,0.6330145873243281,0.5434027777777777,1.0370977344265444,0.1135972934634414,0.2725694444444445,1.8526069402894312,0.31035708803451406,0.4392361111111111,1.388060256887291,0.1881515233261558,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S2_rare_cells_o001,0,1,0,S2_rare_cells,1,2,OACI,OACI,0,0,14,9.887064893545631,0.726303411573284,0.8758297793538434,0.1495263677805594,1,0.2896412037037037,1.4889241612127082,1.2839598552676401,0.6330145873243281,0.5434027777777777,1.0370977344265444,0.1135972934634414,0.2725694444444445,1.8526069402894312,0.31035708803451406,0.4392361111111111,1.388060256887291,0.1881515233261558,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S3_nonestimable_cells_o001,0,1,0,S3_nonestimable_cells,1,2,OACI,OACI,0,0,14,9.887064893545631,0.726303411573284,0.8758297793538434,0.1495263677805594,1,0.2896412037037037,1.4889241612127082,1.2839598552676401,0.6330145873243281,0.5434027777777777,1.0370977344265444,0.1135972934634414,0.2725694444444445,1.8526069402894312,0.31035708803451406,0.4392361111111111,1.388060256887291,0.1881515233261558,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
s0_t001_l000_S0_full_support_o002,0,1,0,S0_full_support,2,3,OACI,OACI,0,0,19,1.462698252170848,0.7317111608748813,0.8758297793538434,0.14411861847896212,1,0.2806712962962963,1.5771221776103632,1.3269712892931511,0.5541393859967463,0.5920138888888888,0.9682634373810277,0.13257528963736329,0.2934027777777778,1.8254073572319456,0.26254612268916555,0.4201388888888889,1.4224228169851616,0.1722029717140371,selection_bootstrap_ucl,,0,0,0,,not_selected_by_actual_rule,,estimable,20,1,0,0
