feature,family,needs_target_labels
target_entropy_mean,target_unlabeled_confidence_geometry,False
target_entropy_std,target_unlabeled_confidence_geometry,False
target_confidence_mean,target_unlabeled_confidence_geometry,False
target_confidence_std,target_unlabeled_confidence_geometry,False
target_margin_mean,target_unlabeled_confidence_geometry,False
target_margin_std,target_unlabeled_confidence_geometry,False
target_logit_norm_mean,target_unlabeled_confidence_geometry,False
target_logit_norm_std,target_unlabeled_confidence_geometry,False
target_pred_prop_c0,target_unlabeled_confidence_geometry,False
target_pred_prop_c1,target_unlabeled_confidence_geometry,False
target_pred_prop_c2,target_unlabeled_confidence_geometry,False
target_pred_prop_c3,target_unlabeled_confidence_geometry,False
