dataset,backbone,method,action,task_drop_ucb,benefit_lcb,domain_gain,task_drop_mean,benefit_mean,n_folds,n_benefit
Cho2017,EEGNet,TOS_VD,ABSTAIN,0.0007481258603063455,-0.0008615162037037124,0.23868555552204096,0.00022588902267448586,0.0001365740740740723,15,360
Cho2017,EEGNet,LEACE,REJECT,0.27026235071589827,-0.26652100694444447,0.29704146097051715,0.26830757650355297,-0.25733796296296296,15,360
Cho2017,EEGNet,RLACE,REJECT,0.27026235071589827,-0.26652100694444447,0.2967604406505863,0.26830757650355297,-0.25733796296296296,15,360
Cho2017,EEGNet,INLP,REJECT,0.27026235071589827,-0.26652100694444447,0.29704146097051715,0.26830757650355297,-0.25733796296296296,15,360
Cho2017,EEGNet,random_k,REJECT,0.03014948155359886,-0.033106655092592606,0.12422423645254155,0.02661210510495182,-0.029696759259259256,15,360
Cho2017,TSMNet,TOS_VD,ABSTAIN,0.00040821901537681026,-0.00027083333333333343,0.012154271274260409,0.00028039221410823946,-8.333333333333341e-05,15,360
Cho2017,TSMNet,LEACE,REJECT,0.021595600064483172,-0.007581134259259262,0.9759571280628196,0.019882776684801963,-0.0062314814814814845,15,360
Cho2017,TSMNet,RLACE,REJECT,0.11424460774719769,-0.12194010416666667,0.40392557067066154,0.1102176468626066,-0.1168240740740741,15,360
Cho2017,TSMNet,INLP,REJECT,0.43518507457214956,-0.43928246527777776,0.9674423799421538,0.4296780261286501,-0.43465046296296295,15,360
Cho2017,TSMNet,random_k,REJECT,0.04563899260351678,-0.052403298611111114,0.00048688404267084687,0.0431076229709591,-0.04931481481481482,15,360
Lee2019_MI,EEGNet,TOS_VD,ABSTAIN,0.00039131254252480063,-0.000930555555555562,0.19871278825995806,-0.0002192414586800368,-0.00033333333333333766,15,360
Lee2019_MI,EEGNet,LEACE,REJECT,0.29504719694431225,-0.27869548611111106,0.24566457023060792,0.2930369593501967,-0.27175,15,360
Lee2019_MI,EEGNet,RLACE,REJECT,0.29504719694431225,-0.27869548611111106,0.24566457023060792,0.2930369593501967,-0.27175,15,360
Lee2019_MI,EEGNet,INLP,REJECT,0.29504719694431225,-0.27869548611111106,0.24566457023060792,0.2930369593501967,-0.27175,15,360
Lee2019_MI,EEGNet,random_k,REJECT,0.03891209127078142,-0.04004201388888889,0.08938364779874214,0.03276774826866195,-0.034472222222222224,15,360
Lee2019_MI,TSMNet,TOS_VD,ABSTAIN,0.00045129082276513247,-0.0005000000000000008,0.02337106918238993,0.000280100005445595,-0.0002499999999999999,15,360
Lee2019_MI,TSMNet,LEACE,REJECT,0.024655118442083967,-0.011833333333333333,0.9759832285115305,0.023552393061672845,-0.010666666666666666,15,360
Lee2019_MI,TSMNet,RLACE,REJECT,0.08548538490774234,-0.08870902777777777,0.480796645702306,0.08263123621649934,-0.08533333333333333,15,360
Lee2019_MI,TSMNet,INLP,REJECT,0.45624152729692163,-0.4432781249999999,0.9741551362683439,0.45150209535105695,-0.43844444444444436,15,360
Lee2019_MI,TSMNet,random_k,REJECT,0.03759061129001946,-0.04293090277777777,0.000784067085953883,0.03467010821484871,-0.03904166666666667,15,360
