risk,blocking,status,evidence
historical_V2_authorization_migrated,1,CLOSED,protocol+implementation+synthetic+red_team
label_access_before_V3_lock,1,CLOSED,protocol+implementation+synthetic+red_team
evaluation_descriptor_reaches_stage_B,1,CLOSED,protocol+implementation+synthetic+red_team
partial_selection_freeze_published,1,CLOSED,protocol+implementation+synthetic+red_team
Q0_chain_coverage_incomplete,1,CLOSED,protocol+implementation+synthetic+red_team
Q0_FULL_duplicated_by_chain,1,CLOSED,protocol+implementation+synthetic+red_team
Q0_chain_treated_as_scientific_N,1,CLOSED,protocol+implementation+synthetic+red_team
Q0_order_not_persisted,1,CLOSED,protocol+implementation+synthetic+red_team
finite_Q0_reduced_to_single_selection,1,CLOSED,protocol+implementation+synthetic+red_team
measurement_null_replaced_by_zero,1,CLOSED,protocol+implementation+synthetic+red_team
context_catastrophic_rule_invented,1,CLOSED,protocol+implementation+synthetic+red_team
method_context_count_drift,1,CLOSED,protocol+implementation+synthetic+red_team
target_context_filename_enumeration,1,CLOSED,protocol+implementation+synthetic+red_team
candidate_order_drift,1,CLOSED,protocol+implementation+synthetic+red_team
selection_mutated_in_stage_C,1,CLOSED,protocol+implementation+synthetic+red_team
construction_descriptor_reaches_stage_C,1,CLOSED,protocol+implementation+synthetic+red_team
external_field_hash_drift,1,CLOSED,protocol+implementation+synthetic+red_team
target_label_alignment_drift,1,CLOSED,protocol+implementation+synthetic+red_team
construction_evaluation_overlap,1,CLOSED,protocol+implementation+synthetic+red_team
same_label_oracle_reachable,1,CLOSED,protocol+implementation+synthetic+red_team
training_or_forward_reachable,1,CLOSED,protocol+implementation+synthetic+red_team
GPU_required,1,CLOSED,protocol+implementation+synthetic+red_team
method_retuned,1,CLOSED,protocol+implementation+synthetic+red_team
threshold_changed,1,CLOSED,protocol+implementation+synthetic+red_team
partial_result_published,1,CLOSED,protocol+implementation+synthetic+red_team
automatic_retry,1,CLOSED,protocol+implementation+synthetic+red_team
target_or_chain_pseudoreplication,1,CLOSED,protocol+implementation+synthetic+red_team
different_method_substitution,1,CLOSED,protocol+implementation+synthetic+red_team
level_heterogeneity_hidden,1,CLOSED,protocol+implementation+synthetic+red_team
C85_started,1,CLOSED,protocol+implementation+synthetic+red_team
