table,field_count,fields,atomic
method_context_decisions.csv,20,dataset|target_subject_id|panel|training_seed|level|method_id|standardized_regret|selected_utility|source_relative_regret_gain|top1|top5|top10|coverage|selected_regime|rank_measurement_applicable|performance_estimate_applicable|Spearman|Kendall|pairwise_ordering_accuracy|accuracy_estimation_MAE,1
target_level_method_effects.csv,9,dataset|target_subject_id|method_id|level|method_regret|source_regret|Q0_B1_regret|Q1_effect|Q2_excess,1
target_level_catastrophic_failures.csv,6,dataset|target_subject_id|method_id|level|Q1_catastrophic_floor_breached|Q2_catastrophic_excess_breached,1
dataset_Q1_Q2.csv,15,dataset|method_id|Q1_pass|Q1_mean|Q1_pvalue|Q1_favorable_targets|Q1_worst_target|Q2_pass|Q2_mean_excess|Q2_simultaneous_upper|Q2_pvalue|Q2_within_margin_targets|Q2_worst_excess|panel_seed_Q1_all_directional|panel_seed_Q2_all_within_margin,1
level_specific_Q1_Q2.csv,10,dataset|level|method_id|Q1_pass|Q1_mean|Q1_pvalue|Q2_pass|Q2_mean_excess|Q2_pvalue|level_heterogeneity,1
panel_seed_stability.csv,12,dataset|method_id|Q1_A5|Q1_A6|Q1_B5|Q1_B6|Q2_A5|Q2_A6|Q2_B5|Q2_B6|Q1_all_directional|Q2_all_within_margin,1
leave_one_target_out.csv,10,dataset|left_out_target|full_category|LOTO_category|full_supporting_methods|LOTO_supporting_methods|same_method_preserved|label_full_Bstar|label_LOTO_Bstar|label_Bstar_preserved,1
label_budget_frontier.csv,12,dataset|budget|mean_effect|maxT_pvalue|direct_qualification|closure_qualification|Bstar|level0_Bstar|level1_Bstar|LOTO_preserved|LOTO_minimum|registered_heterogeneity,1
label_budget_context.csv,6,dataset|target_subject_id|budget|primary_effect|level0_effect|level1_effect,1
topk_decision_summary.csv,7,dataset|method_id|mean_top1|mean_top5|mean_top10|Q1_pass|endpoint_substitutes_for_regret,1
selected_utility_summary.csv,4,dataset|method_id|mean_selected_utility|mean_regret,1
coverage_summary.csv,3,dataset|method_id|mean_coverage,1
selected_regime_distribution.csv,5,dataset|method_id|selected_regime|weighted_contexts|fraction,1
source_relative_regret_gain.csv,3,dataset|method_id|mean_source_relative_regret_gain,1
measurement_vs_decision.csv,10,dataset|method_id|rank_measurement_applicable|performance_estimate_applicable|mean_Spearman|mean_Kendall|mean_pairwise_ordering_accuracy|accuracy_estimation_MAE|Q1_pass|measurement_substitutes_for_regret,1
cross_dataset_method_intersection.csv,6,set_id|dataset|methods|count|primary_gate|label_frontier_tag,1
q0_selected_regime_distribution.csv,9,dataset|target_subject_id|panel|training_seed|level|budget|regime|chain_count|fraction,1
q0_monte_carlo_diagnostics.csv,15,dataset|target_subject_id|panel|training_seed|level|budget|chain_count|mean_regret|regret_MCSE|mean_selected_utility|selected_utility_min|selected_utility_max|top1_MCSE|top5_MCSE|top10_MCSE,1
