milestone,primary_artifact,json_artifact_count,md_artifact_count,table_file_count,primary_taxonomy_or_decision,secondary_taxonomy,source_schema,red_team_artifact_present,test_file_count,caveat
C14,oaci/reports/C14_DG_FALSIFICATION_BATTERY.json,1,1,7,,,not_compact_taxonomy_schema,0,0,
C15,oaci/reports/C15_CLAIM_EVIDENCE_MAP.json,1,2,4,,,not_compact_taxonomy_schema,0,1,
C16,oaci/reports/C16_MECHANISM_DEEP_DIVE.json,2,4,17,,,not_compact_taxonomy_schema,0,0,
C17,oaci/reports/C17_SOURCE_SIGNAL_IDENTIFIABILITY.json,1,2,12,,,taxonomy,0,0,
C18,oaci/reports/C18_CONTROLLED_SUPPORT_MISMATCH_STRESS.json,2,2,16,,,taxonomy,0,1,
C19,oaci/reports/C19_SOURCE_ONLY_COMPETENCE_PROBE.json,1,3,13,,,taxonomy,0,1,
C20,oaci/reports/C20_FROZEN_PROBE_NEW_REGIME_VALIDATION.json,1,3,14,,,taxonomy,0,1,
C21,oaci/reports/C21_ESTIMAND_BOUNDARY.json,1,5,9,,,not_compact_taxonomy_schema,0,1,
C22,oaci/reports/C22_ESTIMAND_TRANSPORT_AUDIT.json,1,3,11,,,taxonomy,0,1,
C23,oaci/reports/C23_TARGET_FREE_SCORE_GAUGE_AUDIT.json,1,3,12,,,taxonomy,0,1,
C24,oaci/reports/C24_INFORMATION_LADDER_AUDIT.json,2,4,12,,,taxonomy,0,1,
C25,oaci/reports/C25_TARGET_UNLABELED_GAUGE_MECHANISM.json,1,4,12,,,taxonomy,0,1,
C26,oaci/reports/C26_PREDICTED_CLASS_MIX_MECHANISM.json,2,3,12,,,taxonomy,0,1,
C27,oaci/reports/C27_CONFIDENCE_OCCUPANCY_LOGIT_GEOMETRY.json,1,3,11,,,taxonomy,0,1,
C28,oaci/reports/C28_SOURCE_TARGET_LOGIT_FACTOR_HOMOLOGY.json,1,3,11,,,taxonomy,0,1,
C29,oaci/reports/C29_REPRESENTATION_HEAD_ORIGIN.json,1,4,12,,,taxonomy,0,1,
C30,oaci/reports/C30_RANK_GAUGE_SEPARATION_AUDIT.json,1,4,11,,,taxonomy,1,1,
C31,oaci/reports/C31_ENDPOINT_AXIS_GEOMETRY.json,1,4,14,E3_joint_good_exists_but_source_unobservable;E7_gauge_general_endpoint_offset,,primary.taxonomy,1,1,
C32,oaci/reports/C32_JOINT_GOOD_LOCALIZATION_AUDIT.json,1,6,12,J8_joint_good_landscape_diffuse_or_base_rate_dominated;J1_joint_good_common_not_scarce;J2_source_scores_weak_trajectory_enrichment;J3_source_topk_localization_weak;J5_selected_oaci_near_joint_good_margin_sensitive;J6_target_unlabeled_improves_pooled_gauge_not_topk_localization;J7_target_grouped_rank_recovers_pooled_localization_non_deployable,,primary.taxonomy,1,1,
C33,oaci/reports/C33_LOCAL_TRAJECTORY_BOUNDARY_AUDIT.json,1,4,11,B3_source_score_active_misranking;B4_local_gauge_jump_unseen_by_source;B7_target_unlabeled_pooled_only_confirmed;B8_label_margin_instability,,primary.taxonomy,1,1,
C34,oaci/reports/C34_CONTINUOUS_LOCAL_REGRET_AUDIT.json,1,5,11,M2_continuous_source_active_misranking;M7_target_unlabeled_pooled_only_reconfirmed;M8_continuous_endpoint_tradeoff_local,,taxonomy,1,2,
C35,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json,1,4,11,U1_preference_robust_local_regret;U2_preference_dependent_tradeoff_regret;U3_pareto_dominated_selected_cases_common;U5_source_active_misranking_preference_robust;U7_target_unlabeled_no_preference_robust_rescue,,taxonomy,1,1,
C36,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json,1,3,11,S2_leakage_objective_prefers_selected;S4_selection_audit_inversion;S5_source_pareto_conflict;S9_trace_insufficient,,taxonomy,0,1,
C37,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json,1,4,11,T1_exact_ucl_prefers_selected;T5_selection_audit_inversion_confirmed;T6_source_pareto_conflict_survives_exact_trace;T8_actual_selector_misdirection_supported,,taxonomy,1,1,
C38,oaci/reports/C38_LEAKAGE_UCL_OBJECTIVE_GEOMETRY.json,1,4,11,L1_point_leakage_drives_ucl_preference;L5_selection_audit_leakage_inversion;L6_source_rational_target_wrong;L7_leakage_target_gauge_conflict;L8_leakage_endpoint_decoupled;L10_trace_atom_insufficient,,taxonomy,1,1,
C39,oaci/reports/C39_LEAKAGE_ATOM_RECOVERY_AUDIT.json,1,4,11,A9_atom_decomposition_irrecoverable;A10_ucl_quantile_atom_limit,,taxonomy,1,1,
C40,oaci/reports/C40_LEAKAGE_POINT_DRIFT_FORENSICS.json,1,4,10,D2_numeric_only_drift_bounded;D4_aggregate_vs_atom_path_divergence;D5_diagnostic_atom_pattern_stable_but_blocked;D6_atom_trace_irrecoverable_final;D7_future_instrumentation_required,,taxonomy,1,1,
C41,oaci/reports/C41_LEAKAGE_TARGET_OBJECTIVE_FIELD.json,1,4,10,O2_global_leakage_target_decoupling;O5_source_audit_leakage_no_better;O6_source_rank_better_than_leakage,,taxonomy,1,1,
C42,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json,1,4,10,R1_source_rank_pairwise_signal_real;R2_rank_to_topk_gap;R3_source_rank_top1_improves_over_oaci_but_not_reliable;R6_dense_base_rate_limits_claim;R7_top_region_plateau_or_instability;R8_leakage_blocks_rank_better_candidates;R9_source_rank_escape_hatch_closed,,taxonomy,1,1,
C43,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json,1,4,11,F1_source_objective_frontier_contains_target_good;F3_leakage_extreme_blocks_rank_frontier;F4_no_source_scalarization_reliable_topk;F5_hindsight_scalarization_ceiling_weak;F7_source_rank_leakage_tradeoff_real;F8_source_only_scalarization_escape_hatch_closed,,taxonomy,1,1,
C44,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json,1,4,10,PF1_source_pareto_front_degenerate;PF2_front_membership_non_discriminative;PF3_objective_conflict_inflates_front;PF4_objective_redundancy_not_the_issue;PF5_family_reduced_frontier_narrows_but_loses_target_coverage;PF6_family_reduced_frontier_has_diagnostic_signal;PF7_dominance_depth_not_target_informative;PF9_source_objective_geometry_non_identifiable,,taxonomy,1,1,
C45,oaci/reports/C45_SOURCE_EQUIVALENCE_NONIDENTIFIABILITY.json,1,4,10,N1_source_equivalent_target_divergent_witnesses;N6_family_reduced_space_not_sufficient;N7_rank_space_reduces_but_does_not_close_ambiguity,,taxonomy,1,1,
C46,oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json,1,4,9,CB1_source_space_informative_after_target_or_trajectory_conditioning;CB2_cross_target_grouping_breaks_source_equivalence;CB3_within_trajectory_neighborhoods_relatively_homogeneous;CB4_source_only_global_comparability_nonidentifiable;CB6_regime_conditioning_partial_not_sufficient,,taxonomy,1,1,
C47,oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json,1,3,10,GCA1_conditioning_restores_source_neighborhood_homogeneity;GCA2_conditioning_improves_but_not_reliable_actionability;GCA5_grouped_actionability_still_base_rate_limited;GCA6_global_source_only_comparability_fails;GCA7_group_conditioning_is_separate_problem_class,,taxonomy,1,1,
C48,oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json,1,2,9,LC1_conditioned_source_space_ceiling_high;LC3_existing_scores_underuse_source_space,,taxonomy,1,1,
