gate,failed,finding
all_key_numbers_traceable,0,Every empirical number in the C56 main report is represented in key_number_provenance.csv.
c55_null_ambiguity_resolved,0,Template-only 0.704 is explicitly not compared as a pass against max null p95 0.771.
endpoint_scalar_not_source_available,0,Endpoint-scalar transfer is marked unavailable under original source-only DG.
split_label_not_claimed,0,Split-label/few-label remains future work only.
same_label_oracle_diagnostic_only,0,Same-label endpoint oracle rows are diagnostic-only.
literature_overclaims_blocked,0,"Literature rows block universal DG, universal invariance, SOTA, and theorem overclaims."
forbidden_claim_scan_passed,0,Forbidden affirmative claim scan has zero affirmative hits in C56 reports.
no_training_gpu_reinfer,0,C56 reads committed report artifacts only.
no_bnci2014_004_or_seeds_3_4,0,C56 does not add datasets or seeds.
compact_artifacts,0,C56 JSON is compact and row-level evidence lives in c56_tables.
