subject_id,microblock_id,trial_id,C,Y_design
0,0,0,1,0
0,0,1,1,1
0,0,2,0,1
0,0,3,0,1
0,0,4,0,1
0,0,5,1,0
0,0,6,0,0
0,0,7,0,0
0,0,8,0,0
0,0,9,1,0
0,0,10,1,1
0,0,11,1,1
0,1,12,1,0
0,1,13,1,1
0,1,14,1,0
0,1,15,0,1
0,1,16,0,0
0,1,17,1,1
0,1,18,0,0
0,1,19,1,1
0,1,20,0,1
0,1,21,0,0
0,1,22,0,1
0,1,23,1,0
0,2,24,1,1
0,2,25,1,0
0,2,26,0,1
0,2,27,1,1
0,2,28,0,0
0,2,29,1,0
0,2,30,1,0
0,2,31,0,0
0,2,32,0,1
0,2,33,0,1
0,2,34,1,1
0,2,35,0,0
0,3,36,1,1
0,3,37,0,1
0,3,38,0,1
0,3,39,1,0
0,3,40,0,0
0,3,41,1,1
0,3,42,0,0
0,3,43,1,0
0,3,44,0,1
0,3,45,1,0
0,3,46,0,0
0,3,47,1,1
0,4,48,1,1
0,4,49,0,0
0,4,50,0,1
0,4,51,0,0
0,4,52,0,1
0,4,53,1,0
0,4,54,1,0
0,4,55,0,1
0,4,56,1,1
0,4,57,0,0
0,4,58,1,1
0,4,59,1,0
0,5,60,1,1
0,5,61,1,0
0,5,62,0,0
0,5,63,1,0
0,5,64,1,1
0,5,65,1,0
0,5,66,0,1
0,5,67,0,0
0,5,68,0,1
0,5,69,0,0
0,5,70,1,1
0,5,71,0,1
0,6,72,1,0
0,6,73,1,0
0,6,74,0,0
0,6,75,1,1
0,6,76,0,0
0,6,77,1,1
0,6,78,0,0
0,6,79,0,1
0,6,80,0,1
0,6,81,1,0
0,6,82,1,1
0,6,83,0,1
0,7,84,1,1
0,7,85,1,0
0,7,86,0,1
0,7,87,0,1
0,7,88,1,1
0,7,89,1,1
0,7,90,0,0
0,7,91,0,0
0,7,92,1,0
0,7,93,1,0
0,7,94,0,0
0,7,95,0,1
0,8,96,0,0
0,8,97,0,0
0,8,98,1,0
0,8,99,0,1
0,8,100,0,1
0,8,101,1,0
0,8,102,1,1
0,8,103,1,1
0,8,104,0,1
0,8,105,1,0
0,8,106,0,0
0,8,107,1,1
0,9,108,1,1
0,9,109,0,0
0,9,110,1,0
0,9,111,0,1
0,9,112,1,1
0,9,113,0,0
0,9,114,0,1
0,9,115,1,0
0,9,116,0,0
0,9,117,0,1
0,9,118,1,0
0,9,119,1,1
1,0,120,1,1
1,0,121,1,0
1,0,122,0,0
1,0,123,1,1
