pipeline,pipeline_label,method,method_label,baseline_method,baseline_label,metric,threshold_operator,threshold,scope,dataset,harm_count,denominator,harm_rate,raw_subject_harm_count_context,raw_subject_denominator_context,count_definition,seeds_averaged_first,status,provenance_artifact,result_sha256
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,0.0,per_dataset,BNCI2014_001,1,9,0.1111111111111111,1,9,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,0.0,per_dataset,Cho2017,17,52,0.3269230769230769,17,52,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,0.0,per_dataset,Lee2019_MI,13,54,0.24074074074074073,13,54,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,0.0,subject_weighted,ALL,31,115,0.26956521739130435,31,115,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,0.0,dataset_macro,ALL,NA,3,0.22625830959164292,31,115,harm_count_not_defined_for_macro_rate; denominator is datasets; raw subject counts are context only,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,-0.01,per_dataset,BNCI2014_001,0,9,0.0,0,9,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,-0.01,per_dataset,Cho2017,13,52,0.25,13,52,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,-0.01,per_dataset,Lee2019_MI,12,54,0.2222222222222222,12,54,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,-0.01,subject_weighted,ALL,25,115,0.21739130434782608,25,115,subject_count,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,"identity, uniform decision prior",bacc,<,-0.01,dataset_macro,ALL,NA,3,0.1574074074074074,25,115,harm_count_not_defined_for_macro_rate; denominator is datasets; raw subject counts are context only,True,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c
