contrast,metric,q,mean,ci_low,ci_high,n,n_clusters,cluster,source
pooled_minus_FRSC,bacc,0.1,0.059818256188382386,0.04655226908016386,0.07333842935852307,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,acc,0.1,0.037349500293944765,0.020662172067901267,0.05300409237662073,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,macro_f1,0.1,0.16679934841002797,0.15224114355239274,0.18279038052651939,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_unif,0.1,-0.13276719385025673,-0.18382376445755944,-0.07967776630129543,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_piJ,0.1,-0.13276719385025673,-0.18398670271561346,-0.07946715749035735,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_oracleq,0.1,0.10913290370196739,0.064662983059436,0.1584630142482965,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,transform_norm,0.1,-6.675391448206372,-6.802049388921401,-6.530823020400497,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,bacc,0.1,-0.015412180406464183,-0.023345676895874457,-0.008596211920014994,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,acc,0.1,-0.014170781893004112,-0.022036378410059673,-0.007532574003928168,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,macro_f1,0.1,-0.03484208156034176,-0.0464722002599189,-0.024446797918204678,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,ord_acc_matched_unif,0.1,0.006184712275461249,-0.0023020058025117586,0.015175837631431644,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,ord_acc_matched_piJ,0.1,0.006184712275461249,-0.002042761933529006,0.015278462525336182,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,ord_acc_matched_oracleq,0.1,-0.018173357889678495,-0.02980298342738455,-0.008133596739481304,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,transform_norm,0.1,-0.1941649507593226,-0.23791703572118192,-0.15394000607508207,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,bacc,0.1,-0.016008888225394226,-0.02419132003858542,-0.008921229086451645,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,acc,0.1,-0.014767489711934154,-0.022902630741172405,-0.007753943393748366,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,macro_f1,0.1,-0.035690148665218066,-0.048023896323142155,-0.024667272846357207,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,ord_acc_matched_unif,0.1,0.009192942728136146,3.114200403515889e-05,0.018513979350744548,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,ord_acc_matched_piJ,0.1,0.008889738730487705,-0.0003409782293488353,0.018164863606172536,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,ord_acc_matched_oracleq,0.1,-0.015199078054287546,-0.02549839820941887,-0.006318454654203073,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_FRSC,transform_norm,0.1,-0.196319885607119,-0.2406972206774213,-0.1548843395162896,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,bacc,0.1,-0.0005967078189300411,-0.0013374642426979837,-4.734848484848468e-05,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,acc,0.1,-0.0005967078189300411,-0.001331018518518519,-4.734848484848468e-05,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,macro_f1,0.1,-0.0008480671048763075,-0.001780301715992968,-9.124580823931944e-05,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,ord_acc_matched_unif,0.1,0.0030082304526748978,-0.00010684974747474713,0.009231334664474197,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,ord_acc_matched_piJ,0.1,0.0027050264550264546,-0.0006140973965904599,0.008991941536267777,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,ord_acc_matched_oracleq,0.1,0.0029742798353909476,-5.1828833385205625e-05,0.009366925064599485,90,72,"(dataset,subject)",raw_seed_averaged
joint_EM_minus_fixed_iterative,transform_norm,0.1,-0.0021549348477963885,-0.004214411930761462,-0.0004866690950704918,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,bacc,0.1,-0.011876760065488288,-0.018687543304358786,-0.005596608623000998,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,acc,0.1,0.00308245149911816,-0.006612022739143653,0.013266799484989496,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,macro_f1,0.1,-0.022722905873284165,-0.03366969423557009,-0.012526554280071588,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,ord_acc_matched_unif,0.1,0.22919632309262766,0.170594906427072,0.2828614630425976,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,ord_acc_matched_piJ,0.1,0.22919632309262766,0.17125893814526594,0.28447442708079795,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,ord_acc_matched_oracleq,0.1,0.20452975792454842,0.15094328449936156,0.2550532003779641,90,72,"(dataset,subject)",raw_seed_averaged
oracle_label_diagnostic_minus_FRSC,transform_norm,0.1,-0.12302424289562093,-0.1583281878741085,-0.09228068392158412,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,bacc,0.2,0.06218774897702647,0.04855773328314623,0.0759723509416688,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,acc,0.2,0.04316519694297475,0.026541216703387452,0.05930401042307536,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,macro_f1,0.2,0.169244037934193,0.15394803524268744,0.18578569325811206,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_unif,0.2,-0.05571132510933307,-0.09457583506188698,-0.014045098335387017,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_piJ,0.2,-0.05571132510933307,-0.09454258124551389,-0.01585479420996564,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,ord_acc_matched_oracleq,0.2,0.09529620869655187,0.06015726332251421,0.13278128886743853,90,72,"(dataset,subject)",raw_seed_averaged
pooled_minus_FRSC,transform_norm,0.2,-6.804363621053872,-6.9138010287198455,-6.675538850860228,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,bacc,0.2,-0.018511413960678572,-0.02731883424736059,-0.010661136565289322,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,acc,0.2,-0.01733583186360964,-0.0260852217670895,-0.009635247289972898,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,macro_f1,0.2,-0.04085209479067645,-0.054048269258561314,-0.02877962054249493,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,ord_acc_matched_unif,0.2,-0.004771999123006406,-0.016116130104030256,0.005334282838491687,90,72,"(dataset,subject)",raw_seed_averaged
fixed_iterative_minus_FRSC,ord_acc_matched_piJ,0.2,-0.004771999123006406,-0.01583935601950712,0.005245622761659651,90,72,"(dataset,subject)",raw_seed_averaged
