dataset,metric,method,seed0_mean,seed1_mean,seed2_mean,range,population_std,seed0_rank,seed1_rank,seed2_rank,rank_rule
BNCI2014_001,acc,source_only_tsmnet,0.6265432098765431,0.5771604938271605,0.625,0.0493827160493826,0.022924156332466215,4,4,4,1 + count of strictly greater method means; ties share rank
BNCI2014_001,acc,rct,0.7299382716049383,0.7253086419753085,0.7253086419753086,0.004629629629629761,0.002182428336995553,1,3,1,1 + count of strictly greater method means; ties share rank
BNCI2014_001,acc,spdim_geodesic,0.7253086419753088,0.7361111111111112,0.7222222222222221,0.013888888888889062,0.005954648612546458,2,1,2,1 + count of strictly greater method means; ties share rank
BNCI2014_001,acc,spdim_bias,0.7222222222222223,0.7314814814814814,0.7160493827160495,0.015432098765431945,0.006341989714988591,3,2,3,1 + count of strictly greater method means; ties share rank
BNCI2014_001,bacc,source_only_tsmnet,0.6265432098765431,0.5771604938271605,0.625,0.0493827160493826,0.022924156332466215,4,4,4,1 + count of strictly greater method means; ties share rank
BNCI2014_001,bacc,rct,0.7299382716049383,0.7253086419753085,0.7253086419753086,0.004629629629629761,0.002182428336995553,1,3,1,1 + count of strictly greater method means; ties share rank
BNCI2014_001,bacc,spdim_geodesic,0.7253086419753088,0.7361111111111112,0.7222222222222221,0.013888888888889062,0.005954648612546458,2,1,2,1 + count of strictly greater method means; ties share rank
BNCI2014_001,bacc,spdim_bias,0.7222222222222223,0.7314814814814814,0.7160493827160495,0.015432098765431945,0.006341989714988591,3,2,3,1 + count of strictly greater method means; ties share rank
Cho2017,acc,source_only_tsmnet,0.5285576923076923,0.5165384615384615,0.5253846153846154,0.012019230769230838,0.005085761860479954,4,4,4,1 + count of strictly greater method means; ties share rank
Cho2017,acc,rct,0.5997756410256408,0.6012179487179486,0.5918269230769232,0.009391025641025452,0.004129214763903584,1,1,2,1 + count of strictly greater method means; ties share rank
Cho2017,acc,spdim_geodesic,0.5991987179487179,0.5997435897435899,0.5890064102564103,0.01073717948717956,0.004938140053675511,2,2,3,1 + count of strictly greater method means; ties share rank
Cho2017,acc,spdim_bias,0.5984294871794872,0.5972435897435897,0.5950961538461539,0.0033333333333332993,0.0013795709789308933,3,3,1,1 + count of strictly greater method means; ties share rank
Cho2017,bacc,source_only_tsmnet,0.5285576923076923,0.5165384615384615,0.5253846153846154,0.012019230769230838,0.005085761860479954,4,4,4,1 + count of strictly greater method means; ties share rank
Cho2017,bacc,rct,0.599775641025641,0.6012179487179486,0.5918269230769232,0.009391025641025452,0.004129214763903603,1,1,2,1 + count of strictly greater method means; ties share rank
Cho2017,bacc,spdim_geodesic,0.5991987179487179,0.5997435897435898,0.5890064102564104,0.010737179487179338,0.004938140053675431,2,2,3,1 + count of strictly greater method means; ties share rank
Cho2017,bacc,spdim_bias,0.5984294871794872,0.5972435897435897,0.5950961538461539,0.0033333333333332993,0.0013795709789308933,3,3,1,1 + count of strictly greater method means; ties share rank
Lee2019_MI,acc,source_only_tsmnet,0.5499999999999999,0.5444444444444444,0.551111111111111,0.006666666666666599,0.0029162992125969438,4,4,4,1 + count of strictly greater method means; ties share rank
Lee2019_MI,acc,rct,0.6822222222222223,0.6814814814814815,0.6811111111111111,0.0011111111111111738,0.0004619330107128616,1,1,1,1 + count of strictly greater method means; ties share rank
Lee2019_MI,acc,spdim_geodesic,0.6792592592592591,0.6729629629629629,0.6792592592592591,0.006296296296296244,0.0029681025383138785,2,2,3,1 + count of strictly greater method means; ties share rank
Lee2019_MI,acc,spdim_bias,0.6714814814814816,0.6718518518518519,0.6796296296296296,0.008148148148148016,0.0037568207542475803,3,3,2,1 + count of strictly greater method means; ties share rank
Lee2019_MI,bacc,source_only_tsmnet,0.5499999999999999,0.5444444444444444,0.551111111111111,0.006666666666666599,0.0029162992125969438,4,4,4,1 + count of strictly greater method means; ties share rank
Lee2019_MI,bacc,rct,0.6822222222222224,0.6814814814814815,0.6811111111111111,0.0011111111111112848,0.00046193301071291106,1,1,1,1 + count of strictly greater method means; ties share rank
Lee2019_MI,bacc,spdim_geodesic,0.6792592592592592,0.672962962962963,0.6792592592592592,0.006296296296296244,0.0029681025383138785,2,2,3,1 + count of strictly greater method means; ties share rank
Lee2019_MI,bacc,spdim_bias,0.6714814814814816,0.6718518518518519,0.6796296296296296,0.008148148148148016,0.0037568207542475803,3,3,2,1 + count of strictly greater method means; ties share rank
