summary,quantity,mean,ci_low,ci_high,n
BNCI2014_001,G,0.012860082304526732,-0.004115226337448565,0.03446502057613164,9
BNCI2014_001,P,-0.008744855967078228,-0.019547325102880722,0.0015432098765431797,9
BNCI2014_001,I_int,0.006687242798353939,-0.0056584362139917455,0.020061728395061745,9
BNCI2014_001,fixed_prior_iter_minus_joint_fit_geometry,0.011316872427983515,0.002057613168724227,0.02211934156378597,9
BNCI2014_001,joint_fit_geometry_minus_pooled,-0.017489711934156344,-0.03240740740740736,-0.0041152263374484915,9
Cho2017,G,0.12274572649572651,0.08662232905982906,0.16016079059829058,52
Cho2017,P,-0.0018803418803418695,-0.018942307692307665,0.015267628205128218,52
Cho2017,I_int,0.0014529914529914565,-0.008739316239316237,0.011474626068376086,52
Cho2017,fixed_prior_iter_minus_joint_fit_geometry,-0.0007051282051282043,-0.005129807692307708,0.0037179487179487204,52
Cho2017,joint_fit_geometry_minus_pooled,-0.0010683760683760858,-0.005598290598290604,0.0035897435897435767,52
Lee2019_MI,G,0.00832716183663394,-6.992896487097016e-05,0.017604307228216303,54
Lee2019_MI,P,-0.010618910584784128,-0.01697334569221253,-0.004595178303867948,54
Lee2019_MI,I_int,0.006714999533289457,0.00036019482858565125,0.013093290294961438,54
Lee2019_MI,fixed_prior_iter_minus_joint_fit_geometry,0.0034472784047071053,-0.00016168758485968337,0.007119547828360092,54
Lee2019_MI,joint_fit_geometry_minus_pooled,-0.003531880548696226,-0.007585999893630805,0.0007025552583502612,54
subject_weighted,G,0.06041900224084132,0.04311725147550361,0.07756080594216523,115
subject_weighted,P,-0.00652089263530282,-0.0145999943896281,0.0018032262125603953,115
subject_weighted,I_int,0.004333484482942365,-0.0011610325470520324,0.009826153516079463,115
subject_weighted,fixed_prior_iter_minus_joint_fit_geometry,0.002185549730777119,-0.0004941558993970223,0.004864749969060317,115
subject_weighted,joint_fit_geometry_minus_pooled,-0.00351030010950052,-0.00663069586169286,-0.00034729443770549267,115
dataset_equal_macro,G,0.04797765687896239,0.03420405441812599,0.06198143774460381,3
dataset_equal_macro,P,-0.007081369477401408,-0.014041566943829955,-9.981814264434227e-05,3
dataset_equal_macro,I_int,0.004951744594878284,-0.0007937105999662041,0.010905200009802407,3
dataset_equal_macro,fixed_prior_iter_minus_joint_fit_geometry,0.004686340875854139,0.0009503327140841246,0.008672701698164654,3
dataset_equal_macro,joint_fit_geometry_minus_pooled,-0.007363322850409551,-0.012776134764574005,-0.0024457441509777634,3
