perturbation,quantity,mean,ci_low,ci_high,n,n_clusters
none,falsification_maxFC_minus_maxDIAG,-0.0033,-0.0081,0.0013,72,
none,coral_minus_FRSC,0.0575,0.0433,0.0722,72,
none,EA_minus_CORAL,-0.0024,-0.009,0.0039,72,
none,BA_identity_uniform,0.5818,0.561,0.6039,72,
none,BA_fixed_reference_oneshot_uniform,0.5243,0.5136,0.5369,72,
none,BA_fixed_iterative_geometry_uniform,0.5016,0.5,0.5046,72,
none,BA_joint_geometry_uniform,0.5016,0.5,0.5046,72,
none,BA_latent_im_diag_uniform,0.5803,0.5583,0.6032,72,
none,BA_pooled_uniform,0.5827,0.5627,0.6042,72,
none,BA_coral_latent,0.5818,0.5612,0.604,72,
none,BA_source_recolored_ea,0.5794,0.5588,0.6013,72,
reref,identity_BA_drop_vs_none,0.0375,0.0227,0.0532,72,
reref,falsification_maxFC_minus_maxDIAG,-0.0063,-0.0115,-0.0011,72,
reref,coral_minus_FRSC,0.0508,0.0359,0.0671,72,
reref,EA_minus_CORAL,-0.0085,-0.0174,0.0003,72,
reref,BA_identity_uniform,0.5443,0.5304,0.5596,72,
reref,BA_fixed_reference_oneshot_uniform,0.5096,0.5039,0.5169,72,
reref,BA_fixed_iterative_geometry_uniform,0.5,0.4999,0.5002,72,
reref,BA_joint_geometry_uniform,0.5,0.4999,0.5,72,
reref,BA_latent_im_diag_uniform,0.5617,0.5428,0.5819,72,
reref,BA_pooled_uniform,0.564,0.5454,0.5842,72,
reref,BA_coral_latent,0.5604,0.543,0.5795,72,
reref,BA_source_recolored_ea,0.5519,0.5363,0.5687,72,
gain,identity_BA_drop_vs_none,0.0209,0.0125,0.0296,72,
gain,falsification_maxFC_minus_maxDIAG,-0.0036,-0.0097,0.0024,72,
gain,coral_minus_FRSC,0.0635,0.0463,0.0819,72,
gain,EA_minus_CORAL,0.0023,-0.0041,0.0085,72,
gain,BA_identity_uniform,0.5609,0.5443,0.5786,72,
gain,BA_fixed_reference_oneshot_uniform,0.5133,0.5059,0.5226,72,
gain,BA_fixed_iterative_geometry_uniform,0.5003,0.5,0.5007,72,
gain,BA_joint_geometry_uniform,0.5001,0.5,0.5002,72,
gain,BA_latent_im_diag_uniform,0.5798,0.5584,0.6025,72,
gain,BA_pooled_uniform,0.5762,0.5558,0.5983,72,
gain,BA_coral_latent,0.5768,0.5559,0.5995,72,
gain,BA_source_recolored_ea,0.5791,0.5584,0.6015,72,
dropout,identity_BA_drop_vs_none,0.028,0.0193,0.0366,72,
dropout,falsification_maxFC_minus_maxDIAG,-0.0001,-0.0068,0.0064,72,
dropout,coral_minus_FRSC,0.0665,0.0484,0.0862,72,
dropout,EA_minus_CORAL,0.0027,-0.0057,0.0106,72,
dropout,BA_identity_uniform,0.5538,0.5367,0.5728,72,
dropout,BA_fixed_reference_oneshot_uniform,0.5075,0.5034,0.5122,72,
dropout,BA_fixed_iterative_geometry_uniform,0.5001,0.5,0.5002,72,
dropout,BA_joint_geometry_uniform,0.5001,0.5,0.5002,72,
dropout,BA_latent_im_diag_uniform,0.5745,0.5536,0.5971,72,
dropout,BA_pooled_uniform,0.5758,0.5557,0.5974,72,
dropout,BA_coral_latent,0.574,0.554,0.5959,72,
dropout,BA_source_recolored_ea,0.5767,0.5561,0.5989,72,
