protocol,branch,stage,recall,delta_vs_identity_uniform
primary,identity_uniform,W,0.9244,0.0
primary,identity_uniform,N1,0.2881,0.0
primary,identity_uniform,N2,0.8854,0.0
primary,identity_uniform,N3,0.5342,0.0
primary,identity_uniform,REM,0.6386,0.0
primary,identity_joint_prior,W,0.9522,0.027800000000000047
primary,identity_joint_prior,N1,0.0065,-0.2816
primary,identity_joint_prior,N2,0.8171,-0.06829999999999992
primary,identity_joint_prior,N3,0.4833,-0.0509
primary,identity_joint_prior,REM,0.3073,-0.33129999999999993
primary,joint_geometry_uniform,W,0.9245,9.999999999998899e-05
primary,joint_geometry_uniform,N1,0.2127,-0.07540000000000002
primary,joint_geometry_uniform,N2,0.4988,-0.38659999999999994
primary,joint_geometry_uniform,N3,0.9622,0.42800000000000005
primary,joint_geometry_uniform,REM,0.6397,0.001100000000000101
primary,joint_geometry_joint_prior,W,0.9586,0.03420000000000001
primary,joint_geometry_joint_prior,N1,0.0083,-0.27980000000000005
primary,joint_geometry_joint_prior,N2,0.5549,-0.3305
primary,joint_geometry_joint_prior,N3,0.8823,0.34809999999999997
primary,joint_geometry_joint_prior,REM,0.408,-0.23059999999999997
primary,fixed_iterative_geometry_uniform,W,0.9042,-0.020199999999999996
primary,fixed_iterative_geometry_uniform,N1,0.272,-0.016100000000000003
primary,fixed_iterative_geometry_uniform,N2,0.5126,-0.3728
primary,fixed_iterative_geometry_uniform,N3,0.9616,0.4274
primary,fixed_iterative_geometry_uniform,REM,0.6787,0.040100000000000025
primary,fixed_reference_oneshot_uniform,W,0.907,-0.01739999999999997
primary,fixed_reference_oneshot_uniform,N1,0.3162,0.02809999999999996
primary,fixed_reference_oneshot_uniform,N2,0.6288,-0.25659999999999994
primary,fixed_reference_oneshot_uniform,N3,0.9324,0.3982
primary,fixed_reference_oneshot_uniform,REM,0.7324,0.0938000000000001
primary,pooled_uniform,W,0.8612,-0.06320000000000003
primary,pooled_uniform,N1,0.26,-0.028100000000000014
primary,pooled_uniform,N2,0.7736,-0.11180000000000001
primary,pooled_uniform,N3,0.7981,0.2639
primary,pooled_uniform,REM,0.6386,0.0
primary,latent_im_diag_uniform,W,0.9356,0.011199999999999988
primary,latent_im_diag_uniform,N1,0.0837,-0.20440000000000003
primary,latent_im_diag_uniform,N2,0.5914,-0.29399999999999993
primary,latent_im_diag_uniform,N3,0.9415,0.4073
primary,latent_im_diag_uniform,REM,0.6818,0.043200000000000016
primary,source_recolored_ea,W,0.9221,-0.0022999999999999687
primary,source_recolored_ea,N1,0.2875,-0.0006000000000000449
primary,source_recolored_ea,N2,0.8839,-0.0014999999999999458
primary,source_recolored_ea,N3,0.519,-0.015199999999999991
primary,source_recolored_ea,REM,0.6364,-0.0021999999999999797
secondary,identity_uniform,W,0.9137,0.0
secondary,identity_uniform,N1,0.2988,0.0
secondary,identity_uniform,N2,0.8659,0.0
secondary,identity_uniform,N3,0.4842,0.0
secondary,identity_uniform,REM,0.6421,0.0
secondary,identity_joint_prior,W,0.9601,0.0464
secondary,identity_joint_prior,N1,0.0137,-0.2851
secondary,identity_joint_prior,N2,0.7328,-0.1331
secondary,identity_joint_prior,N3,0.6858,0.20159999999999995
secondary,identity_joint_prior,REM,0.2711,-0.371
secondary,joint_geometry_uniform,W,0.9132,-0.0004999999999999449
secondary,joint_geometry_uniform,N1,0.2087,-0.09010000000000001
secondary,joint_geometry_uniform,N2,0.5441,-0.3218
secondary,joint_geometry_uniform,N3,0.9679,0.48369999999999996
secondary,joint_geometry_uniform,REM,0.6244,-0.01770000000000005
secondary,joint_geometry_joint_prior,W,0.9606,0.04690000000000005
secondary,joint_geometry_joint_prior,N1,0.0122,-0.2866
secondary,joint_geometry_joint_prior,N2,0.4876,-0.3783
secondary,joint_geometry_joint_prior,N3,0.9313,0.4471
secondary,joint_geometry_joint_prior,REM,0.3568,-0.2853
secondary,fixed_iterative_geometry_uniform,W,0.8648,-0.048899999999999944
secondary,fixed_iterative_geometry_uniform,N1,0.2716,-0.027200000000000002
secondary,fixed_iterative_geometry_uniform,N2,0.5859,-0.28
secondary,fixed_iterative_geometry_uniform,N3,0.9517,0.46749999999999997
secondary,fixed_iterative_geometry_uniform,REM,0.6899,0.047799999999999954
secondary,fixed_reference_oneshot_uniform,W,0.8828,-0.030899999999999928
secondary,fixed_reference_oneshot_uniform,N1,0.3021,0.0032999999999999696
secondary,fixed_reference_oneshot_uniform,N2,0.6505,-0.21540000000000004
secondary,fixed_reference_oneshot_uniform,N3,0.9143,0.4301
secondary,fixed_reference_oneshot_uniform,REM,0.7271,0.08499999999999996
secondary,pooled_uniform,W,0.8112,-0.10249999999999992
secondary,pooled_uniform,N1,0.255,-0.043800000000000006
secondary,pooled_uniform,N2,0.7815,-0.08440000000000003
secondary,pooled_uniform,N3,0.5618,0.07759999999999995
secondary,pooled_uniform,REM,0.6513,0.009199999999999986
secondary,latent_im_diag_uniform,W,0.9089,-0.0047999999999999154
secondary,latent_im_diag_uniform,N1,0.103,-0.19580000000000003
secondary,latent_im_diag_uniform,N2,0.6937,-0.17220000000000002
secondary,latent_im_diag_uniform,N3,0.9215,0.43729999999999997
secondary,latent_im_diag_uniform,REM,0.7106,0.0685
secondary,source_recolored_ea,W,0.9072,-0.00649999999999995
secondary,source_recolored_ea,N1,0.2993,0.0005000000000000004
secondary,source_recolored_ea,N2,0.8608,-0.005099999999999993
secondary,source_recolored_ea,N3,0.4536,-0.030600000000000016
secondary,source_recolored_ea,REM,0.6393,-0.0028000000000000247
