metric,method,estimand,dataset,n_clusters,estimate,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,cluster_unit,dataset_stratified,seeds_averaged_first
acc,source_only_tsmnet,per_dataset,BNCI2014_001,9,0.6095679012345678,0.5478395061728395,0.6790252057613168,10000,20260710,dataset_x_target_subject,True,True
acc,source_only_tsmnet,per_dataset,Cho2017,52,0.5234935897435897,0.5158012820512821,0.5325,10000,20260710,dataset_x_target_subject,True,True
acc,source_only_tsmnet,per_dataset,Lee2019_MI,54,0.5485185185185184,0.5361728395061728,0.5617283950617284,10000,20260710,dataset_x_target_subject,True,True
acc,source_only_tsmnet,subject_weighted,ALL,115,0.5419806763285023,0.5334459742351046,0.5508985507246376,10000,20260710,dataset_x_target_subject,True,True
acc,source_only_tsmnet,dataset_macro,ALL,115,0.5605266698322253,0.5394246827846365,0.584110468106996,10000,20260710,dataset_x_target_subject,True,True
acc,rct,per_dataset,BNCI2014_001,9,0.7268518518518519,0.6424897119341564,0.8024819958847735,10000,20260710,dataset_x_target_subject,True,True
acc,rct,per_dataset,Cho2017,52,0.5976068376068377,0.5781837606837607,0.6195085470085469,10000,20260710,dataset_x_target_subject,True,True
acc,rct,per_dataset,Lee2019_MI,54,0.6816049382716047,0.6550617283950616,0.7083950617283953,10000,20260710,dataset_x_target_subject,True,True
acc,rct,subject_weighted,ALL,115,0.6471642512077294,0.6304244363929148,0.663767190016103,10000,20260710,dataset_x_target_subject,True,True
acc,rct,dataset_macro,ALL,115,0.6686878759100982,0.6393431333755408,0.6964688390313389,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_geodesic,per_dataset,BNCI2014_001,9,0.7278806584362141,0.6435185185185186,0.8040123456790123,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_geodesic,per_dataset,Cho2017,52,0.5959829059829059,0.5766233974358974,0.6177777777777779,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_geodesic,per_dataset,Lee2019_MI,54,0.6771604938271606,0.6509876543209876,0.7034598765432097,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_geodesic,subject_weighted,ALL,115,0.6444235104669886,0.6277307971014493,0.6610387681159421,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_geodesic,dataset_macro,ALL,115,0.667008019415427,0.6373649097815764,0.695011389416482,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_bias,per_dataset,BNCI2014_001,9,0.7232510288065843,0.6373456790123457,0.7988683127572016,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_bias,per_dataset,Cho2017,52,0.5969230769230769,0.5773392094017095,0.6188042200854701,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_bias,per_dataset,Lee2019_MI,54,0.674320987654321,0.6483950617283951,0.7007407407407408,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_bias,subject_weighted,ALL,115,0.6431529790660225,0.6264632850241547,0.6599215378421899,10000,20260710,dataset_x_target_subject,True,True
acc,spdim_bias,dataset_macro,ALL,115,0.6648316977946608,0.6344579013664662,0.6929125217632162,10000,20260710,dataset_x_target_subject,True,True
bacc,source_only_tsmnet,per_dataset,BNCI2014_001,9,0.6095679012345678,0.5478395061728395,0.6790252057613168,10000,20260710,dataset_x_target_subject,True,True
bacc,source_only_tsmnet,per_dataset,Cho2017,52,0.5234935897435897,0.5158012820512821,0.5325,10000,20260710,dataset_x_target_subject,True,True
bacc,source_only_tsmnet,per_dataset,Lee2019_MI,54,0.5485185185185185,0.5361728395061728,0.5617283950617284,10000,20260710,dataset_x_target_subject,True,True
bacc,source_only_tsmnet,subject_weighted,ALL,115,0.5419806763285024,0.5334459742351046,0.5508985507246376,10000,20260710,dataset_x_target_subject,True,True
bacc,source_only_tsmnet,dataset_macro,ALL,115,0.5605266698322254,0.5394246827846364,0.584110468106996,10000,20260710,dataset_x_target_subject,True,True
bacc,rct,per_dataset,BNCI2014_001,9,0.7268518518518519,0.6424897119341564,0.8024819958847735,10000,20260710,dataset_x_target_subject,True,True
bacc,rct,per_dataset,Cho2017,52,0.5976068376068377,0.5781837606837607,0.6195085470085469,10000,20260710,dataset_x_target_subject,True,True
bacc,rct,per_dataset,Lee2019_MI,54,0.6816049382716047,0.6550617283950616,0.7083950617283953,10000,20260710,dataset_x_target_subject,True,True
bacc,rct,subject_weighted,ALL,115,0.6471642512077294,0.6304244363929148,0.663767190016103,10000,20260710,dataset_x_target_subject,True,True
bacc,rct,dataset_macro,ALL,115,0.6686878759100982,0.6393431333755408,0.6964688390313389,10000,20260710,dataset_x_target_subject,True,True
bacc,spdim_geodesic,per_dataset,BNCI2014_001,9,0.727880658436214,0.6435185185185185,0.8040123456790123,10000,20260710,dataset_x_target_subject,True,True
bacc,spdim_geodesic,per_dataset,Cho2017,52,0.5959829059829059,0.5766233974358974,0.6177777777777779,10000,20260710,dataset_x_target_subject,True,True
