pipeline,pipeline_label,method,method_label,baseline_method,is_pipeline_baseline,metric,scope,dataset,mean_bacc,ci_low,ci_high,delta_vs_pipeline_baseline,delta_ci_low,delta_ci_high,n_target_subjects,n_datasets,n_source_seeds,bootstrap_replicates,bootstrap_seed,bootstrap_cluster,dataset_stratified,seeds_averaged_first,interval_label,status,provenance_artifact,result_sha256,result_commit
h2cmi,H2CMI repaired W1,identity_uniform,"identity, uniform decision prior",identity_uniform,True,bacc,per_dataset,BNCI2014_001,0.6893004115226338,0.6044238683127572,0.7762345679012346,0.0,0.0,0.0,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,identity_uniform,"identity, uniform decision prior",identity_uniform,True,bacc,per_dataset,Cho2017,0.6337713675213675,0.6118995726495725,0.6573931623931624,0.0,0.0,0.0,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,identity_uniform,"identity, uniform decision prior",identity_uniform,True,bacc,per_dataset,Lee2019_MI,0.7093827160493825,0.6818518518518518,0.7370370370370368,0.0,0.0,0.0,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,identity_uniform,"identity, uniform decision prior",identity_uniform,True,bacc,subject_weighted,ALL,0.6736215780998389,0.6557812399355879,0.6914284621578101,0.0,0.0,0.0,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,identity_uniform,"identity, uniform decision prior",identity_uniform,True,bacc,dataset_macro,ALL,0.6774848316977947,0.647432098765432,0.7090046626041996,0.0,0.0,0.0,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,False,bacc,per_dataset,BNCI2014_001,0.7196502057613168,0.643505658436214,0.7962962962962963,0.030349794238683076,0.007716049382716059,0.05812757201646089,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,False,bacc,per_dataset,Cho2017,0.6401923076923077,0.6175625,0.6641677350427351,0.006420940170940182,-0.0007158119658119496,0.013525908119658142,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,False,bacc,per_dataset,Lee2019_MI,0.7222222222222222,0.6925895061728394,0.7519753086419754,0.012839506172839518,0.004320987654321023,0.02135802469135804,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,False,bacc,subject_weighted,ALL,0.6849291465378422,0.6664120772946861,0.7033207326892109,0.011307568438003226,0.005798671497584553,0.01681988727858293,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,pooled,pooled,identity_uniform,False,bacc,dataset_macro,ALL,0.6940215785586156,0.665838292708663,0.722596727603672,0.016536746860820923,0.00813692360451619,0.026564099266645533,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
