method,q,macro_f1_mean,ord_acc_matched_oracleq_ci_high,ord_acc_matched_oracleq_ci_low,ord_acc_matched_unif_mean,ord_acc_matched_unif_ci_high,ord_acc_matched_piJ_mean,bacc_ci_low,macro_f1_ci_low,macro_f1_ci_high,ord_acc_matched_piJ_ci_low,bacc_ci_high,bacc_mean,ord_acc_matched_oracleq_mean,ord_acc_matched_piJ_ci_high,ord_acc_matched_unif_ci_low
pooled,0.1,0.5585043211382886,0.8689711943064099,0.8261784734343315,0.5733082105090168,0.6016170040960093,0.5733082105090168,0.5591839257462365,0.5397163649058195,0.5782515544176788,0.5452870550715647,0.5973942803372865,0.577927195747855,0.8488333275601561,0.6016170040960093,0.5452870550715647
pooled,0.2,0.5651376528154662,0.7749215610251082,0.7416733708739808,0.5911109388957934,0.6148566857427279,0.5911109388957934,0.5627513286786623,0.544968531032636,0.586319614060602,0.5673178767127106,0.6036523151458767,0.5827011093757732,0.7587077685318877,0.6148566857427279,0.5673178767127106
pooled,0.3,0.5711018339110385,0.6928247841137178,0.6601003817024182,0.6001810715132381,0.6232917199708703,0.6001810715132381,0.5656454071719108,0.5487344371193681,0.5948290453598742,0.578073805777615,0.6102596314936882,0.5872719057203141,0.6761486136643493,0.6232917199708703,0.578073805777615
pooled,0.4,0.5724018478835295,0.6314754933475987,0.5922932370551008,0.5979941467383768,0.6206273735399848,0.5979941467383768,0.5661020442970957,0.5496335657885073,0.5967066613111763,0.5766330044421326,0.6114967186073087,0.5879787571120443,0.6112528131562943,0.6206273735399848,0.5766330044421326
pooled,0.5,0.5700620923474362,0.6080535986074387,0.5641721644557309,0.5853443290871967,0.6080535986074387,0.5853443290871967,0.5641721644557309,0.5479372455984263,0.5937832282744748,0.5641721644557309,0.6080535986074387,0.5853443290871967,0.5853443290871967,0.6080535986074387,0.5641721644557309
pooled,0.6,0.5659226513193201,0.6209996849257118,0.5768053758275192,0.5644531456725947,0.5870370517509561,0.5644531456725947,0.5613985777768894,0.5450745668841346,0.588351588117549,0.5434855672265165,0.6024723065845232,0.5813309227933607,0.5981393356922549,0.5870370517509561,0.5434855672265165
pooled,0.7,0.5630417314239236,0.6777253202541614,0.6389231173931251,0.5393428533897796,0.5638009021362592,0.5393428533897796,0.5598514453220289,0.5424757853104666,0.5851524617323315,0.5163884327580012,0.600429350584291,0.5793880770197206,0.6578632526872906,0.5638009021362592,0.5163884327580012
pooled,0.8,0.556584343523447,0.7685015201374237,0.739952269626659,0.5039948508056594,0.5296464007255566,0.5039948508056594,0.5567151697684629,0.5377361926930573,0.5767736825613143,0.4794700520652503,0.5935557965056473,0.574544721128242,0.7544955981710451,0.5296464007255566,0.4794700520652503
pooled,0.9,0.549884112659487,0.8758326202517593,0.8530163774293325,0.46202084491362594,0.4907838643054064,0.46202084491362594,0.552837007245618,0.5318547723476502,0.5689770075220222,0.4337882999823739,0.5875621202058511,0.5697875751265085,0.8648845898821155,0.4907838643054064,0.4337882999823739
fixed_reference_oneshot,0.1,0.3880209793459684,0.781186909223218,0.6760495810778948,0.7081790870768594,0.762611044244468,0.7081790870768594,0.510303617873434,0.37227788718519883,0.40539785913027276,0.6498356344225423,0.5305072934550904,0.5196866113528917,0.7307002891804292,0.762611044244468,0.6498356344225423
fixed_reference_oneshot,0.2,0.39058704854467613,0.6994554386892884,0.6161225863895903,0.647787732382421,0.6902026327323224,0.647787732382421,0.5110672891994441,0.3735530838257858,0.4092600920064537,0.6033380687510161,0.5335616984909699,0.5214411230511296,0.6591710259435973,0.6902026327323224,0.6033380687510161
fixed_reference_oneshot,0.3,0.39443990883187385,0.6328575134677246,0.5733773510955052,0.5995196228650224,0.6289751677534787,0.5995196228650224,0.5121449150788197,0.3759565576050142,0.4156554697615091,0.5689171620730132,0.5378991239479757,0.5238600339301486,0.6038822064918189,0.6289751677534787,0.5689171620730132
fixed_reference_oneshot,0.4,0.39777712070176896,0.5788783283560219,0.5424494679443949,0.5594746541634515,0.5781810475116145,0.5594746541634515,0.5146141333157138,0.37782753644820877,0.4208081629740264,0.5410902228764409,0.5435056947598513,0.5275482715500264,0.5603596513887406,0.5781810475116145,0.5410902228764409
fixed_reference_oneshot,0.5,0.39227923938669507,0.5377650688382504,0.5134045668824279,0.5244729072512144,0.5377650688382504,0.5244729072512144,0.5134045668824279,0.37436973085254877,0.41272592350178616,0.5134045668824279,0.5377650688382504,0.5244729072512144,0.5244729072512144,0.5377650688382504,0.5134045668824279
fixed_reference_oneshot,0.6,0.3882911048425151,0.5293367621076159,0.48413736825432885,0.5041130961011332,0.5273171925322154,0.5041130961011332,0.5125573557074978,0.3715560778286952,0.40732378063538155,0.48195110757502807,0.5356600313722811,0.5232681209549155,0.5062922118003639,0.5273171925322154,0.48195110757502807
fixed_reference_oneshot,0.7,0.38509760295790435,0.542910298468578,0.467929306582653,0.49884069391110397,0.536941941336022,0.49884069391110397,0.5125985398256238,0.3695352818252023,0.40247307570751184,0.46169905852086174,0.5337282418297976,0.5223877877190586,0.5055683553540354,0.536941941336022,0.46169905852086174
fixed_reference_oneshot,0.8,0.38575527836028706,0.5766386910566148,0.46569823831425844,0.5095367578675422,0.5654320772161602,0.5095367578675422,0.5141900506637994,0.36952786915808084,0.4036712681582768,0.45322287346220963,0.5355430012904079,0.524131331272947,0.5215410367948682,0.5654320772161602,0.45322287346220963
fixed_reference_oneshot,0.9,0.37695336513627503,0.6199287612353943,0.4759506642361647,0.5150589638639632,0.5880712994678637,0.5150589638639632,0.5104335971893145,0.3629076990239013,0.3928496704028717,0.44194424388027725,0.5285685476308013,0.5188008985538648,0.5484013933331462,0.5880712994678637,0.44194424388027725
fixed_iterative,0.1,0.35301118382522767,0.7685467096560847,0.6558153659611994,0.7140753600823045,0.7687335574661964,0.7140753600823045,0.500407848324515,0.34537646972350017,0.36166715155783336,0.6561040426587302,0.5086475786302176,0.5040187757201645,0.7139021164021165,0.7687335574661964,0.6561040426587302
fixed_iterative,0.2,0.35145843481680616,0.6864401455026455,0.5964902998236332,0.6429368753674309,0.6868260030864197,0.6429368753674309,0.5001350308641975,0.34374636602757697,0.3603183369846118,0.5966864711934157,0.5086461089065255,0.5037542254556144,0.642635214579659,0.6868260030864197,0.5966864711934157
fixed_iterative,0.3,0.3498881077821591,0.6202926725088183,0.5590492724867724,0.5905961566725454,0.6204051844503232,0.5905961566725454,0.5000192901234568,0.34246329196693676,0.35851447673201847,0.5591030827454438,0.5074882422104644,0.5031883818342151,0.5905307539682538,0.6204051844503232,0.5591030827454438
fixed_iterative,0.4,0.34815508916904636,0.5546015211640212,0.5225478946208113,0.539047986478542,0.5546639201205172,0.539047986478542,0.5000835905349794,0.3414888412367458,0.3555325886643385,0.522579732510288,0.507432208994709,0.5029862948265725,0.5389451058201059,0.5546639201205172,0.522579732510288
fixed_iterative,0.5,0.3462792978902289,0.5067699147560258,0.5000192901234568,0.5026647927689595,0.5067699147560258,0.5026647927689595,0.5000192901234568,0.33961225290106056,0.35367306876989696,0.5000192901234568,0.5067699147560258,0.5026647927689595,0.5026647927689595,0.5067699147560258,0.5000192901234568
fixed_iterative,0.6,0.34296401192085124,0.5003395061728395,0.46501954732510287,0.4823508230452675,0.5003398919753086,0.4823508230452675,0.5000192901234568,0.33656987845923597,0.3501010067641704,0.46502057613168724,0.5053690843621399,0.5018582818930041,0.4823353909465021,0.5003398919753086,0.46502057613168724
fixed_iterative,0.7,0.34187065488413926,0.5201669560185184,0.44694772376543207,0.48349151234567894,0.5203473186728396,0.48349151234567894,0.5000192901234568,0.3349729130640037,0.3492973789880995,0.44703954475308644,0.5062114197530865,0.5023212448559671,0.48337962962962955,0.5203473186728396,0.44703954475308644
fixed_iterative,0.8,0.3402752263005644,0.5531650591563787,0.4393842592592592,0.4963065843621399,0.5534963348765433,0.4963065843621399,0.500122170781893,0.3333380583469054,0.3480118012267179,0.43955459104938277,0.5062692901234568,0.5024562757201646,0.49614197530864196,0.5534963348765433,0.43955459104938277
fixed_iterative,0.9,0.3403470989350342,0.5731982924914857,0.42151199646126014,0.498035511565205,0.5734063143004114,0.498035511565205,0.5003986625514404,0.3333090638171539,0.3481138940330695,0.42168648449694907,0.5065457818930041,0.5028318788136796,0.4978657584787853,0.5734063143004114,0.42168648449694907
joint,0.1,0.3522128492833725,0.7694963808054087,0.6570667530129336,0.7153973765432099,0.7697239307760142,0.7151032480893593,0.5003224206349207,0.34501482991460874,0.3603380208180764,0.6569885361552029,0.5074957745443858,0.5034272119341564,0.7151585464432687,0.7694242357436802,0.6573810488315698
joint,0.2,0.3503408645328164,0.6883388907260435,0.5998001267636686,0.6455371840094063,0.688683311287478,0.6450213109935333,0.5000771604938272,0.3434831480325432,0.3582337784775945,0.5996464395943563,0.5064980158730159,0.5027318489124045,0.6452325837742505,0.6879749044679601,0.6000116475602587
joint,0.3,0.3480929978084044,0.619593639770723,0.5584319885361553,0.5900523589065254,0.6197540647045855,0.5895612874779541,0.5000192901234568,0.34168488558423254,0.3551939811638686,0.5581013007054673,0.504878564079953,0.5019391166960612,0.5899134700176365,0.6191688712522045,0.5585762511022927
