dataset,target_subject,split_family,n_adapt,class_counts_adapt,n_eval,class_counts_eval,disjoint_trial_ids,both_classes_eval,both_classes_adapt,compatible_with_existing_runner,requires_model_rerun,blocker_reason
BNCI2014_001,1,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,1,interleaved_odd_even_trial,72,"[31,41]",72,"[41,31]",True,True,True,False,True,
BNCI2014_001,1,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,1,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,2,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,2,interleaved_odd_even_trial,72,"[32,40]",72,"[40,32]",True,True,True,False,True,
BNCI2014_001,2,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,2,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,3,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,3,interleaved_odd_even_trial,72,"[32,40]",72,"[40,32]",True,True,True,False,True,
BNCI2014_001,3,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,3,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,4,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,4,interleaved_odd_even_trial,72,"[35,37]",72,"[37,35]",True,True,True,False,True,
BNCI2014_001,4,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,4,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,5,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,5,interleaved_odd_even_trial,72,"[32,40]",72,"[40,32]",True,True,True,False,True,
BNCI2014_001,5,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,5,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,6,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,6,interleaved_odd_even_trial,72,"[37,35]",72,"[35,37]",True,True,True,False,True,
BNCI2014_001,6,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,6,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,7,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,7,interleaved_odd_even_trial,72,"[32,40]",72,"[40,32]",True,True,True,False,True,
BNCI2014_001,7,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,7,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,8,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,8,interleaved_odd_even_trial,72,"[32,40]",72,"[40,32]",True,True,True,False,True,
BNCI2014_001,8,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,8,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
BNCI2014_001,9,class_stratified_half,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,9,interleaved_odd_even_trial,72,"[37,35]",72,"[35,37]",True,True,True,False,True,
BNCI2014_001,9,session_block_aware_stratified,72,"[36,36]",72,"[36,36]",True,True,True,False,True,
BNCI2014_001,9,leave_one_run_out,120,"[60,60]",24,"[12,12]",True,True,True,False,True,
Cho2017,1,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,1,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,1,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,1,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,2,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,2,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,2,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,2,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,3,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,3,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,3,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,3,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,4,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,4,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,4,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,4,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,5,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,5,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,5,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,5,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,6,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,6,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,6,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,6,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,7,class_stratified_half,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,7,interleaved_odd_even_trial,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,7,session_block_aware_stratified,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,7,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,8,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,8,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,8,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,8,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,9,class_stratified_half,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,9,interleaved_odd_even_trial,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,9,session_block_aware_stratified,120,"[60,60]",120,"[60,60]",True,True,True,False,True,
Cho2017,9,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,10,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,10,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,10,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,10,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,11,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,11,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,11,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,11,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,12,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,12,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,12,session_block_aware_stratified,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,12,leave_one_run_out,0,"[0,0]",0,"[0,0]",True,False,False,False,True,fewer than 2 runs
Cho2017,13,class_stratified_half,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
Cho2017,13,interleaved_odd_even_trial,100,"[50,50]",100,"[50,50]",True,True,True,False,True,
