contrast,aggregate,mean,ci_low,ci_high,n,branch_a,branch_b,interval_label
fixed_prior_iterative_minus_joint_fit_geometry,subject_weighted,0.0029919484702093423,0.0006681561996779292,0.005404227053140089,115,fixed_iterative_geometry_uniform,joint_geometry_uniform,repaired_split_confirmatory
fixed_prior_iterative_minus_joint_fit_geometry,dataset_macro,0.005263268966972666,0.0017205108420386233,0.009242194919278246,3,fixed_iterative_geometry_uniform,joint_geometry_uniform,repaired_split_confirmatory
joint_fit_geometry_minus_pooled,subject_weighted,-0.0034798711755233505,-0.006281843800322073,-0.0006892109500805204,115,joint_geometry_uniform,pooled_uniform,repaired_split_confirmatory
joint_fit_geometry_minus_pooled,dataset_macro,-0.007324443389258195,-0.012641569721430802,-0.0025367468608209326,3,joint_geometry_uniform,pooled_uniform,repaired_split_confirmatory
FRSC_minus_identity,subject_weighted,0.00919806763285025,0.004692270531400979,0.013791344605475035,115,fixed_reference_oneshot_uniform,identity_uniform,repaired_split_confirmatory
FRSC_minus_identity,dataset_macro,0.011771130104463437,0.006088319088319092,0.018801160045373005,3,fixed_reference_oneshot_uniform,identity_uniform,repaired_split_confirmatory
pooled_minus_identity,subject_weighted,0.011307568438003228,0.005944645732689201,0.016858534621578096,115,pooled_uniform,identity_uniform,repaired_split_confirmatory
pooled_minus_identity,dataset_macro,0.016536746860820923,0.008133425002637966,0.026389551677746093,3,pooled_uniform,identity_uniform,repaired_split_confirmatory
Latent-IM-Diag_minus_identity,subject_weighted,0.009563607085346214,0.004267028985507252,0.01510648148148148,115,latent_im_diag_uniform,identity_uniform,repaired_split_confirmatory
Latent-IM-Diag_minus_identity,dataset_macro,0.01315434736731032,0.005385288065843625,0.021941704257676446,3,latent_im_diag_uniform,identity_uniform,repaired_split_confirmatory
