metric,contrast,method,baseline,estimand,dataset,n_clusters,estimate,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,cluster_unit,dataset_stratified,paired_methods,seeds_averaged_first
acc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,BNCI2014_001,9,0.11728395061728397,0.05401234567901236,0.1841563786008231,10000,20260710,dataset_x_target_subject,True,True,True
acc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Cho2017,52,0.07411324786324787,0.05878178418803421,0.09165624999999997,10000,20260710,dataset_x_target_subject,True,True,True
acc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,per_dataset,Lee2019_MI,54,0.1330864197530864,0.11197530864197527,0.15469135802469133,10000,20260710,dataset_x_target_subject,True,True,True
acc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,subject_weighted,ALL,115,0.10518357487922704,0.09184367954911432,0.11899066022544283,10000,20260710,dataset_x_target_subject,True,True,True
acc,rct_minus_source_only_tsmnet,rct,source_only_tsmnet,dataset_macro,ALL,115,0.10816120607787276,0.08531181083148676,0.132573955365622,10000,20260710,dataset_x_target_subject,True,True,True
acc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,BNCI2014_001,9,0.11831275720164605,0.05555555555555558,0.1846707818930041,10000,20260710,dataset_x_target_subject,True,True,True
acc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Cho2017,52,0.07248931623931626,0.05746794871794873,0.09006410256410256,10000,20260710,dataset_x_target_subject,True,True,True
acc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,per_dataset,Lee2019_MI,54,0.12864197530864194,0.10790123456790122,0.1498765432098765,10000,20260710,dataset_x_target_subject,True,True,True
acc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,subject_weighted,ALL,115,0.1024428341384863,0.08949911433172306,0.11610958132045089,10000,20260710,dataset_x_target_subject,True,True,True
acc,spdim_geodesic_minus_source_only_tsmnet,spdim_geodesic,source_only_tsmnet,dataset_macro,ALL,115,0.10648134958320142,0.08398472617917063,0.1305148649361612,10000,20260710,dataset_x_target_subject,True,True,True
