method,q,metric,mean,ci_low,ci_high,n
pooled,0.1,embed_disp,0.08027008172256848,0.055553070147971645,0.10955425020685292,72
pooled,0.1,translation_disp,0.299582897718817,0.2614782591665667,0.34319564721059936,72
pooled,0.1,logscale_disp,0.39640737159025163,0.3568919228108867,0.4443753147089093,72
pooled,0.2,embed_disp,0.05593501266313394,0.03933681747119768,0.07545613175794125,72
pooled,0.2,translation_disp,0.19891811958056163,0.17842668624163588,0.22230339068222457,72
pooled,0.2,logscale_disp,0.2664417277391062,0.2462766892003281,0.29189882403387474,72
pooled,0.3,embed_disp,0.035734641683333915,0.025443264327560305,0.04796121460446702,72
pooled,0.3,translation_disp,0.1220657669601202,0.11134275825419926,0.13432143590076467,72
pooled,0.3,logscale_disp,0.16284305801108429,0.15252395463356805,0.17566858008835937,72
pooled,0.4,embed_disp,0.017465587805260988,0.012488392740002989,0.023399177822643707,72
pooled,0.4,translation_disp,0.05798387039327889,0.05344992640283937,0.06318763708493708,72
pooled,0.4,logscale_disp,0.07636517205865768,0.07168045759340672,0.0816348875819137,72
pooled,0.5,embed_disp,0.0,0.0,0.0,72
pooled,0.5,translation_disp,0.0,0.0,0.0,72
pooled,0.5,logscale_disp,0.0,0.0,0.0,72
pooled,0.6,embed_disp,0.017482369648074203,0.012451838646082274,0.02346599594422042,72
pooled,0.6,translation_disp,0.05733923184721416,0.05290869222806472,0.06239417759342046,72
pooled,0.6,logscale_disp,0.07516970251041658,0.07171986203616794,0.07889056764609631,72
pooled,0.7,embed_disp,0.03580828826230617,0.025302904219557765,0.04830950198356956,72
pooled,0.7,translation_disp,0.11925853053507811,0.10888583779728396,0.13094985645386284,72
pooled,0.7,logscale_disp,0.15666077503906195,0.14917695702425685,0.16464506604290907,72
pooled,0.8,embed_disp,0.056128218078721356,0.0391784352118891,0.0763448878528441,72
pooled,0.8,translation_disp,0.1918997238941203,0.17203056814491482,0.21431688559127315,72
pooled,0.8,logscale_disp,0.250495520347503,0.23437268106282974,0.26838360446453635,72
pooled,0.9,embed_disp,0.08067088037510806,0.05496042363275917,0.11168843006483786,72
pooled,0.9,translation_disp,0.28517245544507286,0.24823091487765317,0.32707332297778324,72
pooled,0.9,logscale_disp,0.36496382713797065,0.33151585682154633,0.4031067658611307,72
fixed_reference_oneshot,0.1,embed_disp,0.37916269304265304,0.28671817505878777,0.4831915590300564,72
fixed_reference_oneshot,0.1,translation_disp,0.35765485657607254,0.27168154320035803,0.45300594719570525,72
fixed_reference_oneshot,0.1,logscale_disp,0.057427243869897976,0.04259054154180057,0.0743181523168663,72
fixed_reference_oneshot,0.2,embed_disp,0.29006657284328047,0.21615840532165884,0.3736650187439532,72
fixed_reference_oneshot,0.2,translation_disp,0.27564432666326316,0.2065637598618734,0.35304781429750565,72
fixed_reference_oneshot,0.2,logscale_disp,0.04429734966597232,0.033201988572554096,0.05670261588598199,72
fixed_reference_oneshot,0.3,embed_disp,0.20524582853914455,0.1499977971943107,0.26881145245742677,72
fixed_reference_oneshot,0.3,translation_disp,0.19627380235782046,0.14464883908675225,0.2549659599271218,72
fixed_reference_oneshot,0.3,logscale_disp,0.030985323263342752,0.023495089921065755,0.039299187925044866,72
fixed_reference_oneshot,0.4,embed_disp,0.10389022981635881,0.07595588258907048,0.13565653903597755,72
fixed_reference_oneshot,0.4,translation_disp,0.10028379868694416,0.0742895363841294,0.12950916145084193,72
fixed_reference_oneshot,0.4,logscale_disp,0.016605736856120063,0.012736995037635004,0.020782790718557154,72
fixed_reference_oneshot,0.5,embed_disp,0.0,0.0,0.0,72
fixed_reference_oneshot,0.5,translation_disp,0.0,0.0,0.0,72
fixed_reference_oneshot,0.5,logscale_disp,0.0,0.0,0.0,72
fixed_reference_oneshot,0.6,embed_disp,0.134366747015587,0.09107453611041248,0.18396446323992374,72
fixed_reference_oneshot,0.6,translation_disp,0.12965172088413818,0.08857052927804342,0.17668527122308691,72
fixed_reference_oneshot,0.6,logscale_disp,0.017557570390856717,0.012871877803262552,0.02284199401350089,72
fixed_reference_oneshot,0.7,embed_disp,0.2528556724550363,0.18373011399515368,0.3281324742751032,72
fixed_reference_oneshot,0.7,translation_disp,0.2432408806589308,0.1775059435202905,0.31492762994278395,72
fixed_reference_oneshot,0.7,logscale_disp,0.03320000155955855,0.02468861718115778,0.04301326741087256,72
fixed_reference_oneshot,0.8,embed_disp,0.3781271700942774,0.2841708921015343,0.47770891933231957,72
fixed_reference_oneshot,0.8,translation_disp,0.36272730928175273,0.272230435055628,0.45886486803763693,72
fixed_reference_oneshot,0.8,logscale_disp,0.05014365558222002,0.03710147457360951,0.06535396542642466,72
fixed_reference_oneshot,0.9,embed_disp,0.46938897522430817,0.36067394916331796,0.5840430198351558,72
fixed_reference_oneshot,0.9,translation_disp,0.4507900592450521,0.3463530038433416,0.5627324747103135,72
fixed_reference_oneshot,0.9,logscale_disp,0.06545754622594703,0.04835860650662319,0.08587674539379316,72
fixed_iterative,0.1,embed_disp,0.6978923459537327,0.47105596352420337,0.9514120801955598,72
fixed_iterative,0.1,translation_disp,0.6512795692878454,0.44298587943196643,0.8848512146245462,72
fixed_iterative,0.1,logscale_disp,0.09536842046828313,0.07233105512252967,0.12088554621659296,72
fixed_iterative,0.2,embed_disp,0.5386773950167368,0.3473617906226593,0.7580195976936481,72
fixed_iterative,0.2,translation_disp,0.5057525269016601,0.3282576231203907,0.7088359442602531,72
fixed_iterative,0.2,logscale_disp,0.07378092505162735,0.05524820602657791,0.09481154625263487,72
fixed_iterative,0.3,embed_disp,0.4541943257036446,0.2749066680849078,0.6598857229562219,72
fixed_iterative,0.3,translation_disp,0.42372152648276906,0.2596101766509631,0.613223861993286,72
fixed_iterative,0.3,logscale_disp,0.05889003733579656,0.042255419810023405,0.07812822819674954,72
fixed_iterative,0.4,embed_disp,0.2088517574701217,0.09590595580813877,0.3433821160212786,72
fixed_iterative,0.4,translation_disp,0.19506637006558852,0.09290786885200494,0.3174416564911346,72
fixed_iterative,0.4,logscale_disp,0.03236596264104353,0.020896430659330615,0.045822891501747245,72
fixed_iterative,0.5,embed_disp,0.0,0.0,0.0,72
fixed_iterative,0.5,translation_disp,0.0,0.0,0.0,72
fixed_iterative,0.5,logscale_disp,0.0,0.0,0.0,72
fixed_iterative,0.6,embed_disp,0.2537841525663231,0.14274897212141055,0.3815800028855634,72
fixed_iterative,0.6,translation_disp,0.24024610326529958,0.13631533487776845,0.35852528194151523,72
fixed_iterative,0.6,logscale_disp,0.035713379761458434,0.02440480449904568,0.048199339018665494,72
fixed_iterative,0.7,embed_disp,0.520930110889395,0.3192747617629788,0.7420199361434322,72
fixed_iterative,0.7,translation_disp,0.4882539553399881,0.30121748963872746,0.6918588715548376,72
fixed_iterative,0.7,logscale_disp,0.06578883672612773,0.04747025089086177,0.08573602348029295,72
fixed_iterative,0.8,embed_disp,0.759537546676986,0.5185525493052455,1.0164029409176882,72
fixed_iterative,0.8,translation_disp,0.7134843188667611,0.48942257203443507,0.9515666629018217,72
fixed_iterative,0.8,logscale_disp,0.08900201759927415,0.06727320650557983,0.11260955803495855,72
fixed_iterative,0.9,embed_disp,0.8445921204782976,0.6040324389614038,1.1046879867315265,72
fixed_iterative,0.9,translation_disp,0.7953648957929358,0.5705500344702797,1.0390762380290954,72
fixed_iterative,0.9,logscale_disp,0.10266375066336082,0.07887738005501589,0.12904992865808884,72
joint,0.1,embed_disp,0.7050136347261061,0.4775756926048708,0.9598056042295977,72
joint,0.1,translation_disp,0.6580095916295368,0.44903657419518833,0.890862744614779,72
joint,0.1,logscale_disp,0.09575344147225821,0.07260477498135699,0.1213569581318699,72
joint,0.2,embed_disp,0.5604044293904287,0.3658077676753933,0.7816040207720275,72
joint,0.2,translation_disp,0.5258643469275063,0.34775722261258524,0.7307480365263761,72
joint,0.2,logscale_disp,0.0755628419918726,0.05684746621130791,0.09678717565303294,72
joint,0.3,embed_disp,0.4580060492246699,0.2763389363526338,0.66581332387085,72
joint,0.3,translation_disp,0.42785004453894054,0.26078096830752245,0.6194469727658073,72
joint,0.3,logscale_disp,0.060364722478480855,0.04278287306852192,0.08049788598989745,72
joint,0.4,embed_disp,0.23460219973873597,0.1122755172247438,0.38073235426854796,72
joint,0.4,translation_disp,0.21952800556382776,0.10789073708647332,0.3525303379946794,72
joint,0.4,logscale_disp,0.03677191659099714,0.022634138758686514,0.05459635911118119,72
joint,0.5,embed_disp,0.0,0.0,0.0,72
joint,0.5,translation_disp,0.0,0.0,0.0,72
joint,0.5,logscale_disp,0.0,0.0,0.0,72
joint,0.6,embed_disp,0.2342684985128415,0.12748390753172484,0.3543856300300965,72
joint,0.6,translation_disp,0.22279406760790346,0.12250989086407213,0.3359040791737863,72
joint,0.6,logscale_disp,0.03450070636159234,0.02351892588354736,0.046636746017623895,72
joint,0.7,embed_disp,0.4901121073620922,0.2937178653385346,0.7087767850352166,72
joint,0.7,translation_disp,0.4619896465528382,0.2785054763746937,0.6636029979276589,72
joint,0.7,logscale_disp,0.062293568145702735,0.045152617406861564,0.0809325046651782,72
joint,0.8,embed_disp,0.7353065379889521,0.4966588697113804,0.9895418584266286,72
joint,0.8,translation_disp,0.691097354513664,0.46968318801860376,0.9274573128325364,72
joint,0.8,logscale_disp,0.08707004655800998,0.06581723826428051,0.11010332011471281,72
joint,0.9,embed_disp,0.8447498945421597,0.6040736732285119,1.105303151722865,72
joint,0.9,translation_disp,0.7954627161046104,0.5702314509768027,1.0389251144643679,72
joint,0.9,logscale_disp,0.1022122021651444,0.07864120836518931,0.12848154480173476,72
oracle_label_conditional,0.1,embed_disp,2.5362034809810146,2.4546987132065827,2.6200136207550027,72
oracle_label_conditional,0.1,translation_disp,2.407946327831548,2.3266796449010916,2.4910722484334715,72
oracle_label_conditional,0.1,logscale_disp,0.21345576312018624,0.19214646530388663,0.2368275400271325,72
oracle_label_conditional,0.2,embed_disp,2.353008739558267,2.269883465201215,2.4386579698020663,72
oracle_label_conditional,0.2,translation_disp,2.215088094656023,2.1327030196611956,2.2997440359455705,72
oracle_label_conditional,0.2,logscale_disp,0.17930468489715304,0.1627730155507593,0.1975431617477299,72
oracle_label_conditional,0.3,embed_disp,2.094862415374797,2.0105229194540484,2.1825630457979845,72
oracle_label_conditional,0.3,translation_disp,1.9538284078208907,1.8712711752889868,2.038566512407721,72
oracle_label_conditional,0.3,logscale_disp,0.15766676573645283,0.14604370602264508,0.17058323092895625,72
oracle_label_conditional,0.4,embed_disp,1.6787523475970016,1.5936463475790748,1.768210189939005,72
oracle_label_conditional,0.4,translation_disp,1.547704136874376,1.4681573214393044,1.6303478248830245,72
oracle_label_conditional,0.4,logscale_disp,0.12621279014097345,0.11988825504604696,0.13324440279501557,72
oracle_label_conditional,0.5,embed_disp,0.0,0.0,0.0,72
oracle_label_conditional,0.5,translation_disp,0.0,0.0,0.0,72
oracle_label_conditional,0.5,logscale_disp,0.0,0.0,0.0,72
oracle_label_conditional,0.6,embed_disp,1.0394826520832234,0.968974407379412,1.1177026194474302,72
oracle_label_conditional,0.6,translation_disp,0.9269834413031476,0.8552170282192717,1.006596721197332,72
oracle_label_conditional,0.6,logscale_disp,0.13027714194060178,0.12754791767661489,0.13329680433741728,72
oracle_label_conditional,0.7,embed_disp,1.3968947084597598,1.3274613440565675,1.4735784756686583,72
oracle_label_conditional,0.7,translation_disp,1.2969786119398894,1.2226328249117535,1.3793968548406392,72
oracle_label_conditional,0.7,logscale_disp,0.1695444211177391,0.16364225169430055,0.17616054878223406,72
oracle_label_conditional,0.8,embed_disp,1.638202612138825,1.569432186425008,1.7137821342060224,72
oracle_label_conditional,0.8,translation_disp,1.5984233905253877,1.5262067245815396,1.67827133953075,72
oracle_label_conditional,0.8,logscale_disp,0.18890188233638922,0.17764454811494906,0.20210352202700757,72
