metric,aggregate,mean,ci_low,ci_high,n,interval_label
"BA(I, Unif)",subject_weighted,0.6736215780998391,0.6565223027375204,0.6912903381642514,115,repaired_split_confirmatory
"BA(I, Unif)",dataset_macro,0.6774848316977947,0.6466770899282474,0.7080979542576765,3,repaired_split_confirmatory
"BA(I, pi_J)",subject_weighted,0.6639613526570046,0.6460369967793882,0.6822751207729466,115,repaired_split_confirmatory
"BA(I, pi_J)",dataset_macro,0.6680638651471984,0.6358925061992192,0.70040904294608,3,repaired_split_confirmatory
"BA(T_J, Unif)",subject_weighted,0.6814492753623189,0.663406763285024,0.699527576489533,115,repaired_split_confirmatory
"BA(T_J, Unif)",dataset_macro,0.6866971351693575,0.6558033033924237,0.7164054586103196,3,repaired_split_confirmatory
"BA(T_J, pi_J)",subject_weighted,0.6770273752012883,0.6588373590982287,0.6950934782608695,115,repaired_split_confirmatory
"BA(T_J, pi_J)",dataset_macro,0.6829430463226759,0.6516600783475782,0.7133843680753402,3,repaired_split_confirmatory
G,subject_weighted,0.007827697262479871,0.0026504428341384842,0.013270531400966182,115,repaired_split_confirmatory
G,dataset_macro,0.009212303471562723,0.002434004695578758,0.01721298934261896,3,repaired_split_confirmatory
P,subject_weighted,-0.009660225442834139,-0.013687761674718196,-0.005732648953301126,115,repaired_split_confirmatory
P,dataset_macro,-0.009420966550596184,-0.014088206974781057,-0.0049498687612113575,3,repaired_split_confirmatory
I_int,subject_weighted,0.005238325281803545,0.0012028985507246354,0.009325322061191622,115,repaired_split_confirmatory
I_int,dataset_macro,0.005666877703914747,0.0007107470718581855,0.011024529782631645,3,repaired_split_confirmatory
G + P + I_int,subject_weighted,0.003405797101449273,-0.0021351851851851844,0.00917741545893719,115,repaired_split_confirmatory
G + P + I_int,dataset_macro,0.005458214624881285,-0.001739556953677333,0.014279228658858268,3,repaired_split_confirmatory
