dataset,backbone,eraser,chance_task,tgt_bacc,dtgt_bacc,task_collapse_flag,binary_harm_flag,improves_target
BNCI2014_001,EEGNet,TOS_VD,0.25,0.40921,-0.00045,NO,NO,False
BNCI2014_001,EEGNet,LEACE,0.25,0.39841,-0.01125,NO,NO,False
BNCI2014_001,EEGNet,RLACE,0.25,0.39789,-0.01177,NO,NO,False
BNCI2014_001,EEGNet,INLP,0.25,0.25,-0.15966,YES,NO,False
BNCI2014_001,EEGNet,random_k,0.25,0.40242,-0.00723,NO,NO,True
BNCI2014_001,TSMNet,TOS_VD,0.25,0.39493,-0.00032,NO,NO,False
BNCI2014_001,TSMNet,LEACE,0.25,0.39596,0.00071,NO,NO,True
BNCI2014_001,TSMNet,RLACE,0.25,0.39127,-0.00399,NO,NO,True
BNCI2014_001,TSMNet,INLP,0.25,0.33314,-0.06211,NO,NO,True
BNCI2014_001,TSMNet,random_k,0.25,0.39516,-0.0001,NO,NO,True
Lee2019_MI,EEGNet,TOS_VD,0.5,0.68494,-0.00052,NO,NO,False
Lee2019_MI,EEGNet,LEACE,0.5,0.5,-0.18546,YES,YES,False
Lee2019_MI,EEGNet,RLACE,0.5,0.5,-0.18546,YES,YES,False
Lee2019_MI,EEGNet,INLP,0.5,0.5,-0.18546,YES,YES,False
Lee2019_MI,EEGNet,random_k,0.5,0.67823,-0.00723,NO,NO,False
Lee2019_MI,TSMNet,TOS_VD,0.5,0.66812,-0.00012,NO,NO,False
Lee2019_MI,TSMNet,LEACE,0.5,0.66654,-0.0017,NO,NO,True
Lee2019_MI,TSMNet,RLACE,0.5,0.66512,-0.00312,NO,NO,True
Lee2019_MI,TSMNet,INLP,0.5,0.51435,-0.15389,YES,YES,True
Lee2019_MI,TSMNet,random_k,0.5,0.66829,5e-05,NO,NO,True
Cho2017,EEGNet,TOS_VD,0.5,0.64825,-0.00131,NO,NO,False
Cho2017,EEGNet,LEACE,0.5,0.5,-0.14957,YES,YES,False
Cho2017,EEGNet,RLACE,0.5,0.5,-0.14957,YES,YES,False
Cho2017,EEGNet,INLP,0.5,0.5,-0.14957,YES,YES,False
Cho2017,EEGNet,random_k,0.5,0.64262,-0.00694,NO,NO,True
Cho2017,TSMNet,TOS_VD,0.5,0.62505,-3e-05,NO,NO,False
Cho2017,TSMNet,LEACE,0.5,0.62378,-0.0013,NO,NO,False
Cho2017,TSMNet,RLACE,0.5,0.62501,-7e-05,NO,NO,True
Cho2017,TSMNet,INLP,0.5,0.51997,-0.10511,YES,YES,True
Cho2017,TSMNet,random_k,0.5,0.62503,-5e-05,NO,NO,True
Schirrmeister2017,EEGNet,TOS_VD,0.25,0.64104,0.00072,NO,NO,False
Schirrmeister2017,EEGNet,LEACE,0.25,0.54909,-0.09122,NO,NO,False
Schirrmeister2017,EEGNet,RLACE,0.25,0.60279,-0.03753,NO,NO,True
Schirrmeister2017,EEGNet,INLP,0.25,0.25,-0.39031,YES,NO,False
Schirrmeister2017,EEGNet,random_k,0.25,0.61513,-0.02518,NO,NO,False
Schirrmeister2017,TSMNet,TOS_VD,0.25,0.63013,0.0,NO,NO,False
Schirrmeister2017,TSMNet,LEACE,0.25,0.62933,-0.0008,NO,NO,False
Schirrmeister2017,TSMNet,RLACE,0.25,0.62663,-0.00349,NO,NO,False
Schirrmeister2017,TSMNet,INLP,0.25,0.37017,-0.25996,NO,NO,True
Schirrmeister2017,TSMNet,random_k,0.25,0.62991,-0.00022,NO,NO,False
