route,cluster,predictor_levels,endpoint_levels,inclusion_tag,include_rq1,include_rq2,include_rq3,include_rq4,gate_predictor_ok,gate_endpoint_ok,reason
CIGL_70_closure,frozen_premise,none,none,BACKGROUND_ONLY,NO,NO,NO,NO,NO,NO,"frozen premise (closure), not an analysis route"
CMI_SYNTHESIS,frozen_premise,none,none,BACKGROUND_ONLY,NO,NO,NO,NO,NO,NO,"frozen premise (synthesis), not an analysis route"
CIGL,CMI_control,L1|L2|L4,L5|L6,INCLUDED,YES,NO,YES,NO,YES,YES,per-unit leakage+alignment+R3 (n=126) supports RQ1/RQ3
FCIGL,CMI_control,L1|L2|L4,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,YES,YES,"frozen paired-delta vs CIGL, not a per-unit leakage-reliance scatter; supports RQ1/RQ3 interpretation only"
dCIGL,CMI_control,L1|L2|L4,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,YES,YES,frozen paired-delta vs CIGL; supports interpretation only
MetaCMI,CMI_control,L1|L2,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,YES,YES,seed0-screening only; R3 not in phase2 JSON (readout only); supports interpretation
CITA_lambda_1,CMI_control,L1,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,YES,YES,"target-unlabeled; endpoint is CITA-minus-TTA (control contrast), not a leakage-reliance scatter"
CITA_lambda_0.010,CMI_control,L1,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,YES,YES,inert-lambda baseline; control contrast only
TTA_Control_non_CMI,CMI_control,none,L5|L6,SUPPORT_ONLY,NO,NO,NO,NO,NO,YES,"non-CMI positive; informs RQ2 (target benefit decoupled from reliance) as context, not an erasure route"
TOS_mean_scatter,TOS_erasure,L1|L3|L4,L6,INCLUDED,NO,YES,NO,NO,YES,YES,L3 erasability + L6 target present
TOS_LEACE,TOS_erasure,L1|L3|L4,L6,INCLUDED,NO,YES,NO,NO,YES,YES,L3 erasability + L6 target present
TOS_INLP,TOS_erasure,L1|L3|L4,L6,INCLUDED,NO,YES,NO,NO,YES,YES,L3 erasability + L6 target present (negative control for RQ2)
TOS_RLACE,TOS_erasure,L1|L3|L4,L6,INCLUDED,NO,YES,NO,NO,YES,YES,L3 erasability + L6 target present
