row_id,cluster,route,source_branch,source_sha,dataset,backbone,method,info_regime,unit_id,seed,fold_or_subject,representation_or_branch,L1_metric,L1_value,L2_metric,L2_value,L3_metric,L3_value,L4_metric,L4_value,L5_metric,L5_value,L6_metric,L6_value,task_safety_metric,task_safety_value,collapse_guard,random_control,target_labels_used_for_fit,target_labels_used_for_eval,artifact_path,include_rq1,include_rq2,include_rq3,include_rq4,support_only_reason,notes
1,frozen_premise,CIGL_70_closure,project/cita-target-unlabeled-cmi,c889730,2a+2015,dgcnn+EEGNetMini+ConformerMini,cigl/fcigl/dcigl/metacmi,source_only_DG,CIGL_70_closure::route_level,"0,1,2 (metacmi seed0)",9+12 folds,graph_z/node_z/feature_z,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,results/cigl_source_only_closure/,NO,NO,NO,NO,"frozen premise (closure), not an analysis route",verdict SOURCE_ONLY_CMI_RELIANCE_CONTROL_FAILED_AND_CLOSED; retains cmi_audit+proxy_partial; authored on project/metacmi-eegnet-conformer
2,frozen_premise,CMI_SYNTHESIS,project/cita-target-unlabeled-cmi,c889730,2a+2015,all,all_cmi_control_routes,both_regimes,CMI_SYNTHESIS::route_level,"0,1,2/seed0",9+12 folds,graph_z/feature_z,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,results/cmi_synthesis/synthesis_route_summary.csv,NO,NO,NO,NO,"frozen premise (synthesis), not an analysis route",verdict CMI_CONTROL_CLOSED_BOTH_REGIMES; TTA-Control=separate non-CMI positive; docs/CMI_SYNTHESIS_01.md
3,CMI_control,CIGL,project/cigl-r123-scaffold,d3593c8,2a+2015,dgcnn_forward_graph_adapter,cigl_graph_node,source_only_DG,CIGL::route_level,"0,1,2",9+12 folds,graph_z+node_z,graph_kl_perm_ratio,"6.6-18x, FDR-sig 126/126",dgraph_kl_vs_erm,"-0.684 [-0.791,-0.547]",,not_applicable,"align_k2 & corr(align,R3)","+0.338 [+0.168,+0.504]",R3_task_drop_k2_vs_erm,"+0.025 [+0.009,+0.051] (reliance NOT reduced)",target_bacc_vs_erm,"+0.001 [-0.010,+0.011] ns",target_bacc_ci_includes_0,PASS,PASS,valid,NO,YES,results/cigl_r123/final/,YES,NO,YES,NO,,graphKL -0.684 sig down; R3 k2 +0.025 sig (reliance NOT reduced); target +0.001 ns; graph_kl->R3 -0.342 / align_k2->R3 +0.338; Pareto non-dominated
4,CMI_control,FCIGL,project/cigl-functional-cmi,d02c400,2a+2015,dgcnn_forward_graph_adapter,fcigl_align_eta0.01/0.05,source_only_DG,FCIGL::route_level,"0,1,2",9+12 folds,graph_z+node_z,feature_leakage,sig (frozen CIGL_65),align_k2_vs_cigl & KL,align -0.117 sig; graph_kl +0.166 (traded up),,not_applicable,task_head_alignment_k2,"-0.117 [-0.219,-0.010]",R3_task_drop_k2_vs_cigl,"+0.001 [-0.014,+0.019] ns",target_bacc_vs_cigl,"+0.003 [-0.003,+0.009] ns",random_subspace_taskdrop,PASS ~0,PASS,valid,NO,YES,results/cigl_functional/final/,NO,NO,NO,NO,"frozen paired-delta vs CIGL, not a per-unit leakage-reliance scatter; supports RQ1/RQ3 interpretation only",align_k2 -0.117 sig down but KL traded up +0.166; R3 +0.001 ns; target +0.003 ns; method-level NEGATIVE
5,CMI_control,dCIGL,project/cigl-direct-reliance-cmi,e619713,2a+2015,dgcnn_forward_graph_adapter,dcigl_consistency_beta0.1,source_only_DG,dCIGL::route_level,"0,1,2",9+12 folds,graph_z+node_z,feature_leakage,sig (inherits CIGL audit),KL_vs_cigl,graph_kl +0.251 sig (traded up),,not_applicable,align_k2_vs_cigl,+0.059 sig (HIGHER),R3_task_drop_k2_vs_cigl,"-0.007 [-0.024,+0.006] ns; no flatten confound",target_bacc_vs_cigl,"+0.003 [-0.004,+0.010] ns",mean_margin/entropy,"PASS (margin +0.252, entropy -0.044)",PASS,valid,NO,YES,results/cigl_direct_reliance/final/,NO,NO,NO,NO,frozen paired-delta vs CIGL; supports interpretation only,"R3 -0.007 ns; NO flatten confound (margin +0.252, entropy -0.044); target +0.003 ns; doc CIGL_68"
6,CMI_control,MetaCMI,project/metacmi-eegnet-conformer,8068191,2a+2015,EEGNetMini+EEGConformerMini,metacmi_direct_beta0.1,source_only_episodic,MetaCMI::route_level,seed0,9+12 folds,feature_z,feature_z_perm_p,<0.05 all folds,featKL_vs_MetaCE,-0.031..-0.044 (still sig),,not_applicable,,not_measured,R3_k2_vs_MetaCE,-0.001..-0.004 within noise (source=CIGL_69C readout),target_bacc_vs_MetaCE,<=0 all 4 cells,8_stop_conditions,PASS,PASS,valid,NO,YES,results/cigl/metacmi_phase2/,NO,NO,NO,NO,seed0-screening only; R3 not in phase2 JSON (readout only); supports interpretation,"featKL -0.031..-0.044; R3 within noise; target<=MetaCE all 4; seed0-screening FAIL, no seeds 1/2"
7,CMI_control,CITA_lambda_1,project/cita-target-unlabeled-cmi,c889730,2a+2015,EEGNet+Conformer,cita_cmi vs tta_control vs erm,target_unlabeled_transductive,CITA_lambda_1::route_level,seed0,9+12 folds,feature_z,cond_domain_active_fraction,1.8-29.3% of loss,,not_applicable,,not_applicable,,not_measured,R3_CITA_minus_TTA,~0 all cells,target_bacc_CITA_minus_TTA,-0.003..+0.000 (~0),entropy/label-balance,PASS no collapse,PASS,valid,AUDIT_ONLY,YES,results/cita/gate_lambda1/,NO,NO,NO,NO,"target-unlabeled; endpoint is CITA-minus-TTA (control contrast), not a leakage-reliance scatter",CMI active 1.8-29.3% of loss; CITA(l1)-TTA ~0; TTA-ERM +0.037..+0.093; terminal close CMI method dev; NLL MISSING
8,CMI_control,CITA_lambda_0.010,project/cita-target-unlabeled-cmi,c889730,2a+2015,EEGNet+Conformer,cita_cmi vs tta_control vs erm,target_unlabeled_transductive,CITA_lambda_0.010::route_level,seed0,9+12 folds,feature_z,cond_domain_active_fraction,0.1-0.2% (near-inert),,not_applicable,,not_applicable,,not_measured,R3_CITA_minus_TTA,~0 all cells,target_bacc_CITA_minus_TTA,-0.001..+0.002 (~0),entropy/label-balance,PASS,PASS,valid,AUDIT_ONLY,YES,results/cita/gate/,NO,NO,NO,NO,inert-lambda baseline; control contrast only,near-inert 0.1-0.2% of loss; CITA-TTA ~0; TTA-only pass; doc CITA_02
9,CMI_control,TTA_Control_non_CMI,project/cita-target-unlabeled-cmi,c889730,2a+2015,EEGNet+Conformer,tta_control,target_unlabeled_transductive,TTA_Control_non_CMI::route_level,seed0,9+12 folds,feature_z,,not_applicable,,not_applicable,,not_applicable,,not_measured,R3_TTA_minus_ERM,mixed/slightly + (reliance NOT reduced),target_bacc_TTA_minus_ERM,+0.037..+0.093 all 4 (non-CMI positive),entropy/label-balance,PASS no collapse,PASS,valid,AUDIT_ONLY,YES,results/cita/gate/ + results/cita/gate_lambda1/,NO,NO,NO,NO,"non-CMI positive; informs RQ2 (target benefit decoupled from reliance) as context, not an erasure route","TTA-ERM +0.037..+0.093 all 4, no collapse; first robust project gain; R3 not reduced; NON-CMI, must be walled off from CMI"
10,TOS_erasure,TOS_mean_scatter,tos,1c65d79,2a(+Lee/Cho/HGD/2b),TSMNet(z210)+EEGNet(z16),TOS_VD score-Fisher deletion,source_only_frozen_feature,TOS_mean_scatter::route_level,"0,1,2",9 folds+129 subj,frozen_latent_Z,subject_decodable,yes (TSMNet 0.997 / EEGNet 0.819),,not_applicable,subject_removed_lin/mlp,TSMNet ->0.917/0.958; EEGNet ->0.358/0.545,label_light_by_construction,task preserved 0.746/0.637,,not_measured,target_bacc_delta,TSMNet -0.0003 / EEGNet -0.0005 (~0),task_bacc_delta,PASS (score-Fisher guard),PASS,valid,NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,NO,YES,NO,NO,,TSMNet dents 0.997->0.917/0.958; EEGNet 0.819->0.358/0.545 selective; target ~0; the eraser IS the task-safety guard
