setting,comparison,alpha,coverage,smoothed_hit_before,smoothed_hit_after,smoothed_gain,endpoint_dominates_setting,template_below_max_null_p95,stable_order,interpretation
raw_partition,source_to_key,0.0,1.0,0.5061728395061729,0.4876543209876543,-0.018518518518518545,1,1,1,raw C61 replay
raw_partition,source_to_template,0.0,1.0,0.5061728395061729,0.7037037037037037,0.19753086419753085,1,1,1,raw C61 replay
raw_partition,source_to_label_diagnostic,0.0,1.0,0.5061728395061729,0.8127572016460904,0.3065843621399176,1,1,1,raw C61 replay
raw_partition,source_to_endpoint,0.0,1.0,0.5061728395061729,0.9444444444444444,0.43827160493827155,1,1,1,raw C61 replay
raw_partition,source_template_to_endpoint,0.0,1.0,0.7037037037037037,0.9444444444444444,0.2407407407407407,1,1,1,raw C61 replay
support_weighted_plugin,source_to_key,0.0,1.0,0.5061728395061729,0.4876543209876543,-0.018518518518518545,1,1,1,support-weighted plugin surrogate; summary rows preserve C61 ordering
support_weighted_plugin,source_to_template,0.0,1.0,0.5061728395061729,0.7037037037037037,0.19753086419753085,1,1,1,support-weighted plugin surrogate; summary rows preserve C61 ordering
support_weighted_plugin,source_to_label_diagnostic,0.0,1.0,0.5061728395061729,0.8127572016460904,0.3065843621399176,1,1,1,support-weighted plugin surrogate; summary rows preserve C61 ordering
support_weighted_plugin,source_to_endpoint,0.0,1.0,0.5061728395061729,0.9444444444444444,0.43827160493827155,1,1,1,support-weighted plugin surrogate; summary rows preserve C61 ordering
support_weighted_plugin,source_template_to_endpoint,0.0,1.0,0.7037037037037037,0.9444444444444444,0.2407407407407407,1,1,1,support-weighted plugin surrogate; summary rows preserve C61 ordering
laplace_alpha_1,source_to_key,1.0,1.0,0.5057038244051291,0.487298916429669,-0.018404907975460072,1,1,1,tiny prior shrinkage
laplace_alpha_1,source_to_template,1.0,1.0,0.5057038244051291,0.7020228428100371,0.19631901840490806,1,1,1,tiny prior shrinkage
laplace_alpha_1,source_to_label_diagnostic,1.0,1.0,0.5057038244051291,0.8104073008877466,0.30470347648261753,1,1,1,tiny prior shrinkage
