tag,budget_h,seed,source_val_kappa,source_val_nll,source_val_balanced_accuracy,source_val_weighted_f1,source_val_class_margin,target_test_kappa,target_test_nll,target_test_balanced_accuracy,target_test_weighted_f1,target_test_class_margin,primary_metric,analysis_unit,task_gate_pass
random,NA,0,0.09042553191489366,2.9881685486251115,0.2723404255319149,0.2512461954063734,-2.0630585435208912,0.13829787234042556,2.6080990033017084,0.31063829787234043,0.29374252064898215,-1.693313039358239,target_test_kappa,trial_mean,False
released,NA,NA,0.25,2.279043378793086,0.4,0.3957560577973982,-0.9756673392698662,0.23936170212765961,2.2179055012160602,0.3914893617021276,0.3960642024927074,-1.064132843714308,target_test_kappa,trial_mean,True
H200_s0,200.0,0,0.14893617021276595,2.6280068246554262,0.3191489361702128,0.3175368332589227,-1.6510527582800396,0.13829787234042556,2.398370939935743,0.31063829787234043,0.3040340030543663,-1.4196213391974253,target_test_kappa,trial_mean,True
H200_s1,200.0,1,0.2021276595744681,2.343515635016001,0.36170212765957444,0.35351025896977273,-1.1774598773173974,0.15957446808510634,2.363109317648074,0.32765957446808514,0.31856765249697844,-1.3119531278844732,target_test_kappa,trial_mean,True
H500_s0,500.0,0,0.1436170212765957,2.428434741931609,0.31489361702127655,0.31735862933518755,-1.4751891634244716,0.15957446808510634,2.492729181818083,0.3276595744680851,0.32523105065983826,-1.4888945662641109,target_test_kappa,trial_mean,True
H500_s1,500.0,1,0.21276595744680848,2.0135438151039247,0.3702127659574468,0.36818060189909224,-0.9229231509464048,0.22872340425531912,2.1988605414343407,0.3829787234042553,0.3895385916556574,-1.0618946193040317,target_test_kappa,trial_mean,True
H1000_s0,1000.0,0,0.23404255319148926,2.0970312528613793,0.3872340425531915,0.38216005101227485,-0.7591846778430336,0.29255319148936165,2.107354916471918,0.4340425531914893,0.44335701714215214,-0.8471670243689776,target_test_kappa,trial_mean,True
H1000_s1,1000.0,1,0.26595744680851063,1.9432560411590092,0.4127659574468085,0.4003023292750558,-0.7857624692024873,0.21276595744680848,2.1349806533052567,0.37021276595744684,0.3699601124098257,-1.0518155956484139,target_test_kappa,trial_mean,True
H2000_s0,2000.0,0,0.16489361702127658,2.1262379462742738,0.33191489361702126,0.3340651436791451,-1.1000718840234278,0.21808510638297873,2.008100431609875,0.37446808510638296,0.374543179953016,-0.943737269889509,target_test_kappa,trial_mean,True
H2000_s1,2000.0,1,0.21276595744680848,2.08104214488907,0.3702127659574468,0.3694617006230904,-0.9695169163738657,0.2606382978723404,1.9528594822529806,0.4085106382978723,0.41290062947787637,-0.7504187247924275,target_test_kappa,trial_mean,True
