tag,projection_overlap_rank4,subject_heldout_captured_energy,task_heldout_captured_energy,subspace_stable,fit_split,heldout_split
random,0.0022777772542504383,0.3118966345881937,0.04798672185322793,False,train_trials,val_trials
released,0.0005294275673021501,0.19410961940060692,0.1733630111233329,True,train_trials,val_trials
H200_s0,0.0008023373445362056,0.22899748117157687,0.14036005401411245,True,train_trials,val_trials
H200_s1,0.0020655893916759595,0.25523501906819357,0.15902564824610232,True,train_trials,val_trials
H500_s0,0.001960164541133814,0.23539314670206213,0.18604836779813053,True,train_trials,val_trials
H500_s1,0.0007752815476767844,0.23407404409638216,0.19364217769646,True,train_trials,val_trials
H1000_s0,0.0003159685339846806,0.22838680514937287,0.2890870060615873,True,train_trials,val_trials
H1000_s1,0.0007293759618538381,0.23885307160721567,0.245594038723394,True,train_trials,val_trials
H2000_s0,0.0009366792713395666,0.24816523930735399,0.20346726074993307,True,train_trials,val_trials
H2000_s1,0.00048092323627215924,0.24190379431643125,0.21008299110919285,True,train_trials,val_trials
