dataset,backbone,feature_object,training_method,heldout_subject,seed,config_hash,git_sha,kind,pair,consistency,ci_lo,ci_hi,perm_p,snr,n_clusters
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.40012276539524994,0.34493630065353553,0.4598343502900822,0.004975124378109453,1.338049641269484,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.2716212774208712,0.2054681622386729,0.3261098505780549,0.004975124378109453,1.7582698954900184,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.28634697014009136,0.21018150249559056,0.35670479979653463,0.004975124378109453,1.6109863789802814,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,11,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.37800453187983907,0.3177431246750798,0.44152682266050863,0.004975124378109453,1.7579988585203643,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,11,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.3983392033095459,0.32453265340988696,0.4684001676537214,0.004975124378109453,1.6453769214804965,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,11,2,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.33105615257391546,0.26618619859638937,0.39096726764134027,0.004975124378109453,1.8530762811312538,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,12,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.36054752968997184,0.2947134317652121,0.4269281920826484,0.004975124378109453,1.7085099131883832,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,12,1,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.38695878396575983,0.32015327146916595,0.4510091111040155,0.004975124378109453,1.6869842259516235,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,12,2,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.35079617262424473,0.252086260821175,0.438541418809627,0.004975124378109453,2.1912023837538688,11
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,2,0,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56,binary,1v0,0.2848992662184446,0.169733052483244,0.37768325585632007,0.004975124378109453,1.3383226000855477,11
