original_order,channel,Lee2019_MI,Cho2017,PhysionetMI,in_exact_intersection,repair_action,substitute_with_Fz,interpolate
1,FC5,1,1,1,1,RETAIN,0,0
2,FC3,1,1,1,1,RETAIN,0,0
3,FC1,1,1,1,1,RETAIN,0,0
4,FCz,0,1,1,0,DROP_ALL_DATASETS,0,0
5,FC2,1,1,1,1,RETAIN,0,0
6,FC4,1,1,1,1,RETAIN,0,0
7,FC6,1,1,1,1,RETAIN,0,0
8,C5,1,1,1,1,RETAIN,0,0
9,C3,1,1,1,1,RETAIN,0,0
10,C1,1,1,1,1,RETAIN,0,0
11,Cz,1,1,1,1,RETAIN,0,0
12,C2,1,1,1,1,RETAIN,0,0
13,C4,1,1,1,1,RETAIN,0,0
14,C6,1,1,1,1,RETAIN,0,0
15,CP5,1,1,1,1,RETAIN,0,0
16,CP3,1,1,1,1,RETAIN,0,0
17,CP1,1,1,1,1,RETAIN,0,0
18,CPz,1,1,1,1,RETAIN,0,0
19,CP2,1,1,1,1,RETAIN,0,0
20,CP4,1,1,1,1,RETAIN,0,0
21,CP6,1,1,1,1,RETAIN,0,0
