dataset,order,native_channel,canonical_channel,canonicalization,anatomical_alias,Fz_for_FCz_substitution,interpolation,zero_fill,dataset_specific_mask
Lee2019_MI,0,FC5,FC5,fixed_case_only,0,0,0,0,0
Lee2019_MI,1,FC3,FC3,fixed_case_only,0,0,0,0,0
Lee2019_MI,2,FC1,FC1,fixed_case_only,0,0,0,0,0
Lee2019_MI,3,FC2,FC2,fixed_case_only,0,0,0,0,0
Lee2019_MI,4,FC4,FC4,fixed_case_only,0,0,0,0,0
Lee2019_MI,5,FC6,FC6,fixed_case_only,0,0,0,0,0
Lee2019_MI,6,C5,C5,fixed_case_only,0,0,0,0,0
Lee2019_MI,7,C3,C3,fixed_case_only,0,0,0,0,0
Lee2019_MI,8,C1,C1,fixed_case_only,0,0,0,0,0
Lee2019_MI,9,Cz,Cz,fixed_case_only,0,0,0,0,0
Lee2019_MI,10,C2,C2,fixed_case_only,0,0,0,0,0
Lee2019_MI,11,C4,C4,fixed_case_only,0,0,0,0,0
Lee2019_MI,12,C6,C6,fixed_case_only,0,0,0,0,0
Lee2019_MI,13,CP5,CP5,fixed_case_only,0,0,0,0,0
Lee2019_MI,14,CP3,CP3,fixed_case_only,0,0,0,0,0
Lee2019_MI,15,CP1,CP1,fixed_case_only,0,0,0,0,0
Lee2019_MI,16,CPz,CPz,fixed_case_only,0,0,0,0,0
Lee2019_MI,17,CP2,CP2,fixed_case_only,0,0,0,0,0
Lee2019_MI,18,CP4,CP4,fixed_case_only,0,0,0,0,0
Lee2019_MI,19,CP6,CP6,fixed_case_only,0,0,0,0,0
Cho2017,0,FC5,FC5,fixed_case_only,0,0,0,0,0
Cho2017,1,FC3,FC3,fixed_case_only,0,0,0,0,0
Cho2017,2,FC1,FC1,fixed_case_only,0,0,0,0,0
Cho2017,3,FC2,FC2,fixed_case_only,0,0,0,0,0
Cho2017,4,FC4,FC4,fixed_case_only,0,0,0,0,0
Cho2017,5,FC6,FC6,fixed_case_only,0,0,0,0,0
Cho2017,6,C5,C5,fixed_case_only,0,0,0,0,0
Cho2017,7,C3,C3,fixed_case_only,0,0,0,0,0
Cho2017,8,C1,C1,fixed_case_only,0,0,0,0,0
Cho2017,9,Cz,Cz,fixed_case_only,0,0,0,0,0
Cho2017,10,C2,C2,fixed_case_only,0,0,0,0,0
Cho2017,11,C4,C4,fixed_case_only,0,0,0,0,0
Cho2017,12,C6,C6,fixed_case_only,0,0,0,0,0
Cho2017,13,CP5,CP5,fixed_case_only,0,0,0,0,0
Cho2017,14,CP3,CP3,fixed_case_only,0,0,0,0,0
Cho2017,15,CP1,CP1,fixed_case_only,0,0,0,0,0
Cho2017,16,CPz,CPz,fixed_case_only,0,0,0,0,0
Cho2017,17,CP2,CP2,fixed_case_only,0,0,0,0,0
Cho2017,18,CP4,CP4,fixed_case_only,0,0,0,0,0
Cho2017,19,CP6,CP6,fixed_case_only,0,0,0,0,0
PhysionetMI,0,FC5,FC5,fixed_case_only,0,0,0,0,0
PhysionetMI,1,FC3,FC3,fixed_case_only,0,0,0,0,0
PhysionetMI,2,FC1,FC1,fixed_case_only,0,0,0,0,0
PhysionetMI,3,FC2,FC2,fixed_case_only,0,0,0,0,0
PhysionetMI,4,FC4,FC4,fixed_case_only,0,0,0,0,0
PhysionetMI,5,FC6,FC6,fixed_case_only,0,0,0,0,0
PhysionetMI,6,C5,C5,fixed_case_only,0,0,0,0,0
PhysionetMI,7,C3,C3,fixed_case_only,0,0,0,0,0
PhysionetMI,8,C1,C1,fixed_case_only,0,0,0,0,0
PhysionetMI,9,Cz,Cz,fixed_case_only,0,0,0,0,0
PhysionetMI,10,C2,C2,fixed_case_only,0,0,0,0,0
PhysionetMI,11,C4,C4,fixed_case_only,0,0,0,0,0
PhysionetMI,12,C6,C6,fixed_case_only,0,0,0,0,0
PhysionetMI,13,CP5,CP5,fixed_case_only,0,0,0,0,0
PhysionetMI,14,CP3,CP3,fixed_case_only,0,0,0,0,0
PhysionetMI,15,CP1,CP1,fixed_case_only,0,0,0,0,0
PhysionetMI,16,CPz,CPz,fixed_case_only,0,0,0,0,0
PhysionetMI,17,CP2,CP2,fixed_case_only,0,0,0,0,0
PhysionetMI,18,CP4,CP4,fixed_case_only,0,0,0,0,0
PhysionetMI,19,CP6,CP6,fixed_case_only,0,0,0,0,0
