dataset,panel,seed,level,regime,epoch,trajectory_order,historical_blocked_unit_id,v2_unit_id,identity_changed,interface_id,montage_sha256
Lee2019_MI,A,5,0,ERM,199,0,c84_d17868913c8e0caa2a9a6f12,c84v2_6a3c564f2e54713057ad9c7cc5e67126,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,4,1,c84_177c8d3144e749ab94eb851a,c84v2_d2b388b46c8b30ff927c6938252392e1,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,9,2,c84_fe050982db505daaa75cb534,c84v2_47113118d42ff78374237776adc4aa10,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,14,3,c84_17611a3e19c2f1a26ece8cd0,c84v2_be45de5a3ca99235f2d9bb0a36766a20,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,19,4,c84_0083911586519e1873f4d706,c84v2_164c7d6b8a677fad4ec7e97930ff3b96,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,24,5,c84_3c2d5f3c82c14a07a9a211c6,c84v2_39eb6d1671a9f8d85fc2b030ffe0fe35,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,29,6,c84_b7e6ec9035a6f41e055a9b31,c84v2_a365ba3ef502d4e1dc9deb08f06a2023,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,34,7,c84_c688230d5348d4882941fdd8,c84v2_fb07305cfed7feb61b7b2ce6ae17262f,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,39,8,c84_fe26ba5e6f95be27172fbc53,c84v2_def7990a4244d6d3a198b4b90a2a4836,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
Lee2019_MI,A,5,0,OACI,44,9,c84_bc0ee8c3fb5dae0405b6cdb6,c84v2_8074a6b1b9e576311b54a3b4da79e95c,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04
