risk,blocking,status,control,real_outcome_access
single_dataset_claim_carried_into_C84,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
binary_task_called_exact_four_class_replication,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
source_target_subject_overlap,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
source_panel_overlap,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
subject_partition_outcome_driven,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
Physionet_subject88_not_excluded,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
unlabeled_online_Lee_runs_used_as_labeled,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
motor_execution_entering_Physionet,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
class_mapping_drift,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
channel_alias_drift,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
missing_common_channel_silently_dropped,0,CLOSED_BY_C84R_LOCKED_CONTROL,exact_20_channel_intersection_digest,0
dataset_specific_filter_tuning,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
trial_window_misalignment,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
sampling_resample_mismatch,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
official_bad_trial_policy_inconsistent,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
target_labels_reaching_training,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
construction_evaluation_overlap,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
oracle_reachability,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
candidate_count_differs_across_datasets,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
target_specific_retraining_accidentally_used,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
checkpoint_identity_drift,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
new_training_seed_reuse_confusion,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
method_formula_or_prior_retuned,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
different_methods_support_cross_dataset_claim,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
subjects_pooled_as_iid_across_datasets,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
panel_seed_replicates_treated_as_independent_N,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
Physionet_low_label_budget_overreach,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
FULL_called_fixed_label_count,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
source_relative_gain_called_low_absolute_regret,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
top1_called_regret,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
dataset_heterogeneity_hidden,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
BNCI2014_004_silently_consumed,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
raw_EEG_or_weights_in_git,0,CLOSED_BY_C84R_LOCKED_CONTROL,Git_payload_hygiene_scan,0
unauthorized_real_data_access,0,CLOSED_BY_C84R_LOCKED_CONTROL,authorization_and_lock_guard_before_loader_import,0
manuscript_claim_before_C84_review,0,CLOSED_BY_C84R_LOCKED_CONTROL,unchanged_C84P_control_replayed_under_V2,0
historical_21_channel_protocol_rewritten,0,CLOSED_BY_C84R_LOCKED_CONTROL,additive_V2_paths_and_supersession,0
FCz_reintroduced,0,CLOSED_BY_C84R_LOCKED_CONTROL,montage_digest_and_order_guard,0
Fz_substitution,0,CLOSED_BY_C84R_LOCKED_CONTROL,substitution_forbidden,0
channel_interpolation,0,CLOSED_BY_C84R_LOCKED_CONTROL,interpolation_forbidden,0
dataset_specific_channel_mask,0,CLOSED_BY_C84R_LOCKED_CONTROL,exact_20_of_20_each_dataset,0
old_blocked_unit_ID_reused,0,CLOSED_BY_C84R_LOCKED_CONTROL,interface_bound_ID_migration_1944_of_1944,0
target_y_access_in_canary,0,CLOSED_BY_C84R_LOCKED_CONTROL,unlabeled_dataclass_and_structural_y_slot_not_read,0
C84F_or_C84S_lock_created_early,0,CLOSED_BY_C84R_LOCKED_CONTROL,only_C84C_lock_exists,0
C34S_regression_omitted,0,CLOSED_BY_C84R_LOCKED_CONTROL,leading_numeric_suite_parser,0
