check_id,check,status,blocking,real_outcome_access
C84R-RT-01,historical_protocol_hashes_replay,PASS,1,0
C84R-RT-02,repair_protocol_hash_replays,PASS,1,0
C84R-RT-03,repair_precedes_adapter,PASS,1,0
C84R-RT-04,V2_protocol_precedes_adapter,PASS,1,0
C84R-RT-05,exact_20_channels,PASS,1,0
C84R-RT-06,exact_montage_digest,PASS,1,0
C84R-RT-07,FCz_absent,PASS,1,0
C84R-RT-08,Fz_absent,PASS,1,0
C84R-RT-09,all_datasets_20_of_20,PASS,1,0
C84R-RT-10,channel_alias_registry_case_only,PASS,1,0
C84R-RT-11,preprocessing_contract_V2_replayed,PASS,1,0
C84R-RT-12,subject_partitions_unchanged,PASS,1,0
C84R-RT-13,Physionet_88_excluded,PASS,1,0
C84R-RT-14,canary_targets_exact,PASS,1,0
C84R-RT-15,candidate_IDs_unique,PASS,1,0
C84R-RT-16,canary_units_exact,PASS,1,0
C84R-RT-17,lock_hash_replay,PASS,1,0
C84R-RT-18,lock_status_not_authorized,PASS,1,0
C84R-RT-19,authorization_record_absent,PASS,1,0
C84R-RT-20,C84F_not_locked,PASS,1,0
C84R-RT-21,C84S_not_locked,PASS,1,0
C84R-RT-22,target_unlabeled_has_no_y,PASS,1,0
C84R-RT-23,scientific_outputs_forbidden,PASS,1,0
C84R-RT-24,oracle_unreachable,PASS,1,0
C84R-RT-25,target_labels_not_authorized,PASS,1,0
C84R-RT-26,resource_GPU_under_envelope,PASS,1,0
C84R-RT-27,resource_payload_under_envelope,PASS,1,0
C84R-RT-28,C34S_restored,PASS,1,0
C84R-RT-29,synthetic_all_pass,PASS,1,0
C84R-RT-30,focused_regression_pass,PASS,1,0
C84R-RT-31,C65_regression_pass,PASS,1,0
C84R-RT-32,C23_regression_pass,PASS,1,0
C84R-RT-33,full_regression_pass,PASS,1,0
C84R-RT-34,all_stderr_empty,PASS,1,0
C84R-RT-35,no_real_EEG_or_label_access,PASS,1,0
C84R-RT-36,no_dataset_download,PASS,1,0
C84R-RT-37,no_training_forward_GPU,PASS,1,0
C84R-RT-38,no_candidate_units_created,PASS,1,0
C84R-RT-39,no_raw_payload_in_Git,PASS,1,0
C84R-RT-40,no_tracked_file_over_50MiB,PASS,1,0
C84R-RT-41,risk_register_no_open_blocker,PASS,1,0
C84R-RT-42,failure_ledger_closed,PASS,1,0
