dataset,subject_id,partition,within_panel_role,subject_hash,source_audit_hash,C84P_row_identity,C84R_recomputed_identity,bit_for_bit_replay
Lee2019_MI,31,source_panel_A,source_training,0a3988ca9060827a2c96eb35066cd86655fbe453529191fe576191c11324ed10,004b0c4ffa3ee481f21c76ecb9e4cb46b67d4d8132f28b780bd404bcb0ad40c2,3e556e0e248df5be68df57849adf462777abc357b3ad11fc37371a41ed99be14,3e556e0e248df5be68df57849adf462777abc357b3ad11fc37371a41ed99be14,1
Lee2019_MI,28,source_panel_A,source_training,0fca383b78b87fc17d1fa8c90196785c4f54c8acd4cfb143ec7ff454c9353e74,01d16c99218ae03647a91ccd5a9a1a6522227fcde3d33101232a61160cb2e0e7,85f5fd01485b3a12f467ed363c23f0b994962a7b192ed757b21e2625aec09c18,85f5fd01485b3a12f467ed363c23f0b994962a7b192ed757b21e2625aec09c18,1
Lee2019_MI,5,source_panel_A,source_training,08ab8338afa7ed9a5994a1db6fa5118684e63a7f7e981e045f21722c6783a0f5,07b0ff1da557a04dad49cd9b1e9ea0a795bedcf761ee14e37bb43c2474ef015a,265743b1ce7b2b87ef9b9c66cb862db2e00fd6bf31aea849a5ba489c02a3fcb5,265743b1ce7b2b87ef9b9c66cb862db2e00fd6bf31aea849a5ba489c02a3fcb5,1
Lee2019_MI,32,source_panel_A,source_training,056766570433e783974dd08f15ebf9531c6e12075983aa5adf8769869ce96dd0,1e0dcee9d0bb31a253ac49a7244253bfc98ff8a318cee2b69fabad5f525acd02,64497094cf90b617b6fd5b30a68b567bd27976b9782bed56a9ed6b2cf0e9de70,64497094cf90b617b6fd5b30a68b567bd27976b9782bed56a9ed6b2cf0e9de70,1
Lee2019_MI,21,source_panel_A,source_training,16f7f70047a72458fe1f4354a2aa97d837d22b45e64fbf92a5a517e5444604bd,1fbee6598369a976445ef6c62d6c350ce5a81a869330a78a33a8b02cf9962243,a4ae46ce6550021dc2605c5aba63a74c7ba7ee58f68031e5266c1056360edc9c,a4ae46ce6550021dc2605c5aba63a74c7ba7ee58f68031e5266c1056360edc9c,1
Lee2019_MI,54,source_panel_A,source_training,1c1acc0e5131d13e7f25d81ee0ea7f2b17fca977c9d8af5a0b3588c353a33d8b,27e5d7d215dd4c01ca6d0d9d236b0de4b5c173a6401b815022d43a8035485072,85dcbbce86fd24a0f9f880183db8919cd3310f24b4a3c934cac3af562871948b,85dcbbce86fd24a0f9f880183db8919cd3310f24b4a3c934cac3af562871948b,1
Lee2019_MI,18,source_panel_A,source_training,01154eda90201acb07336fb47f4a36d4245cc61e4e1394d27d68acb2c662e5e0,2c2ca5135da84d26eaa1af0c2950ed2ce15a9f367e7a95bf99f79ecdc88db19f,61b6782738577418241c41547ca1d4ae1acfba12b9a821ccd65a12bf05b0d42b,61b6782738577418241c41547ca1d4ae1acfba12b9a821ccd65a12bf05b0d42b,1
Lee2019_MI,10,source_panel_A,source_training,1986f4384721424b0ba859cfb7dec290ceb9cb3c7c8c7062f5fb2f9a2bf1c558,3342db65acaa29ec82c7c0c980b47d93d106fb0762344b6a4d9d16e4add82cae,e3ce2c1391eed6a3f5078ce3d0abfaaf97e3e7053cc451c418850ceaa1fc898c,e3ce2c1391eed6a3f5078ce3d0abfaaf97e3e7053cc451c418850ceaa1fc898c,1
Lee2019_MI,13,source_panel_A,source_training,1969618467c7711868eeadf4b1ce4f6378ccbba1a23a5e2d6dcabf68b28b4de3,4bb0644a732745089309757267c1e602e4fc87e7728e428dc7dbfbd1f48b9043,c00bc3af98d90ee5234108842bb66e21cf89641d23766fab0eeccd5788f4d80e,c00bc3af98d90ee5234108842bb66e21cf89641d23766fab0eeccd5788f4d80e,1
Lee2019_MI,4,source_panel_A,source_training,1931e27496eca2bf642c3e47b0f742880fb72b64b96900a569bfac97e07f1ad0,551e4f53def5c9d2ffafec44aa4b22f43c8f160a515e3a1d329752ec8e4fb7d3,bbdd016baee210e5559e7402ba047fc5e8d43332873b6d1480e748f9c8196dae,bbdd016baee210e5559e7402ba047fc5e8d43332873b6d1480e748f9c8196dae,1
